Id,HomeTeam,HomeScore,AwayTeam,AwayScore,LineProvider,OverUnder,Spread,FormattedSpread,OpeningSpread,OpeningOverUnder,HomeMoneyline,AwayMoneyline
400756890,California,73,Grambling,14,consensus,,-43.0,California -43,,,,
400764857,East Carolina,28,Towson,20,consensus,,-30.5,East Carolina -30.5,,,,
400763400,Iowa State,31,Northern Iowa,7,consensus,,-8.5,Iowa State -8.5,,,,
400764858,Houston,52,Tennessee Tech,24,consensus,,-37.5,Houston -37.5,,,,
400791346,San Diego State,37,San Diego,3,consensus,,-35.5,San Diego State -35.5,,,,
400787114,New Mexico,66,Mississippi Valley State,0,consensus,,-42.0,New Mexico -42,,,,
400763412,TCU,70,Stephen F. Austin,7,consensus,,-49.0,TCU -49,,,,
400787302,Idaho,28,Ohio,45,teamrankings,57.0,6.5,Ohio -6.5,,,,
400787302,Idaho,28,Ohio,45,numberfire,57.5,6.5,Ohio -6.5,,,,
400787302,Idaho,28,Ohio,45,consensus,,7.0,Ohio -7,,,,
400756894,Tulane,7,Duke,37,teamrankings,51.5,5.0,Duke -5,,,,
400756894,Tulane,7,Duke,37,numberfire,52.0,5.5,Duke -5.5,,,,
400756894,Tulane,7,Duke,37,consensus,,13.5,Duke -13.5,,,,
400787107,Hawai'i,28,Colorado,20,teamrankings,60.0,7.0,Colorado -7,,,,
400787107,Hawai'i,28,Colorado,20,numberfire,60.5,7.0,Colorado -7,,,,
400787107,Hawai'i,28,Colorado,20,consensus,,-2.5,Hawai'i -2.5,,,,
400764855,SMU,21,Baylor,56,teamrankings,71.0,36.0,Baylor -36,,,,
400764855,SMU,21,Baylor,56,numberfire,70.5,36.0,Baylor -36,,,,
400764855,SMU,21,Baylor,56,consensus,,20.0,Baylor -20,,,,
400763470,Western Michigan,24,Michigan State,37,teamrankings,55.0,16.5,Michigan State -16.5,,,,
400763470,Western Michigan,24,Michigan State,37,numberfire,55.5,16.0,Michigan State -16,,,,
400763470,Western Michigan,24,Michigan State,37,consensus,,23.5,Michigan State -23.5,,,,
400756888,Boise State,16,Washington,13,teamrankings,53.0,-12.0,Boise State -12,,,,
400756888,Boise State,16,Washington,13,numberfire,53.0,-12.5,Boise State -12.5,,,,
400756888,Boise State,16,Washington,13,consensus,,-11.0,Boise State -11,,,,
400787345,Kent State,17,Buffalo,18,teamrankings,43.5,-1.5,Kent State -1.5,,,,
400787345,Kent State,17,Buffalo,18,numberfire,43.5,-1.0,Kent State -1,,,,
400787345,Kent State,17,Buffalo,18,consensus,,3.0,Buffalo -3,,,,
400763646,UTEP,24,Rice,21,teamrankings,56.5,4.0,Rice -4,,,,
400763646,UTEP,24,Rice,21,numberfire,56.5,4.5,Rice -4.5,,,,
400763646,UTEP,24,Rice,21,consensus,,6.5,Rice -6.5,,,,
400603827,Alabama,35,Wisconsin,17,teamrankings,44.0,-12.0,Alabama -12,,,,
400603827,Alabama,35,Wisconsin,17,numberfire,44.5,-12.5,Alabama -12.5,,,,
400603827,Alabama,35,Wisconsin,17,consensus,,-10.0,Alabama -10,,,,
400756902,Pittsburgh,45,Youngstown State,37,consensus,,-15.0,Pittsburgh -15,,,,
400763500,Illinois,44,Western Illinois,0,consensus,,-25.0,Illinois -25,,,,
400763507,Purdue,38,Indiana State,14,consensus,,-15.0,Purdue -15,,,,
400763594,Charlotte,34,Presbyterian College,10,consensus,,-7.0,Charlotte -7,,,,
400756906,Boston College,76,Howard,0,consensus,,-44.0,Boston College -44,,,,
400757020,Washington,49,Sacramento State,0,consensus,,-30.0,Washington -30,,,,
400763416,West Virginia,41,Liberty,17,consensus,,-40.0,West Virginia -40,,,,
400787306,Central Michigan,31,Monmouth,10,consensus,,-25.5,Central Michigan -25.5,,,,
400603863,Auburn,27,Jacksonville State,20,consensus,,-47.0,Auburn -47,,,,
400763398,Minnesota,17,TCU,23,teamrankings,57.0,16.5,TCU -16.5,,,,
400763398,Minnesota,17,TCU,23,numberfire,57.0,15.5,TCU -15.5,,,,
400763398,Minnesota,17,TCU,23,consensus,,16.0,TCU -16,,,,
400756882,Arizona,42,UT San Antonio,32,teamrankings,59.0,-32.5,Arizona -32.5,,,,
400756882,Arizona,42,UT San Antonio,32,numberfire,58.5,-33.0,Arizona -33,,,,
400756882,Arizona,42,UT San Antonio,32,consensus,,-30.5,Arizona -30.5,,,,
