,Year,Date,Home,HomeRank,Away,AwayRank,Result,HomePTS,AwayPTS,MOV
2883,1951-52,1952-03-08,UCLA,19,Washington,6,0,50,53,-3
2884,1951-52,1952-03-07,UCLA,19,Washington,6,1,65,53,12
2885,1951-52,1952-02-23,Wyoming,19,Washington,6,1,55,45,10
2886,1951-52,1952-02-22,Wyoming,19,Washington,6,0,50,52,-2
2887,2020-21,2021-01-29,Illinois,19,Iowa,7,1,80,75,5
2888,1954-55,1955-01-17,Iowa,19,Illinois,7,1,92,80,12
2889,1992-93,1993-03-07,Oklahoma State,19,Kansas,8,0,73,74,-1
2890,1992-93,1993-01-20,Vanderbilt,19,Arkansas,8,1,102,89,13
2891,1986-87,1987-01-08,Kansas,19,Temple,8,1,67,64,3
2892,1981-82,1981-12-05,Notre Dame,19,UCLA,8,0,49,75,-26
2893,1975-76,1975-11-29,Memphis,19,Louisville,8,0,75,79,-4
2894,1989-90,1990-02-21,Illinois,19,Purdue,9,1,90,78,12
2895,1988-89,1989-01-15,Georgia Tech,19,Louisville,9,0,65,67,-2
2896,1986-87,1987-01-28,Florida,19,Alabama,9,1,90,80,10
2897,1981-82,1982-01-16,Texas,19,Arkansas,9,1,87,73,14
2898,1977-78,1978-01-28,DePaul,19,Providence,9,1,78,68,10
2899,2022-23,2023-02-21,Creighton,19,Marquette,10,0,71,73,-2
2900,2019-20,2020-02-05,Butler,19,Villanova,10,1,79,76,3
2901,2015-16,2016-03-05,Baylor,19,West Virginia,10,0,58,69,-11
2902,2007-08,2008-02-12,Purdue,19,Michigan State,10,1,60,54,6
2903,2005-06,2006-02-12,Ohio State,19,Illinois,10,1,69,53,16
2904,1997-98,1998-01-29,Michigan,19,Purdue,10,0,82,89,-7
2905,1990-91,1991-02-05,Louisiana State,19,Kentucky,10,1,107,88,19
2906,1987-88,1988-03-09,Illinois,19,Michigan,10,1,85,74,11
2907,1987-88,1988-01-04,Illinois,19,Purdue,10,0,68,81,-13
2908,1986-87,1987-02-02,St. John's (NY),19,Georgetown,10,1,67,65,2
2909,1985-86,1985-12-03,Indiana,19,Notre Dame,10,1,82,67,15
2910,1980-81,1981-02-15,Maryland,19,North Carolina,10,0,63,76,-13
2911,1980-81,1981-01-17,Clemson,19,Maryland,10,0,62,68,-6
2912,1980-81,1981-01-10,Minnesota,19,Michigan,10,0,67,68,-1
2913,1973-74,1974-03-05,Creighton,19,South Carolina,10,0,69,78,-9
2914,1968-69,1969-02-18,Illinois,19,Ohio State,10,1,73,57,16
2915,1957-58,1957-12-09,Cincinnati,19,Temple,10,1,80,57,23
2916,2017-18,2018-01-20,Seton Hall,19,Xavier,11,0,64,73,-9
2917,2010-11,2011-02-01,Wisconsin,19,Purdue,11,1,66,59,7
2918,2000-01,2001-01-06,Georgetown,19,Seton Hall,11,1,78,66,12
2919,1998-99,1999-02-17,Indiana,19,Ohio State,11,0,67,69,-2
2920,1997-98,1998-02-21,TCU,19,New Mexico,11,1,95,64,31
2921,1996-97,1996-11-30,New Mexico,19,Arizona,11,1,84,77,7
2922,1969-70,1969-12-17,Houston,19,Santa Clara,11,1,91,76,15
2923,2021-22,2022-02-19,Michigan State,19,Illinois,12,0,74,79,-5
2924,2007-08,2008-03-02,Michigan State,19,Indiana,12,1,103,74,29
2925,2005-06,2005-12-30,NC State,19,George Washington,12,1,79,58,21
2926,1999-00,2000-03-01,Auburn,19,Louisiana State,12,0,53,55,-2
2927,1998-99,1999-01-16,Minnesota,19,Iowa,12,1,75,70,5
2928,1982-83,1983-01-30,Wake Forest,19,Arkansas,12,0,65,68,-3
2929,2022-23,2023-01-25,Connecticut,19,Xavier,13,0,79,82,-3
2930,2020-21,2020-12-20,Rutgers,19,Illinois,13,1,91,88,3
2931,2019-20,2019-12-14,Tennessee,19,Memphis,13,0,47,51,-4
2932,2013-14,2013-12-10,Florida,19,Kansas,13,1,67,61,6
2933,2001-02,2002-02-28,Southern California,19,Oregon,13,0,65,67,-2
2934,1999-00,2000-01-22,St. John's (NY),19,Ohio State,13,0,64,65,-1
2935,1999-00,2000-01-06,Illinois,19,Ohio State,13,1,80,77,3
2936,1987-88,1988-01-21,Iowa,19,Illinois,13,1,93,79,14
2937,1983-84,1984-02-18,Duke,19,Wake Forest,13,1,79,77,2
2938,1979-80,1980-01-17,Indiana,19,Iowa,13,1,81,69,12
2939,1969-70,1969-12-20,Houston,19,Southern California,13,1,77,73,4
2940,2021-22,2021-12-29,Alabama,19,Tennessee,14,1,73,68,5
2941,2012-13,2013-02-02,NC State,19,Miami (FL),14,0,78,79,-1
2942,2005-06,2006-01-15,Ohio State,19,Michigan State,14,0,59,62,-3
2943,2000-01,2001-01-16,Wisconsin,19,Iowa,14,1,67,54,13
2944,1977-78,1978-01-21,Georgetown,19,Holy Cross,14,1,77,61,16
2945,1968-69,1969-01-11,Cincinnati,19,Louisville,14,1,87,75,12
2946,1949-50,1950-03-07,Kansas,19,Kansas State,14,1,79,68,11
2947,2019-20,2020-02-18,Marquette,19,Creighton,15,0,65,73,-8
2948,2005-06,2006-01-18,Ohio State,19,Wisconsin,15,1,77,67,10
2949,2002-03,2002-12-31,Xavier,19,Creighton,15,1,75,73,2
2950,2001-02,2002-02-17,Wake Forest,19,Virginia,15,1,92,70,22
2951,1953-54,1954-02-09,NC State,19,Duke,15,0,89,90,-1
2952,2013-14,2014-02-03,Oklahoma State,19,Iowa State,16,0,97,98,-1
2953,1994-95,1995-03-04,Missouri,19,Oklahoma,16,1,83,81,2
2954,1991-92,1992-02-12,Kentucky,19,Alabama,16,1,107,83,24
2955,1949-50,1950-01-09,Oklahoma,19,Missouri,16,1,41,36,5
2956,2022-23,2023-01-04,Baylor,19,TCU,17,0,87,88,-1
2957,2009-10,2010-01-19,Georgia Tech,19,Clemson,17,1,66,64,2
2958,2008-09,2008-12-13,Georgetown,19,Memphis,17,1,79,70,9
2959,2002-03,2003-01-15,Wake Forest,19,Maryland,17,1,81,72,9
2960,1992-93,1993-02-09,Seton Hall,19,Pittsburgh,17,1,91,73,18
2961,1984-85,1985-01-02,Maryland,19,NC State,17,1,58,56,2
2962,1978-79,1979-03-03,Purdue,19,Ohio State,17,1,74,66,8
2963,1975-76,1976-01-05,Michigan,19,Minnesota,17,1,95,72,23
2964,1959-60,1960-01-27,Dayton,19,Virginia Tech,17,1,77,59,18
2965,1955-56,1955-12-12,Indiana,19,Saint Louis,17,0,75,86,-11
2966,1951-52,1951-12-12,Eastern Kentucky,19,Louisville,17,0,70,72,-2
2967,2017-18,2018-01-13,Clemson,19,Miami (FL),18,1,72,63,9
2968,1996-97,1996-12-21,Arkansas,19,Louisville,18,0,88,91,-3
2969,1992-93,1993-01-31,Florida State,19,Georgia Tech,18,1,96,77,19
2970,1989-90,1990-01-13,UCLA,19,Arizona,18,1,73,67,6
2971,2014-15,2015-02-28,Baylor,19,West Virginia,20,1,78,66,12
2972,2009-10,2009-12-29,New Mexico,19,Texas Tech,20,1,90,75,15
2973,1998-99,1999-01-26,Minnesota,19,Indiana,20,1,90,83,7
2974,1995-96,1995-12-16,Georgia Tech,19,Louisville,20,1,88,77,11
2975,1978-79,1979-02-12,Vanderbilt,19,Alabama,20,1,65,57,8
2976,1959-60,1960-01-30,Dayton,19,Wake Forest,20,1,62,45,17
2977,1951-52,1952-02-26,Villanova,19,Siena,20,1,57,49,8
2978,1999-00,2000-03-11,St. John's (NY),19,Connecticut,21,1,80,70,10
2979,1995-96,1996-02-25,Memphis,19,Louisville,21,1,57,54,3
2980,2022-23,2023-02-15,Iowa State,19,TCU,22,1,70,59,11
2981,2006-07,2007-02-15,Arizona,19,Southern California,22,0,75,80,-5
2982,1998-99,1999-02-10,Iowa,19,Minnesota,22,1,76,73,3
2983,2019-20,2020-03-05,Ohio State,19,Illinois,23,1,71,63,8
2984,1999-00,2000-03-10,St. John's (NY),19,Miami (FL),23,1,58,57,1
2985,1999-00,2000-02-13,Temple,19,Maryland,23,1,73,65,8
2986,2023-24,2024-01-20,TCU,19,Iowa State,24,0,72,73,-1
2987,2019-20,2020-01-22,Iowa,19,Rutgers,24,1,85,80,5
2988,2016-17,2017-01-26,Cincinnati,19,Xavier,24,1,86,78,8
2989,2003-04,2004-01-10,Illinois,19,Purdue,24,0,54,58,-4
2990,2002-03,2003-01-25,Georgia,19,Auburn,24,1,85,79,6
2991,2016-17,2017-02-11,Saint Mary's (CA),20,Gonzaga,1,0,64,74,-10
2992,2012-13,2013-01-12,NC State,20,Duke,1,1,84,76,8
2993,2008-09,2009-01-17,Louisville,20,Pittsburgh,1,1,69,63,6
2994,2006-07,2007-02-10,Kentucky,20,Florida,1,0,61,64,-3
2995,1998-99,1998-12-12,Pittsburgh,20,Connecticut,1,0,69,70,-1
2996,1985-86,1986-02-23,NC State,20,North Carolina,1,1,76,65,11
2997,1972-73,1973-02-03,Southern California,20,UCLA,1,0,56,79,-23
2998,1987-88,1988-01-24,NC State,20,North Carolina,2,0,73,77,-4
2999,1971-72,1972-03-02,Memphis,20,Louisville,2,1,80,65,15
3000,1970-71,1971-01-04,North Carolina,20,South Carolina,2,1,79,64,15
3001,1950-51,1951-02-05,Kansas,20,Oklahoma State,2,0,41,46,-5
3002,2018-19,2019-02-26,Virginia Tech,20,Duke,3,1,77,72,5
3003,2018-19,2019-02-18,Virginia Tech,20,Virginia,3,0,58,64,-6
3004,2005-06,2006-01-16,Syracuse,20,Connecticut,3,0,80,88,-8
3005,2004-05,2005-01-22,Cincinnati,20,Wake Forest,3,0,70,74,-4
3006,2001-02,2002-02-21,Wake Forest,20,Duke,3,0,61,90,-29
3007,1997-98,1998-01-03,Maryland,20,Duke,3,0,72,104,-32
3008,1993-94,1994-01-31,Missouri,20,Kansas,3,1,79,67,12
3009,1972-73,1973-03-03,Purdue,20,Minnesota,3,0,66,79,-13
3010,1952-53,1953-03-09,St. John's (NY),20,La Salle,3,1,75,74,1
3011,2004-05,2005-01-29,Pittsburgh,20,Syracuse,4,1,76,69,7
3012,1959-60,1960-02-15,Illinois,20,Ohio State,4,0,81,109,-28
3013,1952-53,1953-03-14,St. John's (NY),20,Seton Hall,4,0,46,58,-12
3014,1952-53,1953-03-12,Manhattan,20,Seton Hall,4,0,56,74,-18
3015,1951-52,1952-01-21,Indiana,20,Iowa,4,1,82,69,13
3016,2009-10,2010-01-09,Georgia Tech,20,Duke,5,1,71,67,4
3017,2003-04,2004-01-13,Mississippi State,20,Kentucky,5,0,66,67,-1
3018,1989-90,1990-02-28,Clemson,20,Duke,5,1,97,93,4
3019,1987-88,1988-02-28,Georgia Tech,20,Duke,5,1,91,87,4
3020,1987-88,1988-02-13,Villanova,20,Pittsburgh,5,0,75,87,-12
3021,1980-81,1981-02-21,Maryland,20,Wake Forest,5,1,94,80,14
3022,1960-61,1960-12-16,Kansas State,20,North Carolina,5,1,77,69,8
3023,1958-59,1959-01-10,Illinois,20,Michigan State,5,0,96,97,-1
3024,1951-52,1952-01-17,Holy Cross,20,Saint Louis,5,1,66,65,1
3025,2020-21,2021-02-24,Arkansas,20,Alabama,6,1,81,66,15
3026,1994-95,1995-02-21,Alabama,20,Kentucky,6,0,52,72,-20
3027,1974-75,1974-12-02,Houston,20,Louisville,6,0,87,91,-4
3028,1957-58,1958-02-12,Oklahoma,20,Oklahoma State,6,0,50,70,-20
3029,1953-54,1954-02-20,Navy,20,Notre Dame,6,0,72,84,-12
3030,2017-18,2017-12-17,Tennessee,20,North Carolina,7,0,73,78,-5
3031,2006-07,2007-01-27,Washington State,20,Oregon,7,0,74,77,-3
3032,1987-88,1987-12-19,Iowa State,20,Iowa,7,1,102,100,2
3033,1979-80,1979-12-20,Arkansas,20,Louisiana State,7,0,55,56,-1
3034,1978-79,1978-12-21,Southern California,20,Kansas,7,1,89,83,6
3035,1977-78,1978-02-12,Providence,20,North Carolina,7,1,61,59,2
3036,1968-69,1969-02-13,Louisville,20,Tulsa,7,1,83,81,2
3037,2021-22,2022-02-07,Texas,20,Kansas,8,1,79,76,3
