,Year,Date,Home,HomeRank,Away,AwayRank,Result,HomePTS,AwayPTS,MOV
0,2015-16,2016-01-04,Kansas,1,Oklahoma,2,1,109,106,3
1,2007-08,2008-02-23,Memphis,1,Tennessee,2,0,62,66,-4
2,1989-90,1990-02-13,Kansas,1,Missouri,2,0,71,77,-6
3,1984-85,1985-02-27,St. John's (NY),1,Georgetown,2,0,69,85,-16
4,1984-85,1985-01-26,Georgetown,1,St. John's (NY),2,0,65,66,-1
5,1984-85,1984-12-15,Georgetown,1,DePaul,2,1,77,57,20
6,1981-82,1982-01-09,North Carolina,1,Virginia,2,1,65,60,5
7,1954-55,1954-12-21,Kentucky,1,Utah,2,1,70,65,5
8,2019-20,2020-02-22,Baylor,1,Kansas,3,0,61,64,-3
9,2001-02,2002-01-17,Duke,1,Maryland,3,1,99,78,21
10,1997-98,1998-02-28,Duke,1,North Carolina,3,1,77,75,2
11,1995-96,1996-01-04,Massachusetts,1,Memphis,3,1,64,61,3
12,1986-87,1987-01-22,Iowa,1,Indiana,3,1,101,88,13
13,1985-86,1986-03-02,Duke,1,North Carolina,3,1,82,74,8
14,1985-86,1986-01-18,North Carolina,1,Duke,3,1,95,92,3
15,1982-83,1983-02-10,North Carolina,1,Virginia,3,1,64,63,1
16,1980-81,1980-12-27,DePaul,1,UCLA,3,1,93,77,16
17,1970-71,1971-03-12,UCLA,1,Southern California,3,1,73,62,11
18,1958-59,1959-01-14,NC State,1,North Carolina,3,0,68,72,-4
19,2023-24,2024-02-17,Connecticut,1,Marquette,4,1,81,53,28
20,2019-20,2019-12-03,Louisville,1,Michigan,4,1,58,43,15
21,2018-19,2019-01-19,Duke,1,Virginia,4,1,72,70,2
22,2008-09,2009-02-16,Connecticut,1,Pittsburgh,4,0,68,76,-8
23,1992-93,1993-02-14,Indiana,1,Michigan,4,1,93,92,1
24,1985-86,1986-01-25,North Carolina,1,Georgia Tech,4,1,85,77,8
25,1978-79,1979-02-11,Notre Dame,1,UCLA,4,0,52,56,-4
26,1973-74,1974-02-26,NC State,1,North Carolina,4,1,83,72,11
27,1973-74,1973-12-01,UCLA,1,Maryland,4,1,65,64,1
28,1954-55,1954-12-22,Kentucky,1,La Salle,4,1,63,54,9
29,2021-22,2021-11-13,Gonzaga,1,Texas,5,1,86,74,12
30,2011-12,2011-12-03,Kentucky,1,North Carolina,5,1,73,72,1
31,1999-00,2000-01-08,Stanford,1,Arizona,5,0,65,68,-3
32,1980-81,1981-03-07,Oregon State,1,Arizona State,5,0,67,87,-20
33,1959-60,1959-12-22,Cincinnati,1,Bradley,5,1,86,71,15
34,2014-15,2014-12-05,Kentucky,1,Texas,6,1,63,51,12
35,2012-13,2013-01-19,Louisville,1,Syracuse,6,0,68,70,-2
36,2010-11,2010-12-01,Duke,1,Michigan State,6,1,84,79,5
37,2003-04,2004-01-11,Connecticut,1,Oklahoma,6,1,86,59,27
38,1992-93,1993-03-07,North Carolina,1,Duke,6,1,83,69,14
39,1980-81,1981-01-28,Virginia,1,Wake Forest,6,1,83,73,10
40,1971-72,1971-12-30,UCLA,1,Ohio State,6,1,79,53,26
41,1964-65,1965-03-06,Michigan,1,Minnesota,6,1,91,78,13
42,1958-59,1959-02-18,North Carolina,1,NC State,6,1,74,67,7
43,1953-54,1953-12-28,Kentucky,1,Minnesota,6,1,74,59,15
44,2001-02,2002-01-27,Duke,1,Virginia,7,1,94,81,13
45,1994-95,1995-01-07,North Carolina,1,Maryland,7,1,100,90,10
46,1966-67,1966-12-10,UCLA,1,Duke,7,1,107,87,20
47,1966-67,1966-12-09,UCLA,1,Duke,7,1,88,54,34
48,2022-23,2022-12-10,Houston,1,Alabama,8,0,65,71,-6
49,2018-19,2019-02-20,Duke,1,North Carolina,8,0,72,88,-16
50,2011-12,2012-02-07,Kentucky,1,Florida,8,1,78,58,20
51,2002-03,2002-12-15,Arizona,1,Texas,8,1,73,70,3
52,2000-01,2001-03-08,Stanford,1,Arizona,8,0,75,76,-1
53,1996-97,1997-01-13,Kansas,1,Iowa State,8,1,80,67,13
54,1975-76,1975-12-11,Indiana,1,Notre Dame,8,1,63,60,3
55,1974-75,1975-01-04,NC State,1,North Carolina,8,1,82,67,15
56,1962-63,1963-01-05,Cincinnati,1,Wichita State,8,1,63,50,13
57,1960-61,1960-12-22,Ohio State,1,Detroit Mercy,8,1,84,73,11
58,1953-54,1953-12-07,Indiana,1,Kansas State,8,1,92,66,26
59,1950-51,1951-01-17,Oklahoma State,1,Saint Louis,8,1,55,44,11
60,2023-24,2024-01-05,Purdue,1,Illinois,9,1,83,78,5
61,2005-06,2006-01-31,Connecticut,1,Pittsburgh,9,1,80,76,4
62,1998-99,1998-12-05,Connecticut,1,Michigan State,9,1,82,68,14
63,1987-88,1987-12-30,Arizona,1,Duke,9,1,91,85,6
64,1986-87,1986-12-29,Nevada-Las Vegas,1,Navy,9,1,104,79,25
65,1981-82,1981-12-03,North Carolina,1,Tulsa,9,1,78,70,8
66,1972-73,1973-01-20,UCLA,1,Providence,9,1,101,77,24
67,2017-18,2018-01-10,Villanova,1,Xavier,10,1,89,65,24
68,2010-11,2011-03-06,Ohio State,1,Wisconsin,10,1,93,65,28
69,1983-84,1984-01-29,North Carolina,1,Louisiana State,10,1,90,79,11
70,1980-81,1981-01-29,Oregon State,1,UCLA,10,1,81,67,14
71,1972-73,1973-01-19,UCLA,1,San Francisco,10,1,92,64,28
72,1968-69,1968-11-30,UCLA,1,Purdue,10,1,94,82,12
73,1967-68,1967-12-22,UCLA,1,Bradley,10,1,109,73,36
74,1960-61,1961-01-28,Ohio State,1,Purdue,10,1,92,62,30
75,1957-58,1958-03-08,Kansas State,1,Kansas,10,0,44,61,-17
76,2016-17,2016-12-03,Kentucky,1,UCLA,11,0,92,97,-5
77,1992-93,1993-01-04,Duke,1,Oklahoma,11,1,88,84,4
78,1973-74,1974-02-02,UCLA,1,Southern California,11,1,65,54,11
79,1959-60,1960-01-13,Cincinnati,1,Saint Louis,11,1,79,57,22
80,1956-57,1957-02-13,North Carolina,1,Wake Forest,11,1,72,69,3
81,2016-17,2017-01-29,Villanova,1,Virginia,12,1,61,59,2
82,2010-11,2011-01-25,Ohio State,1,Purdue,12,1,87,64,23
83,1990-91,1991-02-16,Nevada-Las Vegas,1,New Mexico State,12,1,86,74,12
84,1982-83,1983-02-13,North Carolina,1,Villanova,12,0,53,56,-3
85,1978-79,1978-12-13,Duke,1,Southern California,12,1,79,65,14
86,2005-06,2006-03-04,Duke,1,North Carolina,13,0,76,83,-7
87,2000-01,2001-02-10,North Carolina,1,Maryland,13,1,96,82,14
88,1988-89,1989-01-18,Duke,1,North Carolina,13,0,71,91,-20
89,1987-88,1988-01-30,Arizona,1,Illinois,13,1,78,70,8
90,2023-24,2024-03-09,Houston,1,Kansas,14,1,76,46,30
91,2019-20,2020-02-15,Baylor,1,West Virginia,14,1,70,59,11
92,2012-13,2012-11-27,Indiana,1,North Carolina,14,1,83,59,24
93,2006-07,2006-12-31,UCLA,1,Washington,14,1,96,74,22
94,2005-06,2006-01-18,Duke,1,NC State,14,1,81,68,13
95,2001-02,2002-01-19,Duke,1,Wake Forest,14,1,103,80,23
96,1994-95,1995-02-25,Kansas,1,Missouri,14,1,88,69,19
97,1992-93,1993-03-03,North Carolina,1,Wake Forest,14,1,83,65,18
98,1992-93,1993-02-21,Indiana,1,Purdue,14,1,93,78,15
99,1991-92,1992-01-11,Duke,1,Georgia Tech,14,1,97,84,13
100,1979-80,1980-01-20,DePaul,1,Louisiana State,14,1,78,73,5
101,1999-00,2000-02-20,Cincinnati,1,Temple,15,0,69,77,-8
102,1996-97,1997-02-15,Kansas,1,Colorado,15,1,114,74,40
103,1994-95,1995-02-18,Connecticut,1,Villanova,15,0,73,96,-23
104,1983-84,1984-03-03,North Carolina,1,Duke,15,1,96,83,13
105,1979-80,1980-01-12,Duke,1,North Carolina,15,0,67,82,-15
106,1949-50,1950-02-20,Bradley,1,Saint Louis,15,1,52,45,7
107,1998-99,1999-02-01,Connecticut,1,Syracuse,16,0,42,59,-17
108,1991-92,1992-03-08,Duke,1,North Carolina,16,1,89,77,12
109,1989-90,1989-12-02,Syracuse,1,Temple,16,1,73,56,17
110,1988-89,1989-01-28,Illinois,1,Indiana,16,1,75,65,10
111,1985-86,1986-01-26,North Carolina,1,Notre Dame,16,1,73,61,12
112,1979-80,1979-12-11,Indiana,1,Georgetown,16,1,76,69,7
113,1974-75,1975-01-13,Indiana,1,Minnesota,16,1,79,59,20
114,1953-54,1953-12-14,Indiana,1,Notre Dame,16,1,66,55,11
115,1951-52,1951-12-26,Kentucky,1,UCLA,16,1,84,53,31
116,2018-19,2018-12-15,Kansas,1,Villanova,17,1,74,71,3
117,2002-03,2003-01-12,Duke,1,Wake Forest,17,1,74,55,19
118,1983-84,1984-01-25,North Carolina,1,Wake Forest,17,1,100,63,37
119,2023-24,2024-01-17,Connecticut,1,Creighton,18,1,62,48,14
120,2014-15,2015-02-28,Kentucky,1,Arkansas,18,1,84,67,17
121,1991-92,1992-01-18,Duke,1,Charlotte,18,1,104,82,22
122,1981-82,1982-02-24,Virginia,1,Wake Forest,18,1,84,66,18
123,1971-72,1972-02-05,UCLA,1,Southern California,18,1,81,56,25
124,2021-22,2022-01-11,Baylor,1,Texas Tech,19,0,62,65,-3
125,2002-03,2003-01-04,Alabama,1,Xavier,19,1,65,58,7
126,2002-03,2002-11-23,Arizona,1,Western Kentucky,19,1,107,68,39
127,1993-94,1993-11-18,North Carolina,1,Cincinnati,19,1,90,63,27
128,1952-53,1953-02-16,Seton Hall,1,Villanova,19,1,83,68,15
129,2011-12,2012-01-07,Syracuse,1,Marquette,20,1,73,66,7
130,2004-05,2005-02-12,Illinois,1,Wisconsin,20,1,70,59,11
131,2002-03,2003-02-01,Arizona,1,California,20,1,95,80,15
132,1987-88,1988-02-10,Temple,1,Villanova,20,1,98,86,12
133,1984-85,1985-02-20,St. John's (NY),1,Boston College,20,1,71,69,2
134,1984-85,1984-12-08,Georgetown,1,Nevada-Las Vegas,20,1,82,46,36
135,1974-75,1975-01-25,Indiana,1,Purdue,20,1,104,71,33
136,1956-57,1957-03-08,North Carolina,1,Wake Forest,20,1,61,59,2
137,2015-16,2016-03-05,Kansas,1,Iowa State,21,1,85,78,7
138,2014-15,2014-12-13,Kentucky,1,North Carolina,21,1,84,70,14
139,2009-10,2010-01-30,Kentucky,1,Vanderbilt,21,1,85,72,13
140,2000-01,2001-02-01,Stanford,1,Southern California,21,1,77,71,6
141,1994-95,1995-01-14,Massachusetts,1,Pennsylvania,21,1,93,60,33
142,2002-03,2003-02-08,Florida,1,Alabama,22,1,75,56,19
143,1996-97,1997-01-06,Kansas,1,Texas,22,1,86,61,25
144,2023-24,2023-12-09,Arizona,1,Wisconsin,23,1,98,73,25
145,2008-09,2009-02-11,Connecticut,1,Syracuse,23,1,63,49,14
146,2005-06,2006-01-11,Duke,1,Maryland,23,1,76,52,24
147,2004-05,2005-01-20,Illinois,1,Iowa,23,1,73,68,5
148,1997-98,1998-01-29,Duke,1,Maryland,23,1,86,59,27
149,2010-11,2011-02-23,Duke,1,Temple,24,1,78,61,17
150,2006-07,2007-01-31,Florida,1,Vanderbilt,24,1,74,64,10
151,2001-02,2002-02-14,Duke,1,NC State,24,1,108,71,37
152,1997-98,1998-02-14,North Carolina,1,Maryland,24,1,85,67,18
153,1994-95,1994-12-08,North Carolina,1,Villanova,24,1,75,66,9
154,2013-14,2014-03-08,Florida,1,Kentucky,25,1,84,65,19
155,2006-07,2007-02-14,Florida,1,Alabama,25,1,76,67,9
156,1994-95,1995-03-11,UCLA,1,Oregon,25,1,94,78,16
157,1990-91,1990-12-19,Nevada-Las Vegas,1,Princeton,25,1,69,35,34
158,2006-07,2007-02-25,Ohio State,2,Wisconsin,1,1,49,48,1
159,1997-98,1998-02-05,North Carolina,2,Duke,1,1,97,73,24
160,1993-94,1994-02-03,North Carolina,2,Duke,1,1,89,78,11
161,1990-91,1991-02-10,Arkansas,2,Nevada-Las Vegas,1,0,105,112,-7
162,1985-86,1986-02-04,Georgia Tech,2,North Carolina,1,0,77,78,-1
163,1984-85,1985-03-09,St. John's (NY),2,Georgetown,1,0,80,92,-12
164,1973-74,1974-01-26,UCLA,2,Notre Dame,1,1,94,75,19
165,1973-74,1974-01-19,Notre Dame,2,UCLA,1,1,71,70,1
166,1967-68,1968-01-20,Houston,2,UCLA,1,1,71,69,2
167,1964-65,1964-12-14,Michigan,2,Wichita State,1,1,87,85,2
168,1951-52,1951-12-17,Kentucky,2,St. John's (NY),1,1,81,40,41
169,2011-12,2011-11-29,Ohio State,2,Duke,3,1,85,63,22
170,1991-92,1992-02-08,Oklahoma State,2,Kansas,3,1,64,58,6
171,1978-79,1978-12-09,UCLA,2,Notre Dame,3,0,78,81,-3
172,1972-73,1973-01-31,NC State,2,Maryland,3,1,89,78,11
173,1972-73,1973-01-14,Maryland,2,NC State,3,0,85,87,-2
174,1970-71,1971-02-06,Southern California,2,UCLA,3,0,60,64,-4
175,1965-66,1966-01-15,Kentucky,2,Vanderbilt,3,1,96,83,13
176,1960-61,1961-02-02,St. Bonaventure,2,Bradley,3,1,75,61,14
177,2022-23,2022-11-20,Gonzaga,2,Kentucky,4,1,88,72,16
178,2021-22,2021-11-12,UCLA,2,Villanova,4,1,86,77,9
179,2020-21,2021-03-02,Michigan,2,Illinois,4,0,53,76,-23
180,2014-15,2015-01-31,Virginia,2,Duke,4,0,63,69,-6
181,2014-15,2014-12-03,Wisconsin,2,Duke,4,0,70,80,-10
182,2012-13,2012-11-28,Duke,2,Ohio State,4,1,73,68,5
183,2003-04,2004-01-17,Duke,2,Wake Forest,4,1,84,72,12
184,2000-01,2001-02-01,Duke,2,North Carolina,4,0,83,85,-2
185,1999-00,1999-12-11,Arizona,2,Michigan State,4,1,79,68,11
186,1996-97,1997-01-23,Clemson,2,Wake Forest,4,0,62,65,-3
187,1990-91,1991-02-17,Ohio State,2,Indiana,4,1,97,95,2
188,1957-58,1958-02-03,Kansas,2,Kansas State,4,0,75,79,-4
189,1954-55,1955-01-22,NC State,2,La Salle,4,1,76,73,3
190,2022-23,2022-12-17,Virginia,2,Houston,5,0,61,69,-8
191,2009-10,2010-03-03,Kansas,2,Kansas State,5,1,82,65,17
192,2007-08,2007-12-22,Memphis,2,Georgetown,5,1,85,71,14
193,1993-94,1994-03-05,Duke,2,North Carolina,5,0,77,87,-10
194,1966-67,1966-12-16,UTEP,2,New Mexico,5,0,62,71,-9
195,1955-56,1955-12-21,NC State,2,Brigham Young,5,1,95,81,14
196,1950-51,1951-02-26,Oklahoma State,2,Bradley,5,0,50,51,-1
197,1950-51,1950-12-27,Bradley,2,Indiana,5,1,64,62,2
198,2023-24,2024-02-19,Houston,2,Iowa State,6,1,73,65,8
199,2021-22,2021-12-12,Baylor,2,Villanova,6,1,57,36,21
200,2004-05,2005-03-06,North Carolina,2,Duke,6,1,75,73,2
201,1994-95,1995-01-23,Connecticut,2,Syracuse,6,1,86,75,11
202,1992-93,1993-01-12,Michigan,2,Indiana,6,0,75,76,-1
203,1988-89,1989-01-14,Illinois,2,Michigan,6,1,96,84,12
204,1983-84,1983-11-26,Kentucky,2,Louisville,6,1,65,44,21
205,1980-81,1981-03-08,DePaul,2,Notre Dame,6,1,74,64,10
206,1972-73,1973-02-05,NC State,2,North Carolina,6,1,76,73,3
207,1961-62,1962-02-19,Cincinnati,2,Bradley,6,1,72,57,15
208,2022-23,2022-12-01,Texas,2,Creighton,7,1,72,67,5
209,2008-09,2009-03-08,North Carolina,2,Duke,7,1,79,71,8
210,1998-99,1999-02-03,Duke,2,Maryland,7,1,95,77,18
211,1996-97,1997-02-12,Wake Forest,2,Clemson,7,1,55,49,6
212,1993-94,1993-11-27,Kentucky,2,Louisville,7,1,78,70,8
213,1986-87,1987-02-21,Indiana,2,Iowa,7,1,84,75,9
214,1958-59,1958-12-20,Kentucky,2,West Virginia,7,1,97,91,6
215,2013-14,2013-12-28,Syracuse,2,Villanova,8,1,78,62,16
216,2007-08,2007-12-02,UCLA,2,Texas,8,0,61,63,-2
217,2000-01,2000-12-06,Michigan State,2,Florida,8,1,99,83,16
218,1999-00,1999-12-01,North Carolina,2,Michigan State,8,0,76,86,-10
219,1997-98,1998-02-28,Arizona,2,Stanford,8,1,90,58,32
220,1996-97,1997-02-05,Wake Forest,2,Duke,8,0,68,73,-5
221,1993-94,1994-02-27,Duke,2,Temple,8,1,59,47,12
222,1976-77,1977-02-26,Kentucky,2,Alabama,8,1,85,70,15
223,1974-75,1975-02-01,NC State,2,Maryland,8,0,97,98,-1
224,1961-62,1962-02-12,Kentucky,2,Mississippi State,8,0,44,49,-5
225,1956-57,1957-02-02,Kansas,2,Iowa State,8,1,75,64,11
226,2020-21,2021-01-18,Baylor,2,Kansas,9,1,77,69,8
227,2009-10,2009-12-22,Texas,2,Michigan State,9,1,79,68,11
228,2004-05,2005-01-01,Kansas,2,Georgia Tech,9,1,70,68,2
229,2000-01,2001-01-24,Duke,2,Wake Forest,9,1,85,62,23
230,1994-95,1995-02-28,North Carolina,2,Wake Forest,9,0,70,79,-9
231,1993-94,1994-01-20,UCLA,2,Arizona,9,1,74,66,8
232,1989-90,1990-02-03,Kansas,2,Oklahoma,9,1,85,74,11
233,1987-88,1988-01-21,North Carolina,2,Duke,9,0,69,70,-1
234,1980-81,1980-12-03,Kentucky,2,Ohio State,9,1,70,64,6
235,1970-71,1971-01-12,Marquette,2,Notre Dame,9,1,71,66,5
236,1958-59,1958-12-13,Kentucky,2,Saint Louis,9,1,76,57,19
237,1955-56,1956-01-28,Dayton,2,Louisville,9,0,64,66,-2
238,1950-51,1950-12-19,Bradley,2,UCLA,9,1,79,74,5
239,2010-11,2011-01-22,Kansas,2,Texas,10,0,63,74,-11
240,2000-01,2001-01-13,Duke,2,Virginia,10,1,103,61,42
241,1998-99,1999-01-27,Duke,2,North Carolina,10,1,89,77,12
242,1994-95,1995-01-16,Connecticut,2,Georgetown,10,1,93,73,20
243,1988-89,1989-01-07,Syracuse,2,Seton Hall,10,1,90,66,24
244,1987-88,1988-03-05,Purdue,2,Michigan,10,1,80,67,13
245,1985-86,1986-02-22,Duke,2,Oklahoma,10,1,93,84,9
246,1981-82,1981-12-08,Kentucky,2,Indiana,10,1,85,69,16
247,2015-16,2016-01-16,Oklahoma,2,West Virginia,11,1,70,68,2
248,2008-09,2008-12-29,Connecticut,2,Georgetown,11,0,63,74,-11
249,1996-97,1997-01-19,Wake Forest,2,Maryland,11,0,51,54,-3
250,1996-97,1997-01-04,Wake Forest,2,North Carolina,11,1,81,57,24
251,1992-93,1993-02-06,Kentucky,2,Vanderbilt,11,1,82,67,15
252,1989-90,1990-02-18,Missouri,2,Oklahoma,11,1,92,90,2
253,1984-85,1985-01-23,St. John's (NY),2,Syracuse,11,1,82,80,2
254,1982-83,1983-01-15,Virginia,2,North Carolina,11,0,95,101,-6
255,1974-75,1975-02-26,Maryland,2,Clemson,11,1,70,64,6
256,1954-55,1955-02-28,Kentucky,2,Alabama,11,1,66,52,14
257,2023-24,2023-11-10,Duke,2,Arizona,12,0,73,78,-5
258,2021-22,2022-01-22,Auburn,2,Kentucky,12,1,80,71,9
259,2011-12,2012-02-08,Syracuse,2,Georgetown,12,1,64,61,3
260,2003-04,2004-02-07,Stanford,2,Arizona,12,1,80,77,3
261,1997-98,1998-02-22,Duke,2,UCLA,12,1,120,84,36
262,1984-85,1985-03-01,Georgetown,2,Syracuse,12,1,90,63,27
263,1977-78,1978-02-01,Arkansas,2,Texas,12,1,75,71,4
264,1974-75,1975-02-14,UCLA,2,Oregon,13,1,95,66,29
265,1969-70,1970-02-11,South Carolina,2,Davidson,13,0,62,68,-6
266,1969-70,1970-01-03,UCLA,2,Notre Dame,13,1,108,77,31
267,1954-55,1954-12-22,Utah,2,Southern California,13,0,52,54,-2
268,2022-23,2023-01-21,Kansas,2,TCU,14,0,60,83,-23
269,2022-23,2023-01-14,Kansas,2,Iowa State,14,1,62,60,2
270,2012-13,2013-03-05,Indiana,2,Ohio State,14,0,58,67,-9
271,1985-86,1986-02-16,Duke,2,Notre Dame,14,1,75,74,1
272,1957-58,1958-01-02,Kansas,2,Oklahoma State,14,0,50,52,-2
273,1954-55,1955-02-21,Kentucky,2,Vanderbilt,14,1,77,59,18
274,1953-54,1954-01-04,Duquesne,2,Dayton,14,1,70,52,18
275,1951-52,1952-01-14,Illinois,2,Indiana,14,1,78,66,12
276,2010-11,2011-01-24,Pittsburgh,2,Notre Dame,15,0,51,56,-5
277,2001-02,2001-12-15,Missouri,2,Iowa,15,0,65,83,-18
278,1998-99,1999-02-20,Connecticut,2,Miami (FL),15,0,71,73,-2
279,1990-91,1990-11-16,Arkansas,2,Oklahoma,15,1,110,88,22
280,1955-56,1955-12-17,NC State,2,West Virginia,15,1,92,71,21
281,2017-18,2017-12-10,Kansas,2,Arizona State,16,0,85,95,-10
282,2000-01,2001-02-27,Duke,2,Maryland,16,0,80,91,-11
283,1985-86,1986-01-27,Memphis,2,Virginia Tech,16,1,83,61,22
284,1984-85,1985-02-11,Georgetown,2,Villanova,16,1,57,50,7
285,1982-83,1983-02-16,Indiana,2,Iowa,16,0,57,58,-1
286,1953-54,1953-12-22,Kentucky,2,La Salle,16,1,73,60,13
287,1951-52,1951-12-28,Illinois,2,UCLA,16,1,73,67,6
288,2013-14,2014-02-01,Syracuse,2,Duke,17,1,91,89,2
289,2007-08,2007-12-29,Memphis,2,Arizona,17,1,76,63,13
290,1986-87,1987-02-26,North Carolina,2,Duke,17,1,77,71,6
291,1981-82,1982-01-30,North Carolina,2,NC State,17,1,58,44,14
292,1976-77,1976-12-18,Marquette,2,Louisville,17,0,75,78,-3
293,1974-75,1975-02-15,UCLA,2,Oregon State,17,1,74,62,12
294,1971-72,1971-12-28,Marquette,2,Marshall,17,1,74,72,2
295,2017-18,2018-01-23,Virginia,2,Clemson,18,1,61,36,25
296,1993-94,1994-01-29,Duke,2,Maryland,18,1,75,62,13
297,1985-86,1986-01-08,Michigan,2,Illinois,18,1,61,59,2
298,1977-78,1978-01-18,Marquette,2,DePaul,18,1,80,74,6
299,1975-76,1976-02-14,Marquette,2,Virginia Tech,18,1,68,61,7
300,1958-59,1958-12-11,Kentucky,2,Southern Methodist,18,1,72,60,12
301,2011-12,2012-03-03,Syracuse,2,Louisville,19,1,58,49,9
302,2010-11,2011-02-07,Kansas,2,Missouri,19,1,103,86,17
303,2006-07,2007-02-07,UCLA,2,Southern California,19,1,70,65,5
304,2002-03,2003-02-23,Kentucky,2,Mississippi State,19,1,70,62,8
305,1955-56,1956-02-15,Dayton,2,Memphis,19,1,85,71,14
306,2019-20,2019-12-07,Kansas,2,Colorado,20,1,72,58,14
307,2003-04,2003-12-27,Kentucky,2,Louisville,20,0,56,65,-9
308,2001-02,2002-02-24,Maryland,2,Wake Forest,20,1,90,89,1
309,2001-02,2002-01-19,Florida,2,Georgia,20,0,79,84,-5
310,1997-98,1998-01-24,North Carolina,2,Florida State,20,1,103,55,48
311,1987-88,1988-01-09,Pittsburgh,2,St. John's (NY),20,1,81,70,11
312,1985-86,1986-01-11,Michigan,2,Purdue,20,1,75,71,4
313,2018-19,2019-01-06,Michigan,2,Indiana,21,1,74,63,11
314,2021-22,2022-02-12,Gonzaga,2,Saint Mary's (CA),22,1,74,58,16
315,2016-17,2017-02-22,Villanova,2,Butler,22,0,66,74,-8
316,2013-14,2014-01-18,Syracuse,2,Pittsburgh,22,1,59,54,5
317,2001-02,2002-01-28,Kansas,2,Missouri,22,1,105,73,32
318,1997-98,1997-12-13,North Carolina,2,Princeton,22,1,50,42,8
319,1996-97,1997-03-01,Minnesota,2,Indiana,22,1,75,72,3
320,2016-17,2017-02-25,Villanova,2,Creighton,23,1,79,63,16
321,2015-16,2016-01-02,Kansas,2,Baylor,23,1,102,74,28
322,1996-97,1997-02-22,Minnesota,2,Illinois,23,1,67,66,1
323,1995-96,1995-12-02,Kansas,2,UCLA,23,1,85,70,15
324,2010-11,2011-03-02,Kansas,2,Texas A&M,24,1,64,51,13
325,2001-02,2002-02-09,Kansas,2,Texas Tech,24,1,108,81,27
326,1999-00,2000-02-10,Stanford,2,Oregon,24,1,76,61,15
327,1992-93,1993-01-24,Indiana,2,Ohio State,24,1,95,69,26
328,2022-23,2023-02-04,Tennessee,2,Auburn,25,1,46,43,3
329,2000-01,2001-01-16,Duke,2,Boston College,25,1,97,75,22
330,1991-92,1992-01-29,UCLA,2,Southern California,25,0,82,86,-4
331,2012-13,2013-02-02,Indiana,3,Michigan,1,1,81,73,8
332,2008-09,2009-03-07,Pittsburgh,3,Connecticut,1,1,70,60,10
333,2001-02,2002-02-17,Maryland,3,Duke,1,1,87,73,14
334,1982-83,1982-12-11,Georgetown,3,Virginia,1,0,63,68,-5
335,1965-66,1965-12-21,Michigan,3,Duke,1,0,93,100,-7
336,1962-63,1963-01-26,Illinois,3,Cincinnati,1,0,53,62,-9
337,1961-62,1961-12-09,Wake Forest,3,Ohio State,1,0,62,84,-22
338,2018-19,2019-02-09,Virginia,3,Duke,2,0,71,81,-10
339,2016-17,2017-02-01,Kansas,3,Baylor,2,1,73,68,5
340,2007-08,2008-02-06,North Carolina,3,Duke,2,0,78,89,-11
341,2005-06,2006-02-26,Connecticut,3,Villanova,2,1,89,75,14
342,2002-03,2003-03-08,Florida,3,Kentucky,2,0,67,69,-2
343,1981-82,1982-02-03,Virginia,3,North Carolina,2,1,74,58,16
344,1968-69,1968-12-07,Kentucky,3,North Carolina,2,0,77,87,-10
345,1965-66,1966-02-02,Vanderbilt,3,Kentucky,2,0,90,105,-15
346,1958-59,1959-02-21,Kentucky,3,Auburn,2,1,75,56,19
347,2019-20,2020-01-11,Kansas,3,Baylor,4,0,55,67,-12
348,2018-19,2019-03-09,North Carolina,3,Duke,4,1,79,70,9
349,2011-12,2011-12-31,Kentucky,3,Louisville,4,1,69,62,7
350,2003-04,2004-01-10,Arizona,3,Stanford,4,0,72,82,-10
351,1993-94,1993-12-11,Michigan,3,Duke,4,0,63,73,-10
352,1990-91,1991-01-21,Indiana,3,Ohio State,4,0,85,93,-8
353,1987-88,1987-12-12,Iowa,3,Arizona,4,0,59,66,-7
354,1983-84,1984-01-22,Kentucky,3,Houston,4,1,74,67,7
355,1982-83,1982-12-04,Kentucky,3,Villanova,4,1,93,79,14
356,1969-70,1970-01-05,South Carolina,3,North Carolina,4,1,65,52,13
357,1958-59,1958-12-19,Kansas State,3,NC State,4,1,69,67,2
358,1951-52,1952-02-11,Duquesne,3,St. Bonaventure,4,1,69,63,6
359,2017-18,2017-11-30,Michigan State,3,Notre Dame,5,1,81,63,18
360,2012-13,2013-03-02,Duke,3,Miami (FL),5,1,79,76,3
361,2011-12,2012-01-21,Baylor,3,Missouri,5,0,88,89,-1
362,2006-07,2007-01-09,Wisconsin,3,Ohio State,5,1,72,69,3
363,1977-78,1977-12-10,Notre Dame,3,UCLA,5,1,69,66,3
364,1973-74,1974-01-29,Notre Dame,3,Marquette,5,1,69,63,6
365,1963-64,1963-12-21,Michigan,3,Duke,5,1,83,67,16
366,2015-16,2016-02-13,Oklahoma,3,Kansas,6,0,72,76,-4
367,2000-01,2000-11-29,Michigan State,3,North Carolina,6,1,77,64,13
368,1996-97,1997-03-02,Kentucky,3,South Carolina,6,0,66,72,-6
369,1976-77,1977-01-29,Alabama,3,Kentucky,6,0,85,87,-2
370,1973-74,1973-12-11,Indiana,3,Notre Dame,6,0,67,73,-6
371,1957-58,1958-02-15,Cincinnati,3,Oklahoma State,6,1,71,59,12
372,2023-24,2024-02-03,North Carolina,3,Duke,7,1,93,84,9
373,2020-21,2020-12-22,Kansas,3,West Virginia,7,1,79,65,14
