,rankDiff,homeWins,homeGames,awayWins,awayGames,combinedWins,combinedGames,combinedWinPct
0,1,28,42,10,35,38,77,0.4935064935064935
1,2,17,29,17,30,34,59,0.576271186440678
2,3,27,39,17,43,44,82,0.5365853658536586
3,4,33,45,23,41,56,86,0.6511627906976745
4,5,30,39,25,34,55,73,0.7534246575342466
5,6,26,35,15,32,41,67,0.6119402985074627
6,7,28,33,19,32,47,65,0.7230769230769231
7,8,29,37,18,38,47,75,0.6266666666666667
8,9,26,32,16,32,42,64,0.65625
9,10,39,45,21,31,60,76,0.7894736842105263
10,11,24,32,18,28,42,60,0.7
11,12,21,30,15,25,36,55,0.6545454545454545
12,13,21,25,14,25,35,50,0.7
13,14,27,32,28,33,55,65,0.8461538461538461
14,15,23,27,11,20,34,47,0.723404255319149
15,16,21,22,23,32,44,54,0.8148148148148148
16,17,23,29,13,20,36,49,0.7346938775510204
17,18,17,21,13,17,30,38,0.7894736842105263
18,19,13,14,6,9,19,23,0.8260869565217391
19,20,11,12,4,8,15,20,0.75
20,21,10,10,4,7,14,17,0.8235294117647058
21,22,3,3,6,8,9,11,0.8181818181818182
22,23,3,3,5,5,8,8,1.0
23,24,1,1,0,0,1,1,1.0
