,rankDiff,winsHome,gamesHome,winPctHome,winsAway,gamesAway,winPctAway
0,"[1, 2]",22,30,0.7333333333333333,15,27,0.5555555555555556
1,"[3, 4]",22,37,0.5945945945945946,14,30,0.4666666666666667
2,"[5, 6]",16,30,0.5333333333333333,12,22,0.5454545454545454
3,"[7, 8]",9,20,0.45,7,17,0.4117647058823529
4,"[9, 10]",3,4,0.75,2,5,0.4
