,rankDiff,homeWins,homeGames,awayWins,awayGames,combinedWins,combinedGames,combinedWinPct
0,1,19,32,18,42,37,74,0.5
1,2,22,31,12,31,34,62,0.5483870967741935
2,3,28,41,13,30,41,71,0.5774647887323944
3,4,14,26,15,34,29,60,0.48333333333333334
4,5,23,34,16,28,39,62,0.6290322580645161
5,6,16,26,13,28,29,54,0.5370370370370371
6,7,12,23,11,25,23,48,0.4791666666666667
7,8,13,23,9,15,22,38,0.5789473684210527
8,9,13,13,4,10,17,23,0.7391304347826086
9,10,9,12,6,13,15,25,0.6
10,11,4,6,6,15,10,21,0.47619047619047616
11,12,1,2,5,8,6,10,0.6
12,13,4,6,5,8,9,14,0.6428571428571429
13,14,1,2,1,2,2,4,0.5
