,rankDiff,winsHome,gamesHome,winPctHome,winsAway,gamesAway,winPctAway
0,"[1, 2]",18,31,0.5806451612903226,11,25,0.44
1,"[3, 4]",27,39,0.6923076923076923,19,42,0.4523809523809524
2,"[5, 6]",26,34,0.7647058823529411,17,31,0.5483870967741935
3,"[7, 8]",25,28,0.8928571428571429,19,32,0.59375
4,"[9, 10]",25,31,0.8064516129032258,15,31,0.4838709677419355
