,FakeMatchupPair,games,wins,WinPct,HomeRank,AwayRank,P-Value
47,12-6,11,6,0.5454545454545454,23-24,11-12,0.5
48,12-7,15,13,0.8666666666666667,23-24,13-14,0.003692626953125
49,12-8,13,6,0.46153846153846156,23-24,15-16,0.5
50,12-9,20,17,0.85,23-24,17-18,0.0012884140014648438
51,13-1,7,2,0.2857142857142857,25-26,1-2,0.2265625
52,13-10,9,7,0.7777777777777778,25-26,19-20,0.08984375
53,13-11,14,10,0.7142857142857143,25-26,21-22,0.08978271484375
54,13-12,10,7,0.7,25-26,23-24,0.171875
55,13-13,7,6,0.8571428571428571,25-26,25-26,0.0625
56,13-2,12,5,0.4166666666666667,25-26,3-4,0.38720703125
57,13-3,15,4,0.26666666666666666,25-26,5-6,0.05923461914062499
58,13-4,14,6,0.42857142857142855,25-26,7-8,0.395263671875
59,13-5,11,9,0.8181818181818182,25-26,9-10,0.03271484375
60,13-6,19,13,0.6842105263157895,25-26,11-12,0.08353424072265625
61,13-7,18,13,0.7222222222222222,25-26,13-14,0.048126220703125
62,13-8,11,3,0.2727272727272727,25-26,15-16,0.11328125
63,13-9,15,10,0.6666666666666666,25-26,17-18,0.15087890625
64,2-1,18,11,0.6111111111111112,3-4,1-2,0.2403411865234375
65,2-10,22,19,0.8636363636363636,3-4,19-20,0.0004277229309082031
66,2-11,19,14,0.7368421052631579,3-4,21-22,0.0317840576171875
67,2-12,15,12,0.8,3-4,23-24,0.017578125
68,2-13,14,12,0.8571428571428571,3-4,25-26,0.0064697265625
69,2-2,17,9,0.5294117647058824,3-4,3-4,0.5
70,2-3,40,24,0.6,3-4,5-6,0.13409362552738457
71,2-4,33,25,0.7575757575757576,3-4,7-8,0.002275692066177726
72,2-5,45,32,0.7111111111111111,3-4,9-10,0.003304411421140685
73,2-6,34,25,0.7352941176470589,3-4,11-12,0.004520592745393515
74,2-7,24,19,0.7916666666666666,3-4,13-14,0.003305375576019287
75,2-8,23,12,0.5217391304347826,3-4,15-16,0.5
76,2-9,31,24,0.7741935483870968,3-4,17-18,0.0016634464263916016
77,3-1,25,12,0.48,5-6,1-2,0.5
78,3-10,22,19,0.8636363636363636,5-6,19-20,0.0004277229309082031
79,3-11,17,14,0.8235294117647058,5-6,21-22,0.0063629150390625
80,3-12,10,8,0.8,5-6,23-24,0.0546875
81,3-13,18,16,0.8888888888888888,5-6,25-26,0.0006561279296875
82,3-2,41,21,0.5121951219512195,5-6,3-4,0.5
83,3-3,22,17,0.7727272727272727,5-6,5-6,0.00845026969909668
84,3-4,27,21,0.7777777777777778,5-6,7-8,0.0029623061418533325
85,3-5,38,29,0.7631578947368421,5-6,9-10,0.0008290262630907819
86,3-6,32,24,0.75,5-6,11-12,0.0035001833457499743
87,3-7,19,14,0.7368421052631579,5-6,13-14,0.0317840576171875
88,3-8,30,21,0.7,5-6,15-16,0.02138697262853384
89,3-9,30,25,0.8333333333333334,5-6,17-18,0.00016245711594820023
