,MatchupPair,games,wins,WinPct,HomeRank,AwayRank,P-Value
0,1-10,9,8,0.8888888888888888,1,10,0.01953125
1,1-11,5,4,0.8,1,11,0.1875
2,1-12,5,4,0.8,1,12,0.1875
3,1-13,4,2,0.5,1,13,0.6875
4,1-14,11,11,1.0,1,14,0.00048828125
5,1-15,6,3,0.5,1,15,0.65625
6,1-16,9,8,0.8888888888888888,1,16,0.01953125
7,1-17,3,3,1.0,1,17,0.125
8,1-18,5,5,1.0,1,18,0.03125
9,1-19,5,4,0.8,1,19,0.1875
10,1-2,8,4,0.5,1,2,0.63671875
11,1-20,8,8,1.0,1,20,0.00390625
12,1-21,5,5,1.0,1,21,0.03125
13,1-22,2,2,1.0,1,22,0.25
14,1-23,5,5,1.0,1,23,0.03125
15,1-24,5,5,1.0,1,24,0.03125
16,1-25,4,4,1.0,1,25,0.0625
17,1-3,11,9,0.8181818181818182,1,3,0.03271484375
18,1-4,10,8,0.8,1,4,0.0546875
