,FakeMatchupPair,games,wins,WinPct,HomeRank,AwayRank,P-Value
81,3-13,18,16,0.8888888888888888,5-6,25-26,7.2479248046875e-05
82,3-2,41,21,0.5121951219512195,5-6,3-4,0.3776143287523155
83,3-3,22,17,0.7727272727272727,5-6,5-6,0.002171754837036133
84,3-4,27,21,0.7777777777777778,5-6,7-8,0.0007568597793579102
85,3-5,38,29,0.7631578947368421,5-6,9-10,0.0002359933714615181
86,3-6,32,24,0.75,5-6,11-12,0.0010512007866054773
87,3-7,19,14,0.7368421052631579,5-6,13-14,0.00960540771484375
88,3-8,30,21,0.7,5-6,15-16,0.008062400855123997
89,3-9,30,25,0.8333333333333334,5-6,17-18,2.9738061130046844e-05
90,4-1,11,5,0.45454545454545453,7-8,1-2,0.5
91,4-10,33,27,0.8181818181818182,7-8,19-20,3.309384919703007e-05
92,4-11,13,10,0.7692307692307693,7-8,21-22,0.01123046875
93,4-12,9,9,1.0,7-8,23-24,0.0
94,4-13,20,15,0.75,7-8,25-26,0.005908966064453125
95,4-2,33,16,0.48484848484848486,7-8,3-4,0.5
96,4-3,31,24,0.7741935483870968,7-8,5-6,0.0004389551468193531
97,4-4,19,13,0.6842105263157895,7-8,7-8,0.0317840576171875
98,4-5,37,32,0.8648648648648649,7-8,9-10,5.421970854513347e-07
99,4-6,35,27,0.7714285714285715,7-8,11-12,0.0002541302237659693
100,4-7,22,16,0.7272727272727273,7-8,13-14,0.00845026969909668
101,4-8,16,15,0.9375,7-8,15-16,1.52587890625e-05
102,4-9,28,19,0.6785714285714286,7-8,17-18,0.017849069088697433
103,5-1,14,6,0.42857142857142855,9-10,1-2,0.395263671875
104,5-10,28,25,0.8928571428571429,9-10,19-20,1.516193151473999e-06
105,5-11,17,15,0.8823529411764706,9-10,21-22,0.0001373291015625
106,5-12,11,11,1.0,9-10,23-24,0.0
107,5-13,22,18,0.8181818181818182,9-10,25-26,0.0004277229309082031
108,5-2,34,19,0.5588235294117647,9-10,3-4,0.19576415256597102
