"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"1980","regular","15","AP Top 25","1","Georgia","SEC","",""
"1980","regular","15","AP Top 25","2","Florida State","FBS Independents","",""
"1980","regular","15","AP Top 25","3","Pittsburgh","FBS Independents","",""
"1980","regular","15","AP Top 25","4","Oklahoma","Big 8","",""
"1980","regular","15","AP Top 25","5","Michigan","Big Ten","",""
"1980","regular","15","AP Top 25","6","Baylor","Southwest","",""
"1980","regular","15","AP Top 25","7","Notre Dame","FBS Independents","",""
"1980","regular","15","AP Top 25","8","Nebraska","Big 8","",""
"1980","regular","15","AP Top 25","9","Alabama","SEC","",""
"1980","regular","15","AP Top 25","10","Penn State","FBS Independents","",""
"1980","regular","15","AP Top 25","11","Ohio State","Big Ten","",""
"1980","regular","15","AP Top 25","12","USC","Pac-10","",""
"1980","regular","15","AP Top 25","13","North Carolina","ACC","",""
"1980","regular","15","AP Top 25","14","BYU","Western Athletic","",""
"1980","regular","15","AP Top 25","15","UCLA","Pac-10","",""
"1980","regular","15","AP Top 25","16","Washington","Pac-10","",""
"1980","regular","15","AP Top 25","17","Mississippi State","SEC","",""
"1980","regular","15","AP Top 25","18","South Carolina","FBS Independents","",""
"1980","regular","15","AP Top 25","19","SMU","Southwest","",""
"1980","regular","15","AP Top 25","20","Miami","FBS Independents","",""
"1980","regular","14","AP Top 25","1","Georgia","SEC","",""
"1980","regular","14","AP Top 25","2","Notre Dame","FBS Independents","",""
"1980","regular","14","AP Top 25","3","Florida State","FBS Independents","",""
"1980","regular","14","AP Top 25","4","Pittsburgh","FBS Independents","",""
"1980","regular","14","AP Top 25","5","Oklahoma","Big 8","",""
"1980","regular","14","AP Top 25","6","Michigan","Big Ten","",""
"1980","regular","14","AP Top 25","7","Baylor","Southwest","",""
"1980","regular","14","AP Top 25","8","Alabama","SEC","",""
"1980","regular","14","AP Top 25","9","Nebraska","Big 8","",""
"1980","regular","14","AP Top 25","10","Penn State","FBS Independents","",""
"1980","regular","14","AP Top 25","11","Ohio State","Big Ten","",""
"1980","regular","14","AP Top 25","12","North Carolina","ACC","",""
"1980","regular","14","AP Top 25","13","BYU","Western Athletic","",""
"1980","regular","14","AP Top 25","14","UCLA","Pac-10","",""
"1980","regular","14","AP Top 25","15","Washington","Pac-10","",""
"1980","regular","14","AP Top 25","16","Mississippi State","SEC","",""
"1980","regular","14","AP Top 25","17","USC","Pac-10","",""
"1980","regular","14","AP Top 25","18","South Carolina","FBS Independents","",""
"1980","regular","14","AP Top 25","19","SMU","Southwest","",""
"1980","regular","14","AP Top 25","20","Miami","FBS Independents","",""
"1980","regular","13","AP Top 25","1","Georgia","SEC","",""
"1980","regular","13","AP Top 25","2","Notre Dame","FBS Independents","",""
"1980","regular","13","AP Top 25","3","Florida State","FBS Independents","",""
"1980","regular","13","AP Top 25","4","Pittsburgh","FBS Independents","",""
"1980","regular","13","AP Top 25","5","Penn State","FBS Independents","",""
"1980","regular","13","AP Top 25","6","Oklahoma","Big 8","",""
"1980","regular","13","AP Top 25","7","Michigan","Big Ten","",""
"1980","regular","13","AP Top 25","8","Baylor","Southwest","",""
"1980","regular","13","AP Top 25","9","Alabama","SEC","",""
"1980","regular","13","AP Top 25","10","Nebraska","Big 8","",""
"1980","regular","13","AP Top 25","11","Ohio State","Big Ten","",""
"1980","regular","13","AP Top 25","12","BYU","Western Athletic","",""
"1980","regular","13","AP Top 25","13","North Carolina","ACC","",""
"1980","regular","13","AP Top 25","14","UCLA","Pac-10","",""
"1980","regular","13","AP Top 25","15","Washington","Pac-10","",""
"1980","regular","13","AP Top 25","16","Mississippi State","SEC","",""
"1980","regular","13","AP Top 25","17","USC","Pac-10","",""
"1980","regular","13","AP Top 25","18","Florida","SEC","",""
"1980","regular","13","AP Top 25","19","South Carolina","FBS Independents","",""
"1980","regular","13","AP Top 25","20","SMU","Southwest","",""
"1980","regular","12","AP Top 25","1","Georgia","SEC","",""
"1980","regular","12","AP Top 25","2","Notre Dame","FBS Independents","",""
"1980","regular","12","AP Top 25","3","Florida State","FBS Independents","",""
"1980","regular","12","AP Top 25","4","Nebraska","Big 8","",""
"1980","regular","12","AP Top 25","5","Ohio State","Big Ten","",""
"1980","regular","12","AP Top 25","6","Pittsburgh","FBS Independents","",""
"1980","regular","12","AP Top 25","7","Penn State","FBS Independents","",""
"1980","regular","12","AP Top 25","8","Alabama","SEC","",""
"1980","regular","12","AP Top 25","9","Oklahoma","Big 8","",""
"1980","regular","12","AP Top 25","10","Michigan","Big Ten","",""
"1980","regular","12","AP Top 25","11","Baylor","Southwest","",""
"1980","regular","12","AP Top 25","12","USC","Pac-10","",""
"1980","regular","12","AP Top 25","13","BYU","Western Athletic","",""
"1980","regular","12","AP Top 25","14","South Carolina","FBS Independents","",""
"1980","regular","12","AP Top 25","15","North Carolina","ACC","",""
"1980","regular","12","AP Top 25","16","Washington","Pac-10","",""
"1980","regular","12","AP Top 25","17","Mississippi State","SEC","",""
"1980","regular","12","AP Top 25","18","UCLA","Pac-10","",""
"1980","regular","12","AP Top 25","19","Florida","SEC","",""
"1980","regular","12","AP Top 25","20","Texas","Southwest","",""
"1980","regular","11","AP Top 25","1","Georgia","SEC","",""
"1980","regular","11","AP Top 25","2","USC","Pac-10","",""
"1980","regular","11","AP Top 25","3","Florida State","FBS Independents","",""
"1980","regular","11","AP Top 25","4","Nebraska","Big 8","",""
"1980","regular","11","AP Top 25","5","Alabama","SEC","",""
"1980","regular","11","AP Top 25","6","Notre Dame","FBS Independents","",""
"1980","regular","11","AP Top 25","7","Ohio State","Big Ten","",""
"1980","regular","11","AP Top 25","8","Pittsburgh","FBS Independents","",""
"1980","regular","11","AP Top 25","9","Penn State","FBS Independents","",""
"1980","regular","11","AP Top 25","10","Oklahoma","Big 8","",""
"1980","regular","11","AP Top 25","11","Michigan","Big Ten","",""
"1980","regular","11","AP Top 25","12","Baylor","Southwest","",""
"1980","regular","11","AP Top 25","13","BYU","Western Athletic","",""
"1980","regular","11","AP Top 25","14","South Carolina","FBS Independents","",""
"1980","regular","11","AP Top 25","15","North Carolina","ACC","",""
"1980","regular","11","AP Top 25","16","Purdue","Big Ten","",""
"1980","regular","11","AP Top 25","17","UCLA","Pac-10","",""
"1980","regular","11","AP Top 25","18","SMU","Southwest","",""
"1980","regular","11","AP Top 25","19","Mississippi State","SEC","",""
"1980","regular","11","AP Top 25","20","Florida","SEC","",""
"1980","regular","10","AP Top 25","1","Notre Dame","FBS Independents","",""
"1980","regular","10","AP Top 25","2","Georgia","SEC","",""
"1980","regular","10","AP Top 25","3","Florida State","FBS Independents","",""
"1980","regular","10","AP Top 25","4","USC","Pac-10","",""
"1980","regular","10","AP Top 25","5","Nebraska","Big 8","",""
"1980","regular","10","AP Top 25","6","Alabama","SEC","",""
"1980","regular","10","AP Top 25","7","Ohio State","Big Ten","",""
"1980","regular","10","AP Top 25","8","UCLA","Pac-10","",""
"1980","regular","10","AP Top 25","9","Pittsburgh","FBS Independents","",""
"1980","regular","10","AP Top 25","10","Penn State","FBS Independents","",""
"1980","regular","10","AP Top 25","11","Oklahoma","Big 8","",""
"1980","regular","10","AP Top 25","12","Michigan","Big Ten","",""
"1980","regular","10","AP Top 25","13","BYU","Western Athletic","",""
"1980","regular","10","AP Top 25","14","North Carolina","ACC","",""
"1980","regular","10","AP Top 25","15","South Carolina","FBS Independents","",""
"1980","regular","10","AP Top 25","16","Baylor","Southwest","",""
"1980","regular","10","AP Top 25","17","Purdue","Big Ten","",""
"1980","regular","10","AP Top 25","18","SMU","Southwest","",""
"1980","regular","10","AP Top 25","19","Mississippi State","SEC","",""
"1980","regular","10","AP Top 25","20","Florida","SEC","",""
"1980","regular","9","AP Top 25","1","Alabama","SEC","",""
"1980","regular","9","AP Top 25","2","UCLA","Pac-10","",""
"1980","regular","9","AP Top 25","3","Notre Dame","FBS Independents","",""
"1980","regular","9","AP Top 25","4","Georgia","SEC","",""
"1980","regular","9","AP Top 25","5","Florida State","FBS Independents","",""
"1980","regular","9","AP Top 25","6","North Carolina","ACC","",""
"1980","regular","9","AP Top 25","7","USC","Pac-10","",""
"1980","regular","9","AP Top 25","8","Nebraska","Big 8","",""
"1980","regular","9","AP Top 25","9","Ohio State","Big Ten","",""
"1980","regular","9","AP Top 25","10","Baylor","Southwest","",""
"1980","regular","9","AP Top 25","11","Pittsburgh","FBS Independents","",""
"1980","regular","9","AP Top 25","12","Texas","Southwest","",""
"1980","regular","9","AP Top 25","13","Penn State","FBS Independents","",""
"1980","regular","9","AP Top 25","14","South Carolina","FBS Independents","",""
"1980","regular","9","AP Top 25","15","Missouri","Big 8","",""
"1980","regular","9","AP Top 25","16","Oklahoma","Big 8","",""
"1980","regular","9","AP Top 25","17","BYU","Western Athletic","",""
"1980","regular","9","AP Top 25","18","Michigan","Big Ten","",""
"1980","regular","9","AP Top 25","19","SMU","Southwest","",""
"1980","regular","9","AP Top 25","20","Purdue","Big Ten","",""
"1980","regular","8","AP Top 25","1","Alabama","SEC","",""
"1980","regular","8","AP Top 25","2","Texas","Southwest","",""
"1980","regular","8","AP Top 25","3","UCLA","Pac-10","",""
"1980","regular","8","AP Top 25","4","Notre Dame","FBS Independents","",""
"1980","regular","8","AP Top 25","5","Georgia","SEC","",""
"1980","regular","8","AP Top 25","6","Florida State","FBS Independents","",""
"1980","regular","8","AP Top 25","7","North Carolina","ACC","",""
"1980","regular","8","AP Top 25","8","USC","Pac-10","",""
"1980","regular","8","AP Top 25","9","Nebraska","Big 8","",""
"1980","regular","8","AP Top 25","10","Ohio State","Big Ten","",""
"1980","regular","8","AP Top 25","11","Baylor","Southwest","",""
"1980","regular","8","AP Top 25","12","Pittsburgh","FBS Independents","",""
"1980","regular","8","AP Top 25","13","Penn State","FBS Independents","",""
"1980","regular","8","AP Top 25","14","South Carolina","FBS Independents","",""
"1980","regular","8","AP Top 25","15","Arkansas","Southwest","",""
"1980","regular","8","AP Top 25","16","Missouri","Big 8","",""
"1980","regular","8","AP Top 25","17","Oklahoma","Big 8","",""
"1980","regular","8","AP Top 25","18","Washington","Pac-10","",""
"1980","regular","8","AP Top 25","19","BYU","Western Athletic","",""
"1980","regular","8","AP Top 25","20","Southern Mississippi","FBS Independents","",""
"1980","regular","7","AP Top 25","1","Alabama","SEC","",""
"1980","regular","7","AP Top 25","2","USC","Pac-10","",""
"1980","regular","7","AP Top 25","3","Texas","Southwest","",""
"1980","regular","7","AP Top 25","4","UCLA","Pac-10","",""
"1980","regular","7","AP Top 25","5","Notre Dame","FBS Independents","",""
"1980","regular","7","AP Top 25","6","Georgia","SEC","",""
"1980","regular","7","AP Top 25","7","Florida State","FBS Independents","",""
"1980","regular","7","AP Top 25","8","North Carolina","ACC","",""
"1980","regular","7","AP Top 25","9","Ohio State","Big Ten","",""
"1980","regular","7","AP Top 25","10","Nebraska","Big 8","",""
"1980","regular","7","AP Top 25","11","Pittsburgh","FBS Independents","",""
"1980","regular","7","AP Top 25","12","Penn State","FBS Independents","",""
"1980","regular","7","AP Top 25","13","Baylor","Southwest","",""
"1980","regular","7","AP Top 25","14","Arkansas","Southwest","",""
"1980","regular","7","AP Top 25","15","South Carolina","FBS Independents","",""
"1980","regular","7","AP Top 25","16","Missouri","Big 8","",""
"1980","regular","7","AP Top 25","17","Oklahoma","Big 8","",""
"1980","regular","7","AP Top 25","18","Miami","FBS Independents","",""
"1980","regular","7","AP Top 25","19","Iowa State","Big 8","",""
"1980","regular","7","AP Top 25","20","Stanford","Pac-10","",""
"1980","regular","6","AP Top 25","1","Alabama","SEC","",""
"1980","regular","6","AP Top 25","2","USC","Pac-10","",""
"1980","regular","6","AP Top 25","3","Texas","Southwest","",""
