"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"1990","regular","15","AP Top 25","1","Colorado","Big 8","",""
"1990","regular","15","AP Top 25","2","Georgia Tech","ACC","",""
"1990","regular","15","AP Top 25","3","Texas","Southwest","",""
"1990","regular","15","AP Top 25","4","Miami","FBS Independents","",""
"1990","regular","15","AP Top 25","5","Notre Dame","FBS Independents","",""
"1990","regular","15","AP Top 25","6","Florida State","FBS Independents","",""
"1990","regular","15","AP Top 25","7","Penn State","FBS Independents","",""
"1990","regular","15","AP Top 25","8","Washington","Pac-10","",""
"1990","regular","15","AP Top 25","9","Houston","Southwest","",""
"1990","regular","15","AP Top 25","10","Tennessee","SEC","",""
"1990","regular","15","AP Top 25","11","Florida","SEC","",""
"1990","regular","15","AP Top 25","12","Michigan","Big Ten","",""
"1990","regular","15","AP Top 25","13","BYU","Western Athletic","",""
"1990","regular","15","AP Top 25","14","Clemson","ACC","",""
"1990","regular","15","AP Top 25","15","Ole Miss","SEC","",""
"1990","regular","15","AP Top 25","16","Illinois","Big Ten","",""
"1990","regular","15","AP Top 25","17","Iowa","Big Ten","",""
"1990","regular","15","AP Top 25","18","Louisville","FBS Independents","",""
"1990","regular","15","AP Top 25","19","Nebraska","Big 8","",""
"1990","regular","15","AP Top 25","20","Oklahoma","Big 8","",""
"1990","regular","15","AP Top 25","21","USC","Pac-10","",""
"1990","regular","15","AP Top 25","22","Michigan State","Big Ten","",""
"1990","regular","15","AP Top 25","23","Southern Mississippi","FBS Independents","",""
"1990","regular","15","AP Top 25","24","Ohio State","Big Ten","",""
"1990","regular","15","AP Top 25","25","Alabama","SEC","",""
"1990","regular","14","AP Top 25","1","Colorado","Big 8","",""
"1990","regular","14","AP Top 25","2","Georgia Tech","ACC","",""
"1990","regular","14","AP Top 25","3","Miami","FBS Independents","",""
"1990","regular","14","AP Top 25","4","BYU","Western Athletic","",""
"1990","regular","14","AP Top 25","5","Texas","Southwest","",""
"1990","regular","14","AP Top 25","6","Florida","SEC","",""
"1990","regular","14","AP Top 25","7","Notre Dame","FBS Independents","",""
"1990","regular","14","AP Top 25","8","Florida State","FBS Independents","",""
