"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"1982","regular","15","AP Top 25","1","Georgia","SEC","",""
"1982","regular","15","AP Top 25","2","Penn State","FBS Independents","",""
"1982","regular","15","AP Top 25","3","Nebraska","Big 8","",""
"1982","regular","15","AP Top 25","4","SMU","Southwest","",""
"1982","regular","15","AP Top 25","5","UCLA","Pac-10","",""
"1982","regular","15","AP Top 25","6","Pittsburgh","FBS Independents","",""
"1982","regular","15","AP Top 25","7","Clemson","ACC","",""
"1982","regular","15","AP Top 25","8","Texas","Southwest","",""
"1982","regular","15","AP Top 25","9","Washington","Pac-10","",""
"1982","regular","15","AP Top 25","10","West Virginia","FBS Independents","",""
"1982","regular","15","AP Top 25","11","Arizona State","Pac-10","",""
"1982","regular","15","AP Top 25","12","Oklahoma","Big 8","",""
"1982","regular","15","AP Top 25","13","LSU","SEC","",""
"1982","regular","15","AP Top 25","14","Arkansas","Southwest","",""
"1982","regular","15","AP Top 25","15","USC","Pac-10","",""
"1982","regular","15","AP Top 25","16","Maryland","ACC","",""
"1982","regular","15","AP Top 25","17","Ohio State","Big Ten","",""
"1982","regular","15","AP Top 25","18","Auburn","SEC","",""
"1982","regular","15","AP Top 25","19","Michigan","Big Ten","",""
"1982","regular","15","AP Top 25","20","Tulsa","Missouri Valley","",""
"1982","regular","14","AP Top 25","1","Georgia","SEC","",""
"1982","regular","14","AP Top 25","2","Penn State","FBS Independents","",""
"1982","regular","14","AP Top 25","3","Nebraska","Big 8","",""
"1982","regular","14","AP Top 25","4","SMU","Southwest","",""
"1982","regular","14","AP Top 25","5","UCLA","Pac-10","",""
"1982","regular","14","AP Top 25","6","Arkansas","Southwest","",""
"1982","regular","14","AP Top 25","7","Pittsburgh","FBS Independents","",""
"1982","regular","14","AP Top 25","8","Clemson","ACC","",""
"1982","regular","14","AP Top 25","9","Washington","Pac-10","",""
"1982","regular","14","AP Top 25","10","West Virginia","FBS Independents","",""
"1982","regular","14","AP Top 25","11","Arizona State","Pac-10","",""
"1982","regular","14","AP Top 25","12","Texas","Southwest","",""
"1982","regular","14","AP Top 25","13","LSU","SEC","",""
"1982","regular","14","AP Top 25","14","Oklahoma","Big 8","",""
"1982","regular","14","AP Top 25","15","Florida State","FBS Independents","",""
"1982","regular","14","AP Top 25","16","USC","Pac-10","",""
"1982","regular","14","AP Top 25","17","Maryland","ACC","",""
"1982","regular","14","AP Top 25","18","Ohio State","Big Ten","",""
"1982","regular","14","AP Top 25","19","Auburn","SEC","",""
"1982","regular","14","AP Top 25","20","Michigan","Big Ten","",""
"1982","regular","13","AP Top 25","1","Georgia","SEC","",""
"1982","regular","13","AP Top 25","2","Penn State","FBS Independents","",""
"1982","regular","13","AP Top 25","3","Nebraska","Big 8","",""
"1982","regular","13","AP Top 25","4","SMU","Southwest","",""
"1982","regular","13","AP Top 25","5","Pittsburgh","FBS Independents","",""
"1982","regular","13","AP Top 25","6","Arizona State","Pac-10","",""
"1982","regular","13","AP Top 25","7","LSU","SEC","",""
"1982","regular","13","AP Top 25","8","UCLA","Pac-10","",""
"1982","regular","13","AP Top 25","9","Arkansas","Southwest","",""
"1982","regular","13","AP Top 25","10","Clemson","ACC","",""
"1982","regular","13","AP Top 25","11","Oklahoma","Big 8","",""
"1982","regular","13","AP Top 25","12","West Virginia","FBS Independents","",""
"1982","regular","13","AP Top 25","13","Washington","Pac-10","",""
"1982","regular","13","AP Top 25","14","Texas","Southwest","",""
"1982","regular","13","AP Top 25","15","Florida State","FBS Independents","",""
"1982","regular","13","AP Top 25","16","Maryland","ACC","",""
"1982","regular","13","AP Top 25","17","USC","Pac-10","",""
"1982","regular","13","AP Top 25","18","Ohio State","Big Ten","",""
"1982","regular","13","AP Top 25","19","Tulsa","Missouri Valley","",""
"1982","regular","13","AP Top 25","20","Michigan","Big Ten","",""
"1982","regular","12","AP Top 25","1","Georgia","SEC","",""
"1982","regular","12","AP Top 25","2","SMU","Southwest","",""
"1982","regular","12","AP Top 25","3","Penn State","FBS Independents","",""
"1982","regular","12","AP Top 25","4","Nebraska","Big 8","",""
"1982","regular","12","AP Top 25","5","Washington","Pac-10","",""
"1982","regular","12","AP Top 25","6","Pittsburgh","FBS Independents","",""
"1982","regular","12","AP Top 25","7","Florida State","FBS Independents","",""
"1982","regular","12","AP Top 25","8","Arizona State","Pac-10","",""
"1982","regular","12","AP Top 25","9","Arkansas","Southwest","",""
"1982","regular","12","AP Top 25","10","Clemson","ACC","",""
"1982","regular","12","AP Top 25","11","UCLA","Pac-10","",""
"1982","regular","12","AP Top 25","12","LSU","SEC","",""
"1982","regular","12","AP Top 25","13","Michigan","Big Ten","",""
"1982","regular","12","AP Top 25","14","Oklahoma","Big 8","",""
"1982","regular","12","AP Top 25","15","USC","Pac-10","",""
"1982","regular","12","AP Top 25","16","West Virginia","FBS Independents","",""
"1982","regular","12","AP Top 25","17","Texas","Southwest","",""
"1982","regular","12","AP Top 25","18","Notre Dame","FBS Independents","",""
"1982","regular","12","AP Top 25","19","Maryland","ACC","",""
"1982","regular","12","AP Top 25","20","Tulsa","Missouri Valley","",""
"1982","regular","11","AP Top 25","1","Georgia","SEC","",""
"1982","regular","11","AP Top 25","2","SMU","Southwest","",""
"1982","regular","11","AP Top 25","3","Arizona State","Pac-10","",""
"1982","regular","11","AP Top 25","4","Nebraska","Big 8","",""
"1982","regular","11","AP Top 25","5","Penn State","FBS Independents","",""
"1982","regular","11","AP Top 25","6","LSU","SEC","",""
"1982","regular","11","AP Top 25","7","Washington","Pac-10","",""
"1982","regular","11","AP Top 25","8","Pittsburgh","FBS Independents","",""
"1982","regular","11","AP Top 25","9","Florida State","FBS Independents","",""
"1982","regular","11","AP Top 25","10","Arkansas","Southwest","",""
"1982","regular","11","AP Top 25","11","Clemson","ACC","",""
"1982","regular","11","AP Top 25","12","UCLA","Pac-10","",""
"1982","regular","11","AP Top 25","13","Notre Dame","FBS Independents","",""
"1982","regular","11","AP Top 25","14","Michigan","Big Ten","",""
"1982","regular","11","AP Top 25","15","Oklahoma","Big 8","",""
"1982","regular","11","AP Top 25","16","USC","Pac-10","",""
"1982","regular","11","AP Top 25","17","Alabama","SEC","",""
"1982","regular","11","AP Top 25","18","Maryland","ACC","",""
"1982","regular","11","AP Top 25","19","West Virginia","FBS Independents","",""
"1982","regular","11","AP Top 25","20","Texas","Southwest","",""
"1982","regular","10","AP Top 25","1","Pittsburgh","FBS Independents","",""
"1982","regular","10","AP Top 25","2","SMU","Southwest","",""
"1982","regular","10","AP Top 25","3","Georgia","SEC","",""
"1982","regular","10","AP Top 25","4","Arizona State","Pac-10","",""
"1982","regular","10","AP Top 25","5","Arkansas","Southwest","",""
"1982","regular","10","AP Top 25","6","Nebraska","Big 8","",""
"1982","regular","10","AP Top 25","7","Penn State","FBS Independents","",""
"1982","regular","10","AP Top 25","8","Alabama","SEC","",""
"1982","regular","10","AP Top 25","9","UCLA","Pac-10","",""
"1982","regular","10","AP Top 25","10","Washington","Pac-10","",""
"1982","regular","10","AP Top 25","11","LSU","SEC","",""
"1982","regular","10","AP Top 25","12","Florida State","FBS Independents","",""
"1982","regular","10","AP Top 25","13","Clemson","ACC","",""
"1982","regular","10","AP Top 25","14","Oklahoma","Big 8","",""
"1982","regular","10","AP Top 25","15","Michigan","Big Ten","",""
"1982","regular","10","AP Top 25","16","USC","Pac-10","",""
"1982","regular","10","AP Top 25","17","West Virginia","FBS Independents","",""
"1982","regular","10","AP Top 25","18","North Carolina","ACC","",""
"1982","regular","10","AP Top 25","19","Maryland","ACC","",""
"1982","regular","10","AP Top 25","20","Florida","SEC","",""
"1982","regular","9","AP Top 25","1","Pittsburgh","FBS Independents","",""
"1982","regular","9","AP Top 25","2","Washington","Pac-10","",""
"1982","regular","9","AP Top 25","3","Georgia","SEC","",""
"1982","regular","9","AP Top 25","4","SMU","Southwest","",""
"1982","regular","9","AP Top 25","5","Arkansas","Southwest","",""
"1982","regular","9","AP Top 25","6","Nebraska","Big 8","",""
"1982","regular","9","AP Top 25","7","Arizona State","Pac-10","",""
"1982","regular","9","AP Top 25","8","Penn State","FBS Independents","",""
"1982","regular","9","AP Top 25","9","Alabama","SEC","",""
"1982","regular","9","AP Top 25","10","North Carolina","ACC","",""
