"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"1993","regular","16","AP Top 25","1","Florida State","ACC","",""
"1993","regular","16","AP Top 25","2","Nebraska","Big 8","",""
"1993","regular","16","AP Top 25","3","West Virginia","Big East","",""
"1993","regular","16","AP Top 25","4","Notre Dame","FBS Independents","",""
"1993","regular","16","AP Top 25","5","Auburn","SEC","",""
"1993","regular","16","AP Top 25","6","Tennessee","SEC","",""
"1993","regular","16","AP Top 25","7","Texas A&M","Southwest","",""
"1993","regular","16","AP Top 25","8","Florida","SEC","",""
"1993","regular","16","AP Top 25","9","Wisconsin","Big Ten","",""
"1993","regular","16","AP Top 25","10","Miami","Big East","",""
"1993","regular","16","AP Top 25","11","Ohio State","Big Ten","",""
"1993","regular","16","AP Top 25","12","North Carolina","ACC","",""
"1993","regular","16","AP Top 25","13","Penn State","Big Ten","",""
"1993","regular","16","AP Top 25","14","UCLA","Pac-10","",""
"1993","regular","16","AP Top 25","15","Boston College","Big East","",""
"1993","regular","16","AP Top 25","16","Arizona","Pac-10","",""
"1993","regular","16","AP Top 25","17","Colorado","Big 8","",""
"1993","regular","16","AP Top 25","18","Alabama","SEC","",""
"1993","regular","16","AP Top 25","19","Oklahoma","Big 8","",""
"1993","regular","16","AP Top 25","20","Kansas State","Big 8","",""
"1993","regular","16","AP Top 25","21","Indiana","Big Ten","",""
"1993","regular","16","AP Top 25","22","Virginia Tech","Big East","",""
"1993","regular","16","AP Top 25","23","Michigan","Big Ten","",""
"1993","regular","16","AP Top 25","24","Clemson","ACC","",""
"1993","regular","16","AP Top 25","25","Fresno State","Western Athletic","",""
"1993","regular","16","AP Top 25","25","Louisville","FBS Independents","",""
"1993","regular","15","AP Top 25","1","Florida State","ACC","",""
"1993","regular","15","AP Top 25","2","Nebraska","Big 8","",""
"1993","regular","15","AP Top 25","3","West Virginia","Big East","",""
"1993","regular","15","AP Top 25","4","Auburn","SEC","",""
"1993","regular","15","AP Top 25","5","Notre Dame","FBS Independents","",""
"1993","regular","15","AP Top 25","6","Tennessee","SEC","",""
"1993","regular","15","AP Top 25","7","Texas A&M","Southwest","",""
"1993","regular","15","AP Top 25","8","Miami","Big East","",""
"1993","regular","15","AP Top 25","9","Florida","SEC","",""
"1993","regular","15","AP Top 25","10","Wisconsin","Big Ten","",""
"1993","regular","15","AP Top 25","11","Ohio State","Big Ten","",""
"1993","regular","15","AP Top 25","12","North Carolina","ACC","",""
"1993","regular","15","AP Top 25","13","Penn State","Big Ten","",""
"1993","regular","15","AP Top 25","14","UCLA","Pac-10","",""
"1993","regular","15","AP Top 25","15","Boston College","Big East","",""
"1993","regular","15","AP Top 25","16","Alabama","SEC","",""
"1993","regular","15","AP Top 25","17","Arizona","Pac-10","",""
"1993","regular","15","AP Top 25","18","Colorado","Big 8","",""
"1993","regular","15","AP Top 25","19","Oklahoma","Big 8","",""
"1993","regular","15","AP Top 25","20","Kansas State","Big 8","",""
"1993","regular","15","AP Top 25","21","Indiana","Big Ten","",""
"1993","regular","15","AP Top 25","22","Virginia Tech","Big East","",""
"1993","regular","15","AP Top 25","23","Michigan","Big Ten","",""
"1993","regular","15","AP Top 25","24","Clemson","ACC","",""
"1993","regular","15","AP Top 25","25","Michigan State","Big Ten","",""
"1993","regular","14","AP Top 25","1","Florida State","ACC","",""
"1993","regular","14","AP Top 25","2","Nebraska","Big 8","",""
"1993","regular","14","AP Top 25","3","Auburn","SEC","",""
"1993","regular","14","AP Top 25","4","Notre Dame","FBS Independents","",""
"1993","regular","14","AP Top 25","5","West Virginia","Big East","",""
"1993","regular","14","AP Top 25","6","Tennessee","SEC","",""
"1993","regular","14","AP Top 25","7","Florida","SEC","",""
"1993","regular","14","AP Top 25","8","Texas A&M","Southwest","",""
"1993","regular","14","AP Top 25","9","Miami","Big East","",""
"1993","regular","14","AP Top 25","10","Wisconsin","Big Ten","",""
"1993","regular","14","AP Top 25","11","Boston College","Big East","",""
"1993","regular","14","AP Top 25","12","Ohio State","Big Ten","",""
"1993","regular","14","AP Top 25","13","North Carolina","ACC","",""
"1993","regular","14","AP Top 25","14","Penn State","Big Ten","",""
"1993","regular","14","AP Top 25","15","UCLA","Pac-10","",""
"1993","regular","14","AP Top 25","16","Oklahoma","Big 8","",""
"1993","regular","14","AP Top 25","17","Alabama","SEC","",""
"1993","regular","14","AP Top 25","18","Colorado","Big 8","",""
"1993","regular","14","AP Top 25","19","Arizona","Pac-10","",""
"1993","regular","14","AP Top 25","20","Kansas State","Big 8","",""
"1993","regular","14","AP Top 25","21","Indiana","Big Ten","",""
"1993","regular","14","AP Top 25","22","Virginia Tech","Big East","",""
"1993","regular","14","AP Top 25","23","Michigan","Big Ten","",""
"1993","regular","14","AP Top 25","24","Clemson","ACC","",""
"1993","regular","14","AP Top 25","25","Michigan State","Big Ten","",""
"1993","regular","13","AP Top 25","1","Notre Dame","FBS Independents","",""
"1993","regular","13","AP Top 25","2","Florida State","ACC","",""
"1993","regular","13","AP Top 25","3","Nebraska","Big 8","",""
"1993","regular","13","AP Top 25","4","Miami","Big East","",""
"1993","regular","13","AP Top 25","5","Ohio State","Big Ten","",""
"1993","regular","13","AP Top 25","6","Auburn","SEC","",""
"1993","regular","13","AP Top 25","7","Tennessee","SEC","",""
"1993","regular","13","AP Top 25","8","Florida","SEC","",""
"1993","regular","13","AP Top 25","9","West Virginia","Big East","",""
"1993","regular","13","AP Top 25","10","Texas A&M","Southwest","",""
"1993","regular","13","AP Top 25","11","Alabama","SEC","",""
"1993","regular","13","AP Top 25","12","Wisconsin","Big Ten","",""
"1993","regular","13","AP Top 25","13","North Carolina","ACC","",""
"1993","regular","13","AP Top 25","14","Penn State","Big Ten","",""
"1993","regular","13","AP Top 25","15","Oklahoma","Big 8","",""
"1993","regular","13","AP Top 25","16","UCLA","Pac-10","",""
"1993","regular","13","AP Top 25","17","Boston College","Big East","",""
"1993","regular","13","AP Top 25","18","Colorado","Big 8","",""
"1993","regular","13","AP Top 25","19","Arizona","Pac-10","",""
"1993","regular","13","AP Top 25","20","Kansas State","Big 8","",""
"1993","regular","13","AP Top 25","21","Indiana","Big Ten","",""
"1993","regular","13","AP Top 25","22","USC","Pac-10","",""
"1993","regular","13","AP Top 25","23","Virginia","ACC","",""
"1993","regular","13","AP Top 25","24","Clemson","ACC","",""
"1993","regular","13","AP Top 25","25","Virginia Tech","Big East","",""
"1993","regular","12","AP Top 25","1","Florida State","ACC","",""
"1993","regular","12","AP Top 25","2","Notre Dame","FBS Independents","",""
"1993","regular","12","AP Top 25","3","Miami","Big East","",""
"1993","regular","12","AP Top 25","4","Nebraska","Big 8","",""
"1993","regular","12","AP Top 25","5","Ohio State","Big Ten","",""
"1993","regular","12","AP Top 25","6","Tennessee","SEC","",""
"1993","regular","12","AP Top 25","7","Auburn","SEC","",""
"1993","regular","12","AP Top 25","8","Florida","SEC","",""
"1993","regular","12","AP Top 25","9","West Virginia","Big East","",""
"1993","regular","12","AP Top 25","10","UCLA","Pac-10","",""
"1993","regular","12","AP Top 25","11","Texas A&M","Southwest","",""
"1993","regular","12","AP Top 25","12","Alabama","SEC","",""
"1993","regular","12","AP Top 25","13","Arizona","Pac-10","",""
"1993","regular","12","AP Top 25","14","Wisconsin","Big Ten","",""
"1993","regular","12","AP Top 25","15","North Carolina","ACC","",""
"1993","regular","12","AP Top 25","16","Penn State","Big Ten","",""
"1993","regular","12","AP Top 25","17","Oklahoma","Big 8","",""
"1993","regular","12","AP Top 25","18","Virginia","ACC","",""
"1993","regular","12","AP Top 25","19","Indiana","Big Ten","",""
"1993","regular","12","AP Top 25","20","Louisville","FBS Independents","",""
"1993","regular","12","AP Top 25","21","Colorado","Big 8","",""
"1993","regular","12","AP Top 25","22","Boston College","Big East","",""
"1993","regular","12","AP Top 25","23","Wyoming","Western Athletic","",""
"1993","regular","12","AP Top 25","24","Kansas State","Big 8","",""
"1993","regular","12","AP Top 25","25","Washington","Pac-10","",""
"1993","regular","11","AP Top 25","1","Florida State","ACC","",""
"1993","regular","11","AP Top 25","2","Notre Dame","FBS Independents","",""
"1993","regular","11","AP Top 25","3","Ohio State","Big Ten","",""
"1993","regular","11","AP Top 25","4","Miami","Big East","",""
"1993","regular","11","AP Top 25","5","Alabama","SEC","",""
"1993","regular","11","AP Top 25","6","Nebraska","Big 8","",""
"1993","regular","11","AP Top 25","7","Tennessee","SEC","",""
