"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"1997","regular","17","AP Top 25","1","Michigan","Big Ten","",""
"1997","regular","17","AP Top 25","2","Nebraska","Big 12","",""
"1997","regular","17","AP Top 25","3","Tennessee","SEC","",""
"1997","regular","17","AP Top 25","4","Florida State","ACC","",""
"1997","regular","17","AP Top 25","5","UCLA","Pac-10","",""
"1997","regular","17","AP Top 25","6","Florida","SEC","",""
"1997","regular","17","AP Top 25","7","North Carolina","ACC","",""
"1997","regular","17","AP Top 25","8","Washington State","Pac-10","",""
"1997","regular","17","AP Top 25","9","Ohio State","Big Ten","",""
"1997","regular","17","AP Top 25","10","Kansas State","Big 12","",""
"1997","regular","17","AP Top 25","11","Penn State","Big Ten","",""
"1997","regular","17","AP Top 25","12","Georgia","SEC","",""
"1997","regular","17","AP Top 25","13","Auburn","SEC","",""
"1997","regular","17","AP Top 25","14","Syracuse","Big East","",""
"1997","regular","17","AP Top 25","15","LSU","SEC","",""
"1997","regular","17","AP Top 25","16","Arizona State","Pac-10","",""
"1997","regular","17","AP Top 25","17","Purdue","Big Ten","",""
"1997","regular","17","AP Top 25","18","Colorado State","Western Athletic","",""
"1997","regular","17","AP Top 25","19","Missouri","Big 12","",""
"1997","regular","17","AP Top 25","20","Texas A&M","Big 12","",""
"1997","regular","17","AP Top 25","21","Washington","Pac-10","",""
"1997","regular","17","AP Top 25","22","Southern Mississippi","Conference USA","",""
"1997","regular","17","AP Top 25","23","Air Force","Western Athletic","",""
"1997","regular","17","AP Top 25","24","Oklahoma State","Big 12","",""
"1997","regular","17","AP Top 25","25","Michigan State","Big Ten","",""
"1997","regular","16","AP Top 25","1","Michigan","Big Ten","",""
"1997","regular","16","AP Top 25","2","Nebraska","Big 12","",""
"1997","regular","16","AP Top 25","3","Tennessee","SEC","",""
"1997","regular","16","AP Top 25","4","Florida State","ACC","",""
"1997","regular","16","AP Top 25","5","UCLA","Pac-10","",""
"1997","regular","16","AP Top 25","6","Florida","SEC","",""
"1997","regular","16","AP Top 25","7","North Carolina","ACC","",""
"1997","regular","16","AP Top 25","8","Washington State","Pac-10","",""
"1997","regular","16","AP Top 25","9","Ohio State","Big Ten","",""
"1997","regular","16","AP Top 25","10","Kansas State","Big 12","",""
"1997","regular","16","AP Top 25","11","Auburn","SEC","",""
"1997","regular","16","AP Top 25","12","Penn State","Big Ten","",""
"1997","regular","16","AP Top 25","13","Georgia","SEC","",""
"1997","regular","16","AP Top 25","14","Texas A&M","Big 12","",""
"1997","regular","16","AP Top 25","15","Syracuse","Big East","",""
"1997","regular","16","AP Top 25","16","LSU","SEC","",""
"1997","regular","16","AP Top 25","17","Arizona State","Pac-10","",""
"1997","regular","16","AP Top 25","18","Purdue","Big Ten","",""
"1997","regular","16","AP Top 25","19","Missouri","Big 12","",""
"1997","regular","16","AP Top 25","20","Colorado State","Western Athletic","",""
"1997","regular","16","AP Top 25","21","Washington","Pac-10","",""
"1997","regular","16","AP Top 25","22","Southern Mississippi","Conference USA","",""
"1997","regular","16","AP Top 25","23","Air Force","Western Athletic","",""
"1997","regular","16","AP Top 25","24","Oklahoma State","Big 12","",""
"1997","regular","16","AP Top 25","25","Michigan State","Big Ten","",""
"1997","regular","15","AP Top 25","1","Michigan","Big Ten","",""
"1997","regular","15","AP Top 25","2","Nebraska","Big 12","",""
"1997","regular","15","AP Top 25","3","Tennessee","SEC","",""
"1997","regular","15","AP Top 25","4","Penn State","Big Ten","",""
