"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"2011","regular","1","AP Top 25","1","Oklahoma","Big 12","36","0"
"2011","regular","1","AP Top 25","2","Alabama","SEC","17","0"
"2011","regular","1","AP Top 25","3","Oregon","Pac-12","4","0"
"2011","regular","1","AP Top 25","4","LSU","SEC","1","0"
"2011","regular","1","AP Top 25","5","Boise State","Mountain West","2","0"
"2011","regular","1","AP Top 25","6","Florida State","ACC","0","0"
"2011","regular","1","AP Top 25","7","Stanford","Pac-12","0","0"
"2011","regular","1","AP Top 25","8","Texas A&M","Big 12","0","0"
"2011","regular","1","AP Top 25","9","Oklahoma State","Big 12","0","0"
"2011","regular","1","AP Top 25","10","Nebraska","Big Ten","0","0"
"2011","regular","1","AP Top 25","11","Wisconsin","Big Ten","0","0"
"2011","regular","1","AP Top 25","12","South Carolina","SEC","0","0"
"2011","regular","1","AP Top 25","13","Virginia Tech","ACC","0","0"
"2011","regular","1","AP Top 25","14","TCU","Mountain West","0","0"
"2011","regular","1","AP Top 25","15","Arkansas","SEC","0","0"
"2011","regular","1","AP Top 25","16","Notre Dame","FBS Independents","0","0"
"2011","regular","1","AP Top 25","17","Michigan State","Big Ten","0","0"
"2011","regular","1","AP Top 25","18","Ohio State","Big Ten","0","0"
"2011","regular","1","AP Top 25","19","Georgia","SEC","0","0"
"2011","regular","1","AP Top 25","20","Mississippi State","SEC","0","0"
"2011","regular","1","AP Top 25","21","Missouri","Big 12","0","0"
"2011","regular","1","AP Top 25","22","Florida","SEC","0","0"
"2011","regular","1","AP Top 25","23","Auburn","SEC","0","0"
"2011","regular","1","AP Top 25","24","West Virginia","Big East","0","0"
"2011","regular","1","AP Top 25","25","USC","Pac-12","0","0"
"2011","regular","1","Coaches Poll","1","Oklahoma","Big 12","42","1454"
"2011","regular","1","Coaches Poll","2","Alabama","SEC","13","1414"
"2011","regular","1","Coaches Poll","3","Oregon","Pac-12","2","1309"
"2011","regular","1","Coaches Poll","4","LSU","SEC","2","1296"
"2011","regular","1","Coaches Poll","5","Florida State","ACC","0","1116"
"2011","regular","1","Coaches Poll","6","Stanford","Pac-12","0","1101"
"2011","regular","1","Coaches Poll","7","Boise State","Mountain West","0","1065"
"2011","regular","1","Coaches Poll","8","Oklahoma State","Big 12","0","933"
"2011","regular","1","Coaches Poll","9","Texas A&M","Big 12","0","885"
"2011","regular","1","Coaches Poll","10","Wisconsin","Big Ten","0","829"
"2011","regular","1","Coaches Poll","11","Nebraska","Big Ten","0","814"
"2011","regular","1","Coaches Poll","12","South Carolina","SEC","0","779"
"2011","regular","1","Coaches Poll","13","Virginia Tech","ACC","0","767"
"2011","regular","1","Coaches Poll","14","Arkansas","SEC","0","750"
"2011","regular","1","Coaches Poll","15","TCU","Mountain West","0","687"
"2011","regular","1","Coaches Poll","16","Ohio State","Big Ten","0","631"
"2011","regular","1","Coaches Poll","17","Michigan State","Big Ten","0","536"
"2011","regular","1","Coaches Poll","18","Notre Dame","FBS Independents","0","440"
"2011","regular","1","Coaches Poll","19","Auburn","SEC","0","329"
"2011","regular","1","Coaches Poll","20","Mississippi State","SEC","0","301"
"2011","regular","1","Coaches Poll","21","Missouri","Big 12","0","266"
"2011","regular","1","Coaches Poll","22","Georgia","SEC","0","260"
"2011","regular","1","Coaches Poll","23","Florida","SEC","0","240"
"2011","regular","1","Coaches Poll","24","Texas","Big 12","0","162"
"2011","regular","1","Coaches Poll","25","Penn State","Big Ten","0","161"
"2011","regular","2","AP Top 25","1","Oklahoma","Big 12","32","0"
"2011","regular","2","AP Top 25","2","LSU","SEC","17","0"
"2011","regular","2","AP Top 25","3","Alabama","SEC","9","0"
"2011","regular","2","AP Top 25","4","Boise State","Mountain West","2","0"
"2011","regular","2","AP Top 25","5","Florida State","ACC","0","0"
"2011","regular","2","AP Top 25","6","Stanford","Pac-12","0","0"
"2011","regular","2","AP Top 25","7","Texas A&M","Big 12","0","0"
"2011","regular","2","AP Top 25","8","Wisconsin","Big Ten","0","0"
"2011","regular","2","AP Top 25","9","Oklahoma State","Big 12","0","0"
"2011","regular","2","AP Top 25","10","Nebraska","Big Ten","0","0"
"2011","regular","2","AP Top 25","11","Virginia Tech","ACC","0","0"
"2011","regular","2","AP Top 25","12","South Carolina","SEC","0","0"
