data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2013-08-29,2013,south carolina,north carolina,27,10,1,-11.167,,-11.167,,,
2013-08-29,2013,kent state,liberty,17,10,1,2.0,,2.0,,,
2013-08-29,2013,wake forest,presbyterian college,31,7,1,-30.0,,-30.0,,,
2013-08-29,2013,ball state,illinois state,51,28,1,-30.5,,-30.5,,,
2013-08-29,2013,minnesota,unlv,51,23,1,-14.667,,-14.667,,,
2013-08-29,2013,ucf,akron,38,7,1,-25.167,,-25.167,,,
2013-08-29,2013,indiana,indiana state,73,35,1,-30.5,,-30.5,,,
2013-08-29,2013,eastern kentucky,robert morris,38,6,1
2013-08-29,2013,bowling green,tulsa,34,7,1,-0.833,,-0.833,,,
2013-08-29,2013,morehead state,pikeville,10,13,0
2013-08-29,2013,western illinois,hampton,42,9,1
2013-08-29,2013,fordham,rhode island,51,26,1
2013-08-29,2013,missouri state,northwestern state,17,23,0
2013-08-29,2013,connecticut,towson,18,33,0,-20.0,,-20.0,,,
2013-08-29,2013,chattanooga,ut martin,21,31,0
2013-08-29,2013,delaware,jacksonville,51,35,1
2013-08-29,2013,youngstown state,dayton,28,10,1
2013-08-29,2013,south alabama,southern utah,21,22,0,-41.0,,-41.0,,,
2013-08-29,2013,middle tennessee,western carolina,45,24,1,-12.0,,-12.0,,,
2013-08-30,2013,central arkansas,incarnate word,58,7,1
2013-08-30,2013,utah,utah state,30,26,1,-2.5,,-2.5,,,
2013-08-30,2013,north dakota,valparaiso,69,10,1
2013-08-30,2013,drake,grand view,16,21,0
2013-08-30,2013,southeastern louisiana,southeast missouri state,45,7,1
2013-08-30,2013,tulane,jackson state,34,7,1,-15.0,,-15.0,,,
2013-08-30,2013,montana state,monmouth,42,24,1
2013-08-30,2013,vanderbilt,ole miss,35,39,0,1.5,,1.5,,,
2013-08-30,2013,portland state,eastern oregon,57,17,1
2013-08-30,2013,san josé state,sacramento state,24,0,1,-33.0,,-33.0,,,
2013-08-30,2013,fresno state,rutgers,52,51,1,-9.667,,-9.667,,,
2013-08-30,2013,hawai'i,usc,13,30,0,22.833,,22.833,,,
2013-08-30,2013,army,morgan state,28,12,1,-31.0,,-31.0,,,
2013-08-30,2013,georgia state,samford,21,31,0,7.0,,7.0,,,
2013-08-31,2013,michigan state,western michigan,26,13,1,-26.5,,-26.5,,,
2013-08-31,2013,smu,texas tech,23,41,0,3.667,,3.667,,,
2013-08-31,2013,miami,florida atlantic,34,6,1,-31.0,,-31.0,,,
2013-08-31,2013,houston,southern,62,13,1,-38.5,,-38.5,,,
2013-08-31,2013,kansas state,north dakota state,21,24,0,-14.5,,-14.5,,,
2013-08-31,2013,arizona,northern arizona,35,0,1,-35.0,,-35.0,,,
2013-08-31,2013,georgia tech,elon,70,0,1,-47.0,,-47.0,,,
2013-08-31,2013,charlotte,campbell,52,7,1
2013-08-31,2013,wisconsin,umass,45,0,1,-44.0,,-44.0,,,
2013-08-31,2013,cincinnati,purdue,42,7,1,-11.333,,-11.333,,,
2013-08-31,2013,ohio state,buffalo,40,20,1,-33.667,,-33.667,,,
2013-08-31,2013,boston college,villanova,24,14,1,-19.0,,-19.0,,,
2013-08-31,2013,west virginia,william & mary,24,17,1,-32.0,,-32.0,,,
2013-08-31,2013,illinois,southern illinois,42,34,1,-24.0,,-24.0,,,
2013-08-31,2013,duquesne,albany,35,24,1
2013-08-31,2013,florida,toledo,24,6,1,-22.167,,-22.167,,,
2013-08-31,2013,nc state,louisiana tech,40,14,1,-12.833,,-12.833,,,
2013-08-31,2013,maryland,florida international,43,10,1,-19.0,,-19.0,,,
2013-08-31,2013,texas a&m,rice,52,31,1,-28.0,,-28.0,,,
2013-08-31,2013,wagner,georgetown,28,21,1
2013-08-31,2013,bryant,holy cross,17,16,1
2013-08-31,2013,south dakota,uc davis,10,7,1
2013-08-31,2013,air force,colgate,38,13,1,-31.5,,-31.5,,,
2013-08-31,2013,michigan,central michigan,59,9,1,-29.667,,-29.667,,,
2013-08-31,2013,oklahoma state,mississippi state,21,3,1,-12.5,,-12.5,,,
2013-08-31,2013,notre dame,temple,28,6,1,-26.5,,-26.5,,,
2013-08-31,2013,virginia,byu,19,16,1,3.0,,3.0,,,
2013-08-31,2013,iowa,northern illinois,27,30,0,-3.833,,-3.833,,,
2013-08-31,2013,penn state,syracuse,23,17,1,1.667,,1.667,,,
2013-08-31,2013,northern colorado,langston,31,10,1
2013-08-31,2013,arkansas,louisiana,34,14,1,-11.5,,-11.5,,,
2013-08-31,2013,duke,north carolina central,45,0,1,-35.0,,-35.0,,,
2013-08-31,2013,oregon,nicholls,66,3,1,-58.5,,-58.5,,,
2013-08-31,2013,virginia tech,alabama,10,35,0,20.5,,20.5,,,
2013-08-31,2013,oregon state,eastern washington,46,49,0,-28.0,,-28.0,,,
2013-08-31,2013,norfolk state,maine,6,23,0
2013-08-31,2013,richmond,vmi,34,0,1
2013-08-31,2013,tennessee,austin peay,45,0,1,-51.0,,-51.0,,,
2013-08-31,2013,south carolina state,coastal carolina,20,27,0
2013-08-31,2013,eastern michigan,howard,34,24,1,-13.0,,-13.0,,,
2013-08-31,2013,the citadel,charleston southern,29,32,0
2013-08-31,2013,mercer,reinhardt,40,37,1
2013-08-31,2013,marist,sacred heart,21,37,0
2013-08-31,2013,georgia southern,savannah state,77,9,1
2013-08-31,2013,james madison,central connecticut,38,14,1
2013-08-31,2013,gardner-webb,furman,28,21,1
2013-08-31,2013,marshall,miami (oh),52,14,1,-18.0,,-18.0,,,
2013-08-31,2013,south dakota state,butler,55,14,1
2013-08-31,2013,stetson,warner,31,3,1
2013-08-31,2013,arkansas state,arkansas-pine bluff,62,11,1,-17.5,,-17.5,,,
2013-08-31,2013,north texas,idaho,40,6,1,-16.667,,-16.667,,,
2013-08-31,2013,troy,uab,34,31,1,-5.0,,-5.0,,,
2013-08-31,2013,missouri,murray state,58,14,1,-38.0,,-38.0,,,
2013-08-31,2013,sam houston state,houston christian,74,0,1
2013-08-31,2013,oklahoma,louisiana monroe,34,0,1,-22.333,,-22.333,,,
2013-08-31,2013,auburn,washington state,31,24,1,-13.833,,-13.833,,,
2013-08-31,2013,east carolina,old dominion,52,38,1,-14.5,,-14.5,,,
2013-08-31,2013,southern mississippi,texas state,15,22,0,-8.333,,-8.333,,,
2013-08-31,2013,south florida,mcneese,21,53,0,-20.5,,-20.5,,,
2013-08-31,2013,cal poly,san diego,38,16,1
2013-08-31,2013,western kentucky,kentucky,35,26,1,4.667,,4.667,,,
2013-08-31,2013,baylor,wofford,69,3,1,-28.0,,-28.0,,,
2013-09-01,2013,iowa state,northern iowa,20,28,0,-5.5,,-5.5,,,
2013-09-01,2013,texas,new mexico state,56,7,1,-43.333,,-43.333,,,
2013-09-01,2013,nebraska,wyoming,37,34,1,-27.833,,-27.833,,,
2013-09-01,2013,lamar,ok panhandle st,75,0,1
2013-09-01,2013,weber state,stephen f. austin,50,40,1
2013-09-01,2013,abilene christian,concordia (al),84,6,1
2013-09-01,2013,clemson,georgia,38,35,1,0.333,,0.333,,,
2013-09-01,2013,new mexico,ut san antonio,13,21,0,-4.75,,-4.75,,,
2013-09-01,2013,san diego state,eastern illinois,19,40,0,-19.0,,-19.0,,,
2013-09-01,2013,tcu,lsu,27,37,0,4.333,,4.333,,,
2013-09-01,2013,montana,appalachian state,30,6,1
2013-09-01,2013,washington,boise state,38,6,1,-3.333,,-3.333,,,
2013-09-01,2013,ucla,nevada,58,20,1,-18.5,,-18.5,,,
2013-09-01,2013,california,northwestern,30,44,0,6.667,,6.667,,,
2013-09-01,2013,florida a&m,mississippi valley state,27,10,1
2013-09-01,2013,louisville,ohio,49,7,1,-19.167,,-19.167,,,
2013-09-01,2013,colorado state,colorado,27,41,0,-1.5,,-1.5,,,
2013-09-02,2013,tennessee state,bethune-cookman,9,12,0
2013-09-03,2013,pittsburgh,florida state,13,41,0,11.333,,11.333,,,
