data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2018-09-01,2018,troy,boise state,20,56,0,9.125,,9.125,,,
2018-09-01,2018,tennessee state,bethune-cookman,34,3,1
2018-09-01,2018,south alabama,louisiana tech,26,30,0,10.375,,10.375,,,
2018-09-01,2018,toledo,vmi,66,3,1,-48.5,,-48.5,,,
2018-09-01,2018,arkansas state,southeast missouri state,48,21,1,-32.5,,-32.5,,,
2018-09-01,2018,louisiana,grambling,49,17,1,-14.0,,-14.0,,,
2018-09-01,2018,memphis,mercer,66,14,1
2018-09-01,2018,davidson,brevard college,34,13,1
2018-09-01,2018,stetson,point university,48,7,1
2018-09-01,2018,morgan state,towson,10,36,0
2018-09-01,2018,tulsa,central arkansas,38,27,1,-11.5,,-11.5,,,
2018-09-01,2018,kansas,nicholls,23,26,0,-8.0,,-8.0,,,
2018-09-01,2018,lamar,kentucky christian,70,7,1
2018-09-01,2018,houston christian,southwest baptist,49,7,1
2018-09-01,2018,kansas state,south dakota,27,24,1,-24.0,,-24.0,,,
2018-09-01,2018,ucla,cincinnati,17,26,0,-14.25,,-14.25,,,
2018-09-01,2018,southern mississippi,jackson state,55,7,1,-34.5,,-34.5,,,
2018-09-01,2018,florida international,indiana,28,38,0,13.0,,13.0,,,
2018-09-01,2018,notre dame,michigan,24,17,1,2.875,,2.875,,,
2018-09-01,2018,north texas,smu,46,23,1,-3.5,,-3.5,,,
2018-09-01,2018,florida,charleston southern,53,6,1,-43.0,,-43.0,,,
2018-09-01,2018,vanderbilt,middle tennessee,35,7,1,-3.0,,-3.0,,,
2018-09-01,2018,utep,northern arizona,10,30,0,7.0,,7.0,,,
2018-09-01,2018,east tennessee state,mars hill,28,7,1
2018-09-01,2018,illinois state,st. xavier (il),46,0,1
2018-09-01,2018,mississippi state,stephen f. austin,63,6,1,-44.25,,-44.25,,,
2018-09-02,2018,southern utah,north alabama,30,34,0
2018-09-02,2018,new mexico,incarnate word,62,30,1,-36.0,,-36.0,,,
2018-09-02,2018,alabama,louisville,51,14,1,-23.75,,-23.75,,,
2018-09-02,2018,baylor,abilene christian,55,27,1,-41.0,,-41.0,,,
2018-09-02,2018,oregon,bowling green,58,24,1,-34.25,,-34.25,,,
2018-09-02,2018,montana,northern iowa,26,23,1
2018-09-02,2018,sacramento state,st. francis (il),55,7,1
2018-09-02,2018,fresno state,idaho,79,13,1,-24.5,,-24.5,,,
2018-09-02,2018,arizona state,ut san antonio,49,7,1,-17.25,,-17.25,,,
2018-09-02,2018,arizona,byu,23,28,0,-10.5,,-10.5,,,
2018-09-02,2018,hawai'i,navy,59,41,1,12.5,,12.5,,,
2018-09-02,2018,north carolina central,prairie view,24,40,0
2018-09-02,2018,east carolina,north carolina a&t,23,28,0,-13.0,,-13.0,,,
2018-09-02,2018,lsu,miami,33,17,1,3.125,,3.125,,,
2018-09-04,2018,florida state,virginia tech,3,24,0,-7.125,,-7.125,,,
2018-09-06,2018,missouri state,lincoln (mo),52,24,1
2018-09-06,2018,tennessee tech,kennesaw state,10,49,0
2018-09-07,2018,central connecticut,lincoln (pa),55,0,1
2018-09-08,2018,smu,tcu,12,42,0,23.625,,23.625,,,
2018-09-08,2018,wake forest,towson,51,20,1,-34.0,,-34.0,,,
2018-09-08,2018,purdue,eastern michigan,19,20,0,-15.375,,-15.375,,,
2018-09-08,2018,army,liberty,38,14,1,-7.5,,-7.5,,,
2018-09-08,2018,wisconsin,new mexico,45,14,1,-35.75,,-35.75,,,
2018-09-08,2018,st francis (pa),delaware state,45,14,1
2018-09-08,2018,duquesne,valparaiso,23,21,1
2018-09-08,2018,robert morris,virginia state,22,19,1
2018-09-08,2018,michigan,western michigan,49,3,1,-27.875,,-27.875,,,
2018-09-08,2018,northwestern,duke,7,21,0,-2.5,,-2.5,,,
2018-09-08,2018,south florida,georgia tech,49,38,1,3.125,,3.125,,,
2018-09-08,2018,vanderbilt,nevada,41,10,1,-10.0,,-10.0,,,
2018-09-08,2018,kansas state,mississippi state,10,31,0,6.875,,6.875,,,
2018-09-08,2018,houston,arizona,45,18,1,-3.25,,-3.25,,,
2018-09-08,2018,nc state,georgia state,41,7,1,-24.75,,-24.75,,,
2018-09-08,2018,lehigh,villanova,9,31,0
2018-09-08,2018,georgetown,campbell,8,13,0
2018-09-08,2018,rhode island,albany,45,26,1
2018-09-08,2018,boston college,holy cross,62,14,1
2018-09-08,2018,oklahoma,ucla,49,21,1,-31.0,,-31.0,,,
2018-09-08,2018,florida atlantic,air force,33,26,1,-8.125,,-8.125,,,
2018-09-08,2018,oregon,portland state,62,14,1,-49.5,,-49.5,,,
2018-09-08,2018,virginia tech,william & mary,62,17,1,-42.0,,-42.0,,,
2018-09-08,2018,southeast missouri state,dayton,40,21,1
2018-09-08,2018,monmouth,hampton,56,28,1
2018-09-08,2018,bucknell,sacred heart,14,30,0
2018-09-08,2018,south dakota,northern colorado,43,28,1
2018-09-08,2018,montana,drake,48,16,1
2018-09-08,2018,central michigan,kansas,7,31,0,-3.0,,-3.0,,,
2018-09-08,2018,alabama,arkansas state,57,7,1,-36.875,,-36.875,,,
2018-09-08,2018,akron,morgan state,41,7,1,-42.5,,-42.5,,,
2018-09-08,2018,delaware,lafayette,37,0,1
2018-09-08,2018,kent state,howard,54,14,1,-9.5,,-9.5,,,
2018-09-08,2018,notre dame,ball state,24,16,1,-34.125,,-34.125,,,
2018-09-08,2018,temple,buffalo,29,36,0,-4.0,,-4.0,,,
2018-09-08,2018,navy,memphis,22,21,1,6.875,,6.875,,,
2018-09-08,2018,ohio state,rutgers,52,3,1,-34.875,,-34.875,,,
2018-09-08,2018,east carolina,north carolina,41,19,1,15.75,,15.75,,,
2018-09-08,2018,nebraska,colorado,28,33,0,-3.25,,-3.25,,,
2018-09-08,2018,syracuse,wagner,62,10,1
2018-09-08,2018,south carolina,georgia,17,41,0,8.875,,8.875,,,
2018-09-08,2018,texas tech,lamar,77,0,1,-49.0,,-49.0,,,
2018-09-08,2018,ole miss,southern illinois,76,41,1,-28.0,,-28.0,,,
2018-09-08,2018,tennessee,east tennessee state,59,3,1,-37.0,,-37.0,,,
2018-09-08,2018,bethune-cookman,virginia lynchburg,79,16,1
2018-09-08,2018,washington,north dakota,45,3,1
2018-09-08,2018,idaho,western new mexico,56,10,1
2018-09-08,2018,iowa,iowa state,13,3,1,-3.5,,-3.5,,,
2018-09-08,2018,west virginia,youngstown state,52,17,1,-33.5,,-33.5,,,
2018-09-08,2018,georgia southern,umass,34,13,1,-1.5,,-1.5,,,
2018-09-08,2018,bowling green,maryland,14,45,0,13.625,,13.625,,,
2018-09-08,2018,the citadel,chattanooga,28,29,0
2018-09-08,2018,mercer,jacksonville,45,3,1
2018-09-08,2018,taylor,butler,17,31,0
2018-09-08,2018,north carolina central,st. augustine's,51,14,1
2018-09-08,2018,morehead state,mount st. joseph,48,19,1
2018-09-08,2018,stetson,waldorf,63,34,1
2018-09-08,2018,charlotte,appalachian state,9,45,0,15.0,,15.0,,,
2018-09-08,2018,miami,savannah state,77,0,1,-62.0,,-62.0,,,
2018-09-08,2018,ucf,south carolina state,38,0,1
2018-09-08,2018,wofford,vmi,59,14,1
2018-09-08,2018,elon,furman,45,7,1
2018-09-08,2018,norfolk state,james madison,0,17,0
2018-09-08,2018,new hampshire,colgate,3,10,0
2018-09-08,2018,richmond,fordham,52,7,1
2018-09-08,2018,stony brook,bryant,50,21,1
2018-09-08,2018,north carolina a&t,gardner-webb,45,6,1
2018-09-08,2018,marshall,eastern kentucky,32,16,1,-32.5,,-32.5,,,
