bucket,accuracy,total,over,under
200-299,54.686,1035,257,212
300-399,60.7735,905,181,174
400-499,65.9056,657,114,110
500-599,70.4309,673,127,72
600-699,77.533,454,66,36
700-799,73.445,418,77,34
800-899,78.1955,266,40,18
900-999,84.0336,357,42,15
