bucket,accuracy,total,over,under
200-299,54.4948,1435,351,302
300-399,61.262,1252,255,230
400-499,66.8514,902,148,151
500-599,69.3727,813,153,96
600-699,76.8595,605,99,41
700-799,75.1852,540,88,46
800-899,78.1421,366,56,24
900-999,84.1518,448,50,21
