bucket,accuracy,total,over,under
0-99,55.5809,3064,525,836
100-199,64.8032,2719,383,574
200-299,76.0367,2291,222,327
300-399,82.5924,1597,110,168
400-499,88.8046,1054,50,68
500-599,95.5298,604,9,18
600-699,94.3182,352,8,12
700-799,97.6879,173,0,4
800-899,98.7342,79,1,0
900-999,97.0588,34,0,1
