bucket,accuracy,total,over,under
0-220.0,38.4615,13,5,3
220.0-230.0,47.3913,230,72,49
230.0-240.0,53.4591,159,38,36
240.0-250.0,55.6213,169,40,35
250.0-1200000.0,77.3127,8194,1114,745
