Id,Season,Week,Season Type,Start Date,Start Time Tbd,Completed,Neutral Site,Conference Game,Attendance,Venue Id,Venue,Home Id,Home Team,Home Conference,Home Division,Home Points,Home Line Scores[0],Home Line Scores[1],Home Line Scores[2],Home Line Scores[3],Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Id,Away Team,Away Conference,Away Division,Away Points,Away Line Scores[0],Away Line Scores[1],Away Line Scores[2],Away Line Scores[3],Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Highlights,Notes
262382107,2006,1,regular,2006-08-26T23:00:00.000Z,False,True,True,False,,,,2107,Catawba,,,21,0.0,6.0,0.0,15.0,,,,2736,Winston-Salem,FCS Independents,fcs,7,7.0,0.0,0.0,0.0,,,,,,
262432117,2006,1,regular,2006-08-31T22:00:00.000Z,,True,False,False,25418.0,3786.0,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,fbs,24,3.0,0.0,7.0,14.0,,1371.0,1380.0,103,Boston College,ACC,fbs,31,3.0,14.0,0.0,14.0,,1681.0,1672.0,,,
262432447,2006,1,regular,2006-08-31T23:00:00.000Z,False,True,False,False,,3779.0,Manning Field at John L. Guidry Stadium,2447,Nicholls,Southland,fcs,35,14.0,7.0,7.0,7.0,,,,2568,Southern Arkansas,,,0,0.0,0.0,0.0,0.0,,,,,,
262432084,2006,1,regular,2006-08-31T23:00:00.000Z,,True,False,False,29795.0,3965.0,UB Stadium,2084,Buffalo,Mid-American,fbs,9,0.0,0.0,0.0,3.0,,1170.0,1174.0,218,Temple,FBS Independents,fbs,3,0.0,0.0,0.0,3.0,,1113.0,1109.0,,,
262432335,2006,1,regular,2006-08-31T23:00:00.000Z,False,True,False,False,,3992.0,Williams Stadium,2335,Liberty,Big South,fcs,27,7.0,9.0,6.0,5.0,,,,2611,St. Paul's College,,,0,0.0,0.0,0.0,0.0,,,,,,
262432325,2006,1,regular,2006-08-31T23:00:00.000Z,False,True,True,False,,,,2325,La Salle,Metro Atlantic Athletic,fcs,15,0.0,0.0,7.0,8.0,,,,2681,Wagner,NEC,fcs,38,7.0,17.0,0.0,14.0,,,,,,
262432393,2006,1,regular,2006-08-31T23:00:00.000Z,,True,False,True,20058.0,3725.0,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Sun Belt,fbs,7,0.0,7.0,0.0,0.0,,1415.0,1412.0,2229,Florida International,Sun Belt,fbs,6,6.0,0.0,0.0,0.0,,1307.0,1310.0,,,
262432717,2006,1,regular,2006-08-31T23:00:00.000Z,False,True,False,False,,3704.0,E. J. Whitmire Stadium,2717,Western Carolina,Southern,fcs,42,14.0,14.0,7.0,7.0,,,,2804,Chowan,,,0,0.0,0.0,0.0,0.0,,,,,,
262430202,2006,1,regular,2006-08-31T23:00:00.000Z,False,True,True,False,23308.0,,,202,Tulsa,Conference USA,fbs,45,14.0,17.0,7.0,7.0,,,,2617,Stephen F. Austin,Southland,fcs,7,0.0,0.0,0.0,7.0,,,,,,
262432619,2006,1,regular,2006-08-31T23:00:00.000Z,False,True,False,False,,3788.0,Kenneth P. LaValle Stadium,2619,Stony Brook,NEC,fcs,8,0.0,0.0,0.0,8.0,,,,2275,Hofstra,Atlantic 10,fcs,17,0.0,0.0,14.0,3.0,,,,,,
262432710,2006,1,regular,2006-08-31T23:05:00.000Z,False,True,False,False,,3746.0,Hanson Field,2710,Western Illinois,MVFC,fcs,31,7.0,14.0,3.0,7.0,,,,2413,Morehead State,Pioneer,fcs,6,0.0,0.0,6.0,0.0,,,,,,
262430041,2006,1,regular,2006-08-31T23:30:00.000Z,False,True,False,False,36227.0,3892.0,Rentschler Field,41,Connecticut,Big East,fbs,52,10.0,21.0,7.0,14.0,,,,227,Rhode Island,Atlantic 10,fcs,7,0.0,7.0,0.0,0.0,,,,,,
262432050,2006,1,regular,2006-08-31T23:30:00.000Z,,True,False,True,12326.0,3919.0,Scheumann Stadium,2050,Ball State,Mid-American,fbs,38,0.0,17.0,14.0,7.0,,1258.0,1304.0,2199,Eastern Michigan,Mid-American,fbs,20,7.0,6.0,0.0,7.0,,1315.0,1269.0,,,
262430193,2006,1,regular,2006-08-31T23:30:00.000Z,,True,False,False,20476.0,3996.0,Yager Stadium,193,Miami (OH),Mid-American,fbs,3,0.0,0.0,3.0,0.0,,1576.0,1525.0,77,Northwestern,Big Ten,fbs,21,0.0,0.0,14.0,7.0,,1515.0,1566.0,,,
262432309,2006,1,regular,2006-08-31T23:30:00.000Z,,True,False,False,20126.0,3696.0,Dix Stadium,2309,Kent State,Mid-American,fbs,0,0.0,0.0,0.0,0.0,,1263.0,1181.0,135,Minnesota,Big Ten,fbs,44,14.0,3.0,21.0,6.0,,1638.0,1720.0,,,
262432754,2006,1,regular,2006-08-31T23:30:00.000Z,False,True,False,False,,844.0,Stambaugh Stadium,2754,Youngstown State,MVFC,fcs,51,7.0,21.0,14.0,9.0,,,,215,Slippery Rock,,,21,7.0,7.0,7.0,0.0,,,,,,
262430079,2006,1,regular,2006-09-01T00:00:00.000Z,False,True,True,False,,,,79,Southern Illinois,MVFC,fcs,49,14.0,3.0,15.0,17.0,,,,209,Lock Haven,,,0,0.0,0.0,0.0,0.0,,,,,,
262432535,2006,1,regular,2006-09-01T00:00:00.000Z,False,True,False,False,,3925.0,Seibert Stadium,2535,Samford,OVC,fcs,37,14.0,3.0,10.0,10.0,,,,2396,Miles,,,7,0.0,7.0,0.0,0.0,,,,,,
