Id,Season,Week,Season Type,Start Date,Start Time Tbd,Completed,Neutral Site,Conference Game,Attendance,Venue Id,Venue,Home Id,Home Team,Home Conference,Home Division,Home Points,Home Line Scores,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Id,Away Team,Away Conference,Away Division,Away Points,Away Line Scores,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Highlights,Notes
57835,1992,1,regular,1992-08-26T00:00:00.000Z,,True,False,,,,,245,Texas A&M,Southwest,fbs,10,,,1873.0,1872.0,24,Stanford,Pac-10,fbs,7,,,1697.0,1698.0,,,
57836,1992,1,regular,1992-08-29T00:00:00.000Z,,True,False,,,,,152,NC State,ACC,fbs,24,,,1610.0,1634.0,2294,Iowa,Big Ten,fbs,14,,,1699.0,1675.0,,,
57837,1992,2,regular,1992-09-03T00:00:00.000Z,,True,False,True,,,,189,Bowling Green,Mid-American,fbs,29,,,1524.0,1532.0,2711,Western Michigan,Mid-American,fbs,19,,,1391.0,1383.0,,,
57838,1992,2,regular,1992-09-03T00:00:00.000Z,,True,False,,,,,2641,Texas Tech,Southwest,fbs,9,,,1599.0,1565.0,201,Oklahoma,Big 8,fbs,34,,,1881.0,1915.0,,,
57858,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,,,,,239,Baylor,Southwest,fbs,9,,,1607.0,1604.0,2348,Louisiana Tech,FBS Independents,fbs,10,,,1565.0,1568.0,,,
57857,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,,,,,96,Kentucky,SEC,fbs,21,,,1427.0,1443.0,2117,Central Michigan,Mid-American,fbs,14,,,1529.0,1513.0,,,
57844,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,True,,,,2638,UTEP,Western Athletic,fbs,28,,,1416.0,1415.0,252,BYU,Western Athletic,fbs,38,,,1656.0,1657.0,,,
57856,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,,,,,204,Oregon State,Pac-10,fbs,20,,,1240.0,1196.0,2305,Kansas,Big 8,fbs,49,,,1540.0,1584.0,,,
57855,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,,,,,66,Iowa State,Big 8,fbs,35,,,1357.0,1403.0,195,Ohio,Mid-American,fbs,9,,,1175.0,1129.0,,,
57854,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,,,,,356,Illinois,Big Ten,fbs,30,,,1648.0,1650.0,2459,Northern Illinois,FBS Independents,fbs,14,,,1275.0,1273.0,,,
57853,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,,,,,2483,Oregon,Pac-10,fbs,21,,,1445.0,1443.0,62,Hawai'i,Western Athletic,fbs,24,,,1479.0,1481.0,,,
57851,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,,,,,1000044,Pacific,Big West,fbs,21,,,1319.0,1304.0,278,Fresno State,Western Athletic,fbs,42,,,1683.0,1698.0,,,
57879,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,,,,,2649,Toledo,Mid-American,fbs,49,,,1466.0,1581.0,2032,Arkansas State,FBS Independents,fbs,0,,,1229.0,1114.0,,,
57884,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,True,,,,9,Arizona State,Pac-10,fbs,7,,,1560.0,1544.0,264,Washington,Pac-10,fbs,31,,,1994.0,2010.0,,,
57849,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,,,,,38,Colorado,Big 8,fbs,37,,,1766.0,1775.0,36,Colorado State,Western Athletic,fbs,17,,,1376.0,1367.0,,,
57848,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,,,,,228,Clemson,ACC,fbs,24,,,1680.0,1690.0,2050,Ball State,Mid-American,fbs,10,,,1462.0,1452.0,,,
57847,1992,2,regular,1992-09-05T00:00:00.000Z,,True,False,,,,,8,Arkansas,SEC,fbs,3,,,,,2643,The Citadel,,,10,,,,,,,
