Id,Season,Week,Season Type,Start Date,Start Time Tbd,Completed,Neutral Site,Conference Game,Attendance,Venue Id,Venue,Home Id,Home Team,Home Conference,Home Division,Home Points,Home Line Scores[0],Home Line Scores[1],Home Line Scores[2],Home Line Scores[3],Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Id,Away Team,Away Conference,Away Division,Away Points,Away Line Scores[0],Away Line Scores[1],Away Line Scores[2],Away Line Scores[3],Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Highlights,Notes
401282714,2021,1,regular,2021-08-28T17:20:00.000Z,False,True,False,True,41064.0,3832.0,Memorial Stadium,356,Illinois,Big Ten,fbs,30,2.0,14.0,14.0,0.0,0.4056606386617034,1392.0,1411.0,158,Nebraska,Big Ten,fbs,22,0.0,9.0,7.0,6.0,0.5943393613382966,1503.0,1484.0,5.4859812562,,
401286187,2021,1,regular,2021-08-28T18:00:00.000Z,False,True,False,False,26043.0,3660.0,Bulldog Stadium,278,Fresno State,Mountain West,fbs,45,7.0,24.0,7.0,7.0,0.9989676192140482,1465.0,1566.0,41,Connecticut,FBS Independents,fbs,0,0.0,0.0,0.0,0.0,0.0010323807859518,1223.0,1122.0,1.5355562765,,
401329133,2021,1,regular,2021-08-28T19:00:00.000Z,False,True,True,True,,3861.0,Ohio Stadium,2119,Central State,SIAC,ii,6,0.0,0.0,0.0,6.0,,,,2310,Kentucky State,SIAC,ii,20,6.0,7.0,0.0,7.0,,,,,,
401309833,2021,1,regular,2021-08-28T19:30:00.000Z,False,True,False,False,32982.0,1056.0,Rose Bowl,26,UCLA,Pac-12,fbs,44,24.0,7.0,13.0,0.0,0.998923796291393,1517.0,1605.0,62,Hawai'i,Mountain West,fbs,10,3.0,0.0,7.0,0.0,0.0010762037086069,1466.0,1378.0,1.3911846797,,
401328337,2021,1,regular,2021-08-28T22:00:00.000Z,False,True,False,False,,3829.0,Memorial Stadium,282,Indiana State,MVFC,fcs,26,7.0,3.0,7.0,9.0,,,,2197,Eastern Illinois,OVC,fcs,21,0.0,7.0,7.0,7.0,,,,,,
401327539,2021,1,regular,2021-08-28T23:00:00.000Z,False,True,True,False,,4246.0,Georgia State Stadium,2428,North Carolina Central,MEAC,fcs,23,0.0,7.0,6.0,10.0,,,,2016,Alcorn State,SWAC,fcs,14,7.0,0.0,7.0,0.0,,,,,,Cricket MEAC/SWAC Challenge
401282049,2021,1,regular,2021-08-29T01:30:00.000Z,False,True,False,False,19034.0,3601.0,Aggie Memorial Stadium,166,New Mexico State,FBS Independents,fbs,3,0.0,3.0,0.0,0.0,0.0003672266073629,1261.0,1182.0,2638,UTEP,Conference USA,fbs,30,17.0,3.0,10.0,0.0,0.9996327733926372,1222.0,1301.0,1.7024199439,,
401310693,2021,1,regular,2021-08-29T02:00:00.000Z,False,True,False,False,16204.0,3935.0,Spartan Stadium,23,San José State,Mountain West,fbs,45,21.0,17.0,7.0,0.0,,,,253,Southern Utah,Big Sky,fcs,14,0.0,14.0,0.0,0.0,,,,,,
401282050,2021,1,regular,2021-09-01T23:30:00.000Z,False,True,True,False,9122.0,3689.0,Cramton Bowl,55,Jacksonville State,AWC,fcs,0,0.0,0.0,0.0,0.0,0.0003023172538635,,,5,UAB,Conference USA,fbs,31,0.0,10.0,14.0,7.0,0.9996976827461364,,,2.1316123178,,Montgomery Kickoff
401328204,2021,1,regular,2021-09-02T22:00:00.000Z,False,True,False,True,,3788.0,Kenneth P. LaValle Stadium,2619,Stony Brook,CAA,fcs,21,0.0,0.0,14.0,7.0,,,,160,New Hampshire,CAA,fcs,27,6.0,14.0,7.0,0.0,,,,,,
