Id,Season,Week,Season Type,Start Date,Start Time Tbd,Completed,Neutral Site,Conference Game,Attendance,Venue Id,Venue,Home Id,Home Team,Home Conference,Home Division,Home Points,Home Line Scores,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Id,Away Team,Away Conference,Away Division,Away Points,Away Line Scores,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Highlights,Notes
60380,1996,1,regular,1996-08-24T00:00:00.000Z,,True,False,,,,,252,BYU,Western Athletic,fbs,41,,,1587.0,1596.0,245,Texas A&M,Big 12,fbs,37,,,1765.0,1756.0,,,
60381,1996,1,regular,1996-08-25T00:00:00.000Z,,True,False,,,,,213,Penn State,Big Ten,fbs,24,,,1813.0,1841.0,30,USC,Pac-10,fbs,7,,,1715.0,1687.0,,,
60388,1996,2,regular,1996-08-29T00:00:00.000Z,,True,False,,,,,154,Wake Forest,ACC,fbs,19,,,1243.0,1261.0,2026,Appalachian State,,,13,,,1452.0,1434.0,,,
60386,1996,2,regular,1996-08-29T00:00:00.000Z,,True,False,,,,,166,New Mexico State,Big West,fbs,7,,,1317.0,1276.0,167,New Mexico,Western Athletic,fbs,28,,,1427.0,1468.0,,,
60385,1996,2,regular,1996-08-29T00:00:00.000Z,,True,False,,,,,2433,Louisiana Monroe,FBS Independents,fbs,14,,,,,2447,Nicholls,,,12,,,,,,,
60384,1996,2,regular,1996-08-29T00:00:00.000Z,,True,False,,,,,2305,Kansas,Big 12,fbs,35,,,1651.0,1689.0,2050,Ball State,Mid-American,fbs,10,,,1422.0,1384.0,,,
60383,1996,2,regular,1996-08-29T00:00:00.000Z,,True,False,,,,,2711,Western Michigan,Mid-American,fbs,20,,,,,2197,Eastern Illinois,,,28,,,,,,,
60382,1996,2,regular,1996-08-29T00:00:00.000Z,,True,False,,,,,2116,UCF,FBS Independents,fbs,39,,,,,2729,William & Mary,,,33,,,,,,,
60387,1996,2,regular,1996-08-29T00:00:00.000Z,,True,False,True,,,,195,Ohio,Mid-American,fbs,44,,,1189.0,1250.0,2006,Akron,Mid-American,fbs,14,,,1027.0,966.0,,,
60389,1996,2,regular,1996-08-30T00:00:00.000Z,,True,False,True,,,,2132,Cincinnati,Conference USA,fbs,14,,,1517.0,1432.0,2655,Tulane,Conference USA,fbs,34,,,1236.0,1321.0,,,
