Season,Date,Team1,Team1 Location,Team2,Team2 Location,Team1 Score,Team2 Score,Result of Home Team
2021,2020-11-25,Oakland,V,Xavier,H,49,101,1
2021,2020-11-25,NorthDakota,V,MiamiOhio,H,67,81,1
2021,2020-11-25,WesternMichigan,V,Butler,H,62,66,1
2021,2020-11-25,WesternCarolina,V,NCWilmington,H,98,76,0
2021,2020-11-25,Drake,V,KansasState,H,80,70,0
2021,2020-11-25,OldDominion,V,Maryland,H,67,85,1
2021,2020-11-25,Fairfield,V,Providence,H,56,97,1
2021,2020-11-25,Toledo,V,Bradley,H,59,61,1
2021,2020-11-25,OklahomaState,V,UTArlington,H,75,68,0
2021,2020-11-25,Evansville,V,Louisville,H,44,79,1
2021,2020-11-25,BowlingGreen,V,Michigan,H,82,96,1
2021,2020-11-25,IdahoState,V,SantaClara,H,49,62,1
2021,2020-11-25,CalRiverside,V,Pacific,H,60,66,1
2021,2020-11-25,BallState,V,NorthernKentucky,H,73,74,1
2021,2020-11-25,CollOfCharleston,V,NorthCarolina,H,60,79,1
2021,2020-11-25,MoreheadState,V,Kentucky,H,45,81,1
2021,2020-11-25,OralRoberts,V,Missouri,H,64,91,1
2021,2020-11-25,IllinoisChicago,V,NorthernIllinois,H,65,61,0
2021,2020-11-25,FloridaAtlantic,V,SouthAlabama,H,66,68,1
2021,2020-11-25,St.Peter's,V,St.Johns,H,75,76,1
2021,2020-11-25,EasternMichigan,V,MichiganState,H,67,83,1
2021,2020-11-25,southDakota,V,Colorado,H,61,84,1
2021,2020-11-25,WiscGreenBay,V,Minnesota,H,69,99,1
2021,2020-11-25,TennesseeTech,V,Indiana,H,59,89,1
2021,2020-11-25,JacksonvilleState,V,Alabama,H,57,81,1
2021,2020-11-25,UTRioGrandeValley,V,Texas,H,55,91,1
2021,2020-11-25,GeorgiaState,V,GeorgiaTech,H,123,120,0
2021,2020-11-25,EasternIllinois,V,Wisconsin,H,67,77,1
2021,2020-11-25,CalIrvine,V,Pepperdine,H,72,86,1
2021,2020-11-25,UCLA,V,SanDiegoState,H,58,73,1
2021,2020-11-25,MontanaState,V,UNLV,H,91,78,0
2021,2020-11-25,CaliforniaBaptist,V,USC,H,87,95,1
2021,2020-11-25,SouthernUtah,V,LoyolaMarymount,H,83,85,1
2021,2020-11-25,EastTennState,N,AbileneChristian,N,47,70,
2021,2020-11-25,AustinPeay,N,NebraskaOmaha,N,72,66,
2021,2020-11-25,Liberty,N,Purdue,N,64,77,
2021,2020-11-25,Clemson,N,MississippiState,N,53,42,
2021,2020-11-25,Villanova,N,BostonCollege,N,76,67,
2021,2020-11-25,SIUEdwardsville,V,SaintLouis,H,52,89,1
