Season,Date,Team1,Team2,Team1 Location,Team2 Location,Team1 Score,Team2 Score,Open1,Open2,Close1,Close2,MoneyLine1,MoneyLine2,Result of Home Team
2017,2016-11-11,Louisville,Evansville,H,V,78,47,17,135.5,22.5,141,-5000,2500,1
2017,2016-11-11,Clemson,Georgia,H,V,74,64,6,132.5,5,139.5,-210,180,1
2017,2016-11-11,NCState,GeorgiaSouthern,H,V,81,79,11.5,146,14,158,-1400,800,1
2017,2016-11-11,Oakland,BowlingGreen,H,V,78,70,9,151,9,155,-400,330,1
2017,2016-11-11,OldDominion,JamesMadison,H,V,62,55,5,130.5,4.5,126,-190,170,1
2017,2016-11-11,RhodeIsland,Dartmouth,H,V,84,61,17.5,135.5,18.5,139.5,-3250,1625,1
2017,2016-11-11,Alabama,CoastalCarolina,H,V,70,53,13,132.5,12.5,135.5,-1100,700,1
2017,2016-11-11,Pittsburgh,EasternMichigan,H,V,93,90,12,144.5,11.5,153.5,-850,575,1
2017,2016-11-11,SouthCarolina,LouisianaTech,H,V,85,76,12,148.5,9.5,154,-550,425,1
2017,2016-11-11,Temple,LaSalle,H,V,97,92,4,134.5,139,2,120,-140,1
2017,2016-11-11,Cincinnati,Brown,H,V,84,55,21,137.5,23,144,-5500,2625,1
2017,2016-11-11,NoIllinois,IndianaState,H,V,80,78,6,135,6.5,144.5,-275,235,1
2017,2016-11-11,SoIllinois,WrightState,H,V,81,85,4.5,136.5,5.5,144.5,-240,200,0
2017,2016-11-11,SaintLouis,BallState,H,V,64,85,132,2.5,137.5,3.5,145,-165,0
2017,2016-11-11,MinnesotaU,ULLafayette,H,V,86,74,8,148,8.5,153,-420,350,1
2017,2016-11-11,UCLA,Pacific,H,V,119,80,18.5,146,17,156.5,-2150,1300,1
2017,2016-11-11,Tulane,NorthCarolina,H,V,75,95,145,21,155.5,20.5,2250,-4500,0
2017,2016-11-11,FresnoState,TexSanAntonio,H,V,69,66,14.5,145,15,145.5,-1600,1050,1
2017,2016-11-11,CalIrvine,UtahState,H,V,56,72,5,140,4.5,149.5,-200,175,0
2017,2016-11-11,UNLV,SouthAlabama,H,V,68,76,7,139.5,6,143.5,-265,225,0
2017,2016-11-11,PortlandU,CalRiverside,H,V,71,55,6.5,144.5,7,147.5,-310,260,1
2017,2016-11-11,Pepperdine,CalPolySLO,H,V,77,68,8,137,8.5,139,-410,340,1
2017,2016-11-11,SaintMarysCA,Nevada,H,V,81,63,12.5,137.5,11.5,145,-750,525,1
2017,2016-11-11,SanDiegoState,SanDiego,H,V,69,59,21,127,19.5,126,-3500,1750,1
