Season,Date,Team1,Team2,Team1 Location,Team2 Location,Team1 Score,Team2 Score,Open1,Open2,Close1,Close2,MoneyLine1,MoneyLine2,Result of Home Team
2018,2017-11-10,WestVirginia,TexasA&M,H,V,65,88,6,141,7,143,-330,260,0
2018,2017-11-10,Duke,Elon,H,V,97,68,18.5,155.5,19.5,156.5,-3750,1875,1
2018,2017-11-10,Richmond,Delaware,H,V,63,76,10.5,143.5,9.5,140.5,-550,400,0
2018,2017-11-10,OldDominion,Towson,H,V,57,54,4.5,131,5,142,-250,200,1
2018,2017-11-10,LoyolaChicago,WrightState,H,V,84,80,12,142.5,12.5,138,-950,625,1
2018,2017-11-10,VirginiaTech,DetroitU,H,V,111,79,19,164.5,19,159.5,-3500,1750,1
2018,2017-11-10,Syracuse,Cornell,H,V,77,45,16.5,148.5,14.5,140.5,-1450,950,1
2018,2017-11-10,Drexel,BowlingGreen,H,V,69,78,5,152.5,5,155.5,-220,180,0
2018,2017-11-10,Dayton,BallState,H,V,78,77,5.5,143.5,5.5,155.5,-240,200,1
2018,2017-11-10,Fordham,MiamiOhio,H,V,54,55,9,132.5,9,131.5,-465,370,0
2018,2017-11-10,Mississippi,ULLafayette,H,V,94,76,8,166.5,8.5,167,-480,383,1
2018,2017-11-10,IndianaU,IndianaState,H,V,69,90,14.5,148,13,144.5,-1250,800,0
2018,2017-11-10,NorthCarolina,NorthernIowa,H,V,86,69,18,143,15,141.5,-1500,1000,1
2018,2017-11-10,Stanford,CalPolySLO,H,V,78,62,18.5,143,18.5,140.5,-3500,1750,1
2018,2017-11-10,WakeForest,GeorgiaSouthern,H,V,83,85,10.5,160,10.5,162,-650,450,0
2018,2017-11-10,Evansville,ArkansasState,H,V,77,63,5.5,144.5,3.5,147,-170,145,1
2018,2017-11-10,WesternKentucky,MissouriSt,H,V,80,85,141,1.5,1.5,141.5,-125,105,0
2018,2017-11-10,Missouri,IowaState,H,V,74,59,4,148,6,152.5,-250,200,1
