gameID,date,season,week,homeTeam,homeID,awayTeam,awayID,homeScore,awayScore,result,homePostWinProb,awayPostWinProb,homePreElo,homePostElo,awayPreElo,awayPostElo,overUnder,spread,openingOverUnder,openingSpread,homeMoneyline,awayMoneyline,homeRank,homePoints,awayRank,awayPoints,P Homewins Elo,Elo Brier Score,MoneylineProb,ML Brier Score
272420164,2007-08-30,2007,1,Rutgers,164,Buffalo,2084,38,3,1,,,1678.0,1720.0,1222.0,1180.0,49.5,30.5,,31.0,-12500.0,5000.0,16.0,560.0,,,0.9324499710034239,0.004563006417438277,0.9806183664051685,0.0003756477208042999
272422433,2007-08-30,2007,1,Louisiana Monroe,2433,Tulsa,202,17,35,0,,,1371.0,1345.0,1544.0,1570.0,53.5,3.5,52.0,3.0,150.0,-170.0,,,,,0.269754586702576,0.0727675370470776,0.38848920863309355,0.1509238652243673
272430218,2007-08-31,2007,1,Temple,218,Navy,2426,19,30,0,,,1091.0,1106.0,1561.0,1546.0,52.5,21.0,51.0,21.0,1550.0,-2600.0,,,,,0.06264739145388692,0.0039246956559765445,0.05921052631578948,0.003505886426592798
272440038,2007-09-01,2007,1,Colorado,38,Colorado State,36,31,28,1,,,1511.0,1510.0,1373.0,1374.0,45.0,2.0,44.0,3.0,-135.0,115.0,,,,,0.6887735686687132,0.09686189155920819,0.552594002855783,0.20017212628061112
272440150,2007-09-01,2007,1,Duke,150,Connecticut,41,14,45,0,,,1249.0,1186.0,1440.0,1503.0,51.5,3.5,50.5,6.0,160.0,-190.0,,,,,0.24983651817135802,0.06241828581198731,0.3698979591836735,0.1368245002082466
272442751,2007-09-01,2007,1,Wyoming,2751,Virginia,258,23,3,1,,,1447.0,1501.0,1517.0,1463.0,41.0,2.5,39.5,4.5,120.0,-140.0,,,,,0.40060320329074317,0.35927651990531817,0.43795620437956206,0.3158932281954286
272442483,2007-09-01,2007,1,Oregon,2483,Houston,248,48,27,1,,,1563.0,1613.0,1565.0,1515.0,57.5,18.0,56.6,15.5,-1200.0,750.0,,,,,0.4971218004251891,0.2528864836076033,0.8869565217391304,0.012778827977315693
272440087,2007-09-01,2007,1,Notre Dame,87,Georgia Tech,59,3,33,0,,,1671.0,1578.0,1608.0,1701.0,44.5,1.0,3.0,42.0,110.0,-130.0,,,,,0.5896835031399501,0.34772663387540353,0.4572564612326044,0.20908347133896424
272440103,2007-09-01,2007,1,Boston College,103,Wake Forest,154,38,28,1,,,1683.0,1696.0,1631.0,1618.0,42.0,5.0,41.5,6.5,-230.0,190.0,,,,,0.5742802036545245,0.18123734500043315,0.6690070210631895,0.10955635210546386
272440356,2007-09-01,2007,1,Illinois,356,Missouri,142,34,40,0,,,1365.0,1374.0,1648.0,1639.0,57.0,5.0,53.5,5.5,210.0,-250.0,,,,,0.163956574457953,0.026881758307986288,0.31111111111111106,0.0967901234567901
272440275,2007-09-01,2007,1,Wisconsin,275,Washington State,265,42,21,1,,,1772.0,1797.0,1524.0,1499.0,50.0,14.5,48.0,14.5,-800.0,600.0,7.0,1192.0,,,0.8065275228171078,0.03743159942728473,0.8615384615384616,0.01917159763313608
272440024,2007-09-01,2007,1,Stanford,24,UCLA,26,17,45,0,,,1321.0,1277.0,1591.0,1635.0,44.5,16.5,48.5,16.0,800.0,-1400.0,,,14.0,605.0,0.17447401263881834,0.030441181086290542,0.10638297872340424,0.01131733816206428
272442226,2007-09-01,2007,1,Florida Atlantic,2226,Middle Tennessee,2393,27,14,1,,,1253.0,1289.0,1372.0,1336.0,42.5,2.5,43.5,1.0,-140.0,120.0,,,,,0.3351420214452352,0.4420361316479281,0.562043795620438,0.19180563695455263
272440252,2007-09-01,2007,1,BYU,252,Arizona,12,20,7,1,,,1813.0,1816.0,1535.0,1532.0,47.5,3.5,45.0,5.5,-170.0,150.0,,,,,0.8320598405303332,0.02820389716269711,0.6115107913669064,0.1509238652243673
272440061,2007-09-01,2007,1,Georgia,61,Oklahoma State,197,35,14,1,,,1727.0,1765.0,1616.0,1578.0,57.0,6.0,51.5,7.0,-260.0,220.0,13.0,782.0,,,0.654519994382466,0.11935643428149133,0.6979865771812079,0.09121210756272247
272442649,2007-09-01,2007,1,Toledo,2649,Purdue,2509,24,52,0,,,1394.0,1332.0,1516.0,1578.0,54.5,5.5,54.5,7.0,220.0,-260.0,,,,,0.33130504369266833,0.10976303197620087,0.3020134228187919,0.09121210756272237
272442305,2007-09-01,2007,1,Kansas,2305,Central Michigan,2117,52,7,1,,,1569.0,1700.0,1538.0,1407.0,51.5,7.5,51.5,8.0,-340.0,280.0,,,,,0.544494573083008,0.20748519395083118,0.745958429561201,0.06453711951101129
272442006,2007-09-01,2007,1,Akron,2006,Army,349,22,14,1,,,1382.0,1386.0,1251.0,1247.0,42.5,5.5,43.5,5.0,-230.0,190.0,,,,,0.6800706757372215,0.10235477252323809,0.6690070210631895,0.10955635210546386
272440002,2007-09-01,2007,1,Auburn,2,Kansas State,2306,23,13,1,,,1664.0,1670.0,1501.0,1495.0,46.0,13.5,44.5,13.5,-650.0,475.0,18.0,519.0,,,0.718756829898782,0.07909772072858265,0.8328690807799444,0.027932744159340762
272462567,2007-09-03,2007,1,SMU,2567,Texas Tech,2641,9,49,0,,,1430.0,1342.0,1662.0,1750.0,61.0,8.0,56.5,9.5,265.0,-315.0,,,,,0.20825116249181558,0.04336854667919258,0.26521808595622304,0.07034063311828251
272492132,2007-09-06,2007,2,Cincinnati,2132,Oregon State,204,34,3,1,,,1534.0,1629.0,1619.0,1524.0,43.5,3.0,45.5,4.0,140.0,-160.0,,,,,0.3800586409554767,0.38432728865397053,0.40372670807453415,0.3555418386636318
