,Unnamed: 0,date,winner,loser,winnerRanking,loserRanking
21195,21195,"Oct 24, 1936",(16) Fordham,(12) Saint Mary's (CA),16,12
21206,21206,"Oct 24, 1936",(1) Minnesota,(5) Purdue,1,5
21220,21220,"Oct 24, 1936",(9) Pittsburgh,(7) Notre Dame,9,7
21247,21247,"Oct 30, 1936",(19) Santa Clara,(16) Auburn,19,16
21272,21272,"Oct 31, 1936",(10) Marquette,(20) Saint Mary's (CA),10,20
21281,21281,"Oct 31, 1936",(3) Northwestern,(1) Minnesota,3,1
21287,21287,"Oct 31, 1936",(2) Pittsburgh,(5) Fordham,2,5
21318,21318,"Nov 7, 1936",(14) Alabama,(10) Tulane,14,10
21425,21425,"Nov 14, 1936",(5) Pittsburgh,(6) Nebraska,5,6
21439,21439,"Nov 14, 1936",(10) Washington,(15) Southern California,10,15
21462,21462,"Nov 21, 1936",(20) Duquesne,(7) Marquette,20,7
21486,21486,"Nov 21, 1936",(11) Notre Dame,(1) Northwestern,11,1
21526,21526,"Nov 26, 1936",(6) Washington,(20) Washington State,6,20
21540,21540,"Nov 28, 1936",(2) Louisiana State,(19) Tulane,2,19
21558,21558,"Dec 5, 1936",(18) Texas Christian,(5) Santa Clara,18,5
21567,21567,"Jan 1, 1937",(3) Pittsburgh,(5) Washington,3,5
21568,21568,"Jan 1, 1937",(6) Santa Clara,(2) Louisiana State,6,2
21569,21569,"Jan 1, 1937",(16) Texas Christian,(20) Marquette,16,20
21880,21880,"Oct 23, 1937",(15) Baylor,(13) Texas A&M,15,13
21882,21882,"Oct 23, 1937",(1) California,(11) Southern California,1,11
21914,21914,"Oct 23, 1937",(12) Ohio State,(7) Northwestern,12,7
21916,21916,"Oct 23, 1937",(3) Pittsburgh,(16) Wisconsin,3,16
21930,21930,"Oct 23, 1937",(20) Vanderbilt,(6) Louisiana State,20,6
21938,21938,"Oct 23, 1937",(5) Yale,(19) Cornell,5,19
21960,21960,"Oct 30, 1937",(9) Dartmouth,(5) Yale,9,5
21963,21963,"Oct 30, 1937",(10) Fordham,(15) North Carolina,10,15
22000,22000,"Oct 30, 1937",(16) Villanova,(18) Detroit Mercy,16,18
22009,22009,"Nov 6, 1937",(2) Alabama,(19) Tulane,2,19
22049,22049,"Nov 6, 1937",(3) Pittsburgh,(12) Notre Dame,3,12
22100,22100,"Nov 13, 1937",(12) Louisiana State,(14) Auburn,12,14
22116,22116,"Nov 13, 1937",(1) Pittsburgh,(11) Nebraska,1,11
22144,22144,"Nov 20, 1937",(2) California,(13) Stanford,2,13
22188,22188,"Nov 25, 1937",(4) Alabama,(12) Vanderbilt,4,12
22228,22228,"Nov 27, 1937",(1) Pittsburgh,(18) Duke,1,18
22253,22253,"Jan 1, 1938",(2) California,(4) Alabama,2,4
22255,22255,"Jan 1, 1938",(9) Santa Clara,(8) Louisiana State,9,8
22581,22581,"Oct 22, 1938",(5) Notre Dame,(13) Carnegie Mellon,5,13
22646,22646,"Oct 29, 1938",(12) Northwestern,(2) Minnesota,12,2
22651,22651,"Oct 29, 1938",(1) Pittsburgh,(9) Fordham,1,9
22684,22684,"Nov 5, 1938",(19) Carnegie Mellon,(1) Pittsburgh,19,1
22722,22722,"Nov 5, 1938",(13) Southern California,(3) California,13,3
22759,22759,"Nov 12, 1938",(20) Cornell,(5) Dartmouth,20,5
22777,22777,"Nov 12, 1938",(17) Northwestern,(18) Michigan,17,18
22778,22778,"Nov 12, 1938",(2) Notre Dame,(12) Minnesota,2,12
22836,22836,"Nov 19, 1938",(1) Notre Dame,(16) Northwestern,1,16
22885,22885,"Nov 26, 1938",(3) Duke,(4) Pittsburgh,3,4
22909,22909,"Dec 3, 1938",(8) Southern California,(1) Notre Dame,8,1
22918,22918,"Jan 2, 1939",(7) Southern California,(3) Duke,7,3
22919,22919,"Jan 2, 1939",(2) Tennessee,(4) Oklahoma,2,4
22920,22920,"Jan 2, 1939",(1) Texas Christian,(6) Carnegie Mellon,1,6
23201,23201,"Oct 21, 1939",(16) Nebraska,(19) Baylor,16,19
23203,23203,"Oct 21, 1939",(14) North Carolina,(4) Tulane,14,4
23219,23219,"Oct 21, 1939",(5) Tennessee,(8) Alabama,5,8
23248,23248,"Oct 28, 1939",(7) Cornell,(4) Ohio State,7,4
23272,23272,"Oct 28, 1939",(13) North Carolina,(16) Pennsylvania,13,16
23289,23289,"Oct 28, 1939",(9) Tulane,(14) Mississippi,9,14
23325,23325,"Nov 4, 1939",(15) Kentucky,(19) Alabama,15,19
23347,23347,"Nov 4, 1939",(7) Southern California,(11) Oregon State,7,11
23349,23349,"Nov 4, 1939",(1) Tennessee,(18) Louisiana State,1,18
23410,23410,"Nov 11, 1939",(2) Texas A&M,(13) Southern Methodist,2,13
23414,23414,"Nov 11, 1939",(7) Tulane,(20) Alabama,7,20
23436,23436,"Nov 18, 1939",(4) Cornell,(20) Dartmouth,4,20
23441,23441,"Nov 18, 1939",(13) Duke,(7) North Carolina,13,7
23452,23452,"Nov 18, 1939",(15) Iowa,(20) Minnesota,15,20
23459,23459,"Nov 18, 1939",(12) Missouri,(5) Oklahoma,12,5
23471,23471,"Nov 18, 1939",(14) Santa Clara,(11) UCLA,14,11
23522,23522,"Nov 25, 1939",(4) Southern California,(7) Notre Dame,4,7
23569,23569,"Dec 9, 1939",(3) Southern California,(9) UCLA,3,9
23574,23574,"Jan 1, 1940",(12) Clemson,(11) Boston College,12,11
23575,23575,"Jan 1, 1940",(16) Georgia Tech,(6) Missouri,16,6
23577,23577,"Jan 1, 1940",(3) Southern California,(2) Tennessee,3,2
23578,23578,"Jan 1, 1940",(1) Texas A&M,(5) Tulane,1,5
23836,23836,"Oct 19, 1940",(7) Minnesota,(15) Ohio State,7,15
23855,23855,"Oct 19, 1940",(10) Stanford,(19) Washington State,10,19
23864,23864,"Oct 19, 1940",(16) Washington,(18) Oregon State,16,18
23901,23901,"Oct 26, 1940",(3) Michigan,(8) Pennsylvania,3,8
23918,23918,"Oct 26, 1940",(9) Stanford,(17) Southern California,9,17
23966,23966,"Nov 2, 1940",(4) Minnesota,(8) Northwestern,4,8
23977,23977,"Nov 2, 1940",(15) Pennsylvania,(14) Navy,15,14
24024,24024,"Nov 9, 1940",(2) Minnesota,(3) Michigan,2,3
24046,24046,"Nov 9, 1940",(6) Stanford,(11) Washington,6,11
24050,24050,"Nov 9, 1940",(4) Texas A&M,(14) Southern Methodist,4,14
24066,24066,"Nov 16, 1940",(8) Boston College,(9) Georgetown,8,9
24087,24087,"Nov 16, 1940",(6) Michigan,(10) Northwestern,6,10
24107,24107,"Nov 16, 1940",(4) Stanford,(19) Oregon State,4,19
24158,24158,"Nov 23, 1940",(16) Mississippi State,(11) Mississippi,16,11
24164,24164,"Nov 23, 1940",(10) Northwestern,(14) Notre Dame,10,14
24166,24166,"Nov 23, 1940",(12) Pennsylvania,(5) Cornell,12,5
24197,24197,"Nov 30, 1940",(11) Mississippi State,(17) Alabama,11,17
24221,24221,"Jan 1, 1941",(5) Boston College,(4) Tennessee,5,4
24222,24222,"Jan 1, 1941",(9) Mississippi State,(13) Georgetown,9,13
24223,24223,"Jan 1, 1941",(2) Stanford,(7) Nebraska,2,7
24224,24224,"Jan 1, 1941",(6) Texas A&M,(12) Fordham,6,12
24471,24471,"Oct 18, 1941",(6) Michigan,(5) Northwestern,6,5
24535,24535,"Oct 25, 1941",(1) Minnesota,(3) Michigan,1,3
24542,24542,"Oct 25, 1941",(13) Northwestern,(11) Ohio State,13,11
24596,24596,"Nov 1, 1941",(1) Minnesota,(9) Northwestern,1,9
24600,24600,"Nov 1, 1941",(11) Navy,(8) Pennsylvania,11,8
24604,24604,"Nov 1, 1941",(6) Notre Dame,(14) Army,6,14
24617,24617,"Nov 1, 1941",(1) Texas,(20) Southern Methodist,1,20
24632,24632,"Nov 8, 1941",(13) Alabama,(14) Tulane,13,14
24662,24662,"Nov 8, 1941",(7) Notre Dame,(6) Navy,7,6
24705,24705,"Nov 15, 1941",(10) Duquesne,(13) Mississippi State,10,13
24720,24720,"Nov 15, 1941",(5) Notre Dame,(8) Northwestern,5,8
24725,24725,"Nov 15, 1941",(14) Pennsylvania,(19) Army,14,19
24785,24785,"Nov 22, 1941",(14) Ohio State,(5) Michigan,14,5
24810,24810,"Nov 27, 1941",(10) Texas,(2) Texas A&M,10,2
24853,24853,"Jan 1, 1942",(20) Alabama,(9) Texas A&M,20,9
24854,24854,"Jan 1, 1942",(6) Fordham,(7) Missouri,6,7
24856,24856,"Jan 1, 1942",(12) Oregon State,(2) Duke,12,2
25100,25100,"Oct 17, 1942",(4) Alabama,(15) Tennessee,4,15
25118,25118,"Oct 17, 1942",(5) Illinois,(19) Iowa,5,19
25185,25185,"Oct 24, 1942",(13) Minnesota,(4) Michigan,13,4
25189,25189,"Oct 24, 1942",(8) Notre Dame,(5) Illinois,8,5
25205,25205,"Oct 24, 1942",(14) UCLA,(9) Santa Clara,14,9
25234,25234,"Oct 31, 1942",(2) Georgia,(3) Alabama,2,3
25244,25244,"Oct 31, 1942",(13) Michigan,(12) Illinois,13,12
25256,25256,"Oct 31, 1942",(14) Pennsylvania,(8) Army,14,8
25262,25262,"Oct 31, 1942",(20) Tennessee,(19) Louisiana State,20,19
25276,25276,"Oct 31, 1942",(6) Wisconsin,(1) Ohio State,6,1
25314,25314,"Nov 7, 1942",(4) Notre Dame,(19) Army,4,19
25325,25325,"Nov 7, 1942",(14) Texas,(16) Baylor,14,16
25360,25360,"Nov 14, 1942",(2) Georgia Tech,(5) Alabama,2,5
25369,25369,"Nov 14, 1942",(6) Michigan,(4) Notre Dame,6,4
25371,25371,"Nov 14, 1942",(16) Minnesota,(12) Iowa,16,12
25376,25376,"Nov 14, 1942",(10) Ohio State,(13) Illinois,10,13
25437,25437,"Nov 21, 1942",(5) Ohio State,(4) Michigan,5,4
25452,25452,"Nov 21, 1942",(7) Wisconsin,(10) Minnesota,7,10
25475,25475,"Nov 28, 1942",(5) Georgia,(2) Georgia Tech,5,2
25487,25487,"Nov 28, 1942",(8) Notre Dame,(14) Southern California,8,14
25515,25515,"Dec 12, 1942",(11) UCLA,(14) Southern California,11,14
25517,25517,"Jan 1, 1943",(10) Alabama,(8) Boston College,10,8
25518,25518,"Jan 1, 1943",(2) Georgia,(13) UCLA,2,13
25520,25520,"Jan 1, 1943",(7) Tennessee,(4) Tulsa,7,4
25521,25521,"Jan 1, 1943",(11) Texas,(5) Georgia Tech,11,5
25636,25636,"Oct 9, 1943",(12) Great Lakes Navy,(18) Ohio State,12,18
25648,25648,"Oct 9, 1943",(4) Navy,(5) Duke,4,5
25650,25650,"Oct 9, 1943",(1) Notre Dame,(2) Michigan,1,2
25652,25652,"Oct 9, 1943",(6) Pennsylvania,(14) Dartmouth,6,14
25691,25691,"Oct 16, 1943",(10) Pacific,(11) Del Monte Pre-Flight,10,11
25721,25721,"Oct 23, 1943",(10) Michigan,(11) Minnesota,10,11
25735,25735,"Oct 23, 1943",(7) Southern California,(6) Pacific,7,6
25749,25749,"Oct 30, 1943",(2) Army,(6) Pennsylvania,2,6
25768,25768,"Oct 30, 1943",(1) Notre Dame,(3) Navy,1,3
25777,25777,"Oct 30, 1943",(5) Southern California,(20) California,5,20
25800,25800,"Nov 6, 1943",(7) Navy,(5) Pennsylvania,7,5
25804,25804,"Nov 6, 1943",(1) Notre Dame,(3) Army,1,3
25839,25839,"Nov 13, 1943",(15) March Field,(9) Southern California,15,9
25846,25846,"Nov 13, 1943",(1) Notre Dame,(8) Northwestern,1,8
25875,25875,"Nov 20, 1943",(1) Notre Dame,(2) Iowa Pre-Flight,1,2
25890,25890,"Nov 25, 1943",(12) Texas,(16) Texas A&M,12,16
25897,25897,"Nov 27, 1943",(6) Navy,(7) Army,6,7
25906,25906,"Jan 1, 1944",(13) Georgia Tech,(15) Tulsa,13,15
26086,26086,"Oct 14, 1944",(11) Iowa Pre-Flight,(7) Purdue,11,7
26100,26100,"Oct 14, 1944",(8) Ohio State,(19) Wisconsin,8,19
26137,26137,"Oct 21, 1944",(8) Georgia Tech,(9) Navy,8,9
26147,26147,"Oct 21, 1944",(4) Ohio State,(6) Great Lakes Navy,4,6
26195,26195,"Oct 28, 1944",(12) Navy,(7) Pennsylvania,12,7
26199,26199,"Oct 28, 1944",(1) Notre Dame,(14) Illinois,1,14
26245,26245,"Nov 4, 1944",(6) Navy,(2) Notre Dame,6,2
26249,26249,"Nov 4, 1944",(3) Ohio State,(15) Indiana,3,15
26273,26273,"Nov 11, 1944",(1) Army,(5) Notre Dame,1,5
26280,26280,"Nov 11, 1944",(20) Duke,(12) Wake Forest,20,12
26289,26289,"Nov 11, 1944",(8) Michigan,(10) Illinois,8,10
26338,26338,"Nov 18, 1944",(3) Navy,(14) Purdue,3,14
26380,26380,"Nov 25, 1944",(18) Notre Dame,(10) Georgia Tech,18,10
26381,26381,"Nov 25, 1944",(3) Ohio State,(6) Michigan,3,6
26393,26393,"Nov 26, 1944",(9) March Field,(19) Second Air Force,9,19
26403,26403,"Dec 2, 1944",(1) Army,(2) Navy,1,2
26406,26406,"Dec 2, 1944",(9) Notre Dame,(12) Great Lakes Navy,9,12
26416,26416,"Dec 10, 1944",(3) Randolph Field,(14) March Field,3,14
26417,26417,"Dec 16, 1944",(3) Randolph Field,(20) Second Air Force,3,20
26420,26420,"Jan 1, 1945",(7) Southern California,(12) Tennessee,7,12
26591,26591,"Oct 13, 1945",(1) Army,(9) Michigan,1,9
26669,26669,"Oct 20, 1945",(9) Purdue,(4) Ohio State,9,4
26691,26691,"Oct 27, 1945",(1) Army,(19) Duke,1,19
26704,26704,"Oct 27, 1945",(8) Indiana,(14) Tulsa,8,14
26712,26712,"Oct 27, 1945",(3) Navy,(7) Pennsylvania,3,7
26717,26717,"Oct 27, 1945",(12) Ohio State,(5) Minnesota,12,5
26750,26750,"Nov 3, 1945",(10) Michigan,(16) Minnesota,10,16
26755,26755,"Nov 3, 1945",(2) Notre Dame,(3) Navy,2,3
26756,26756,"Nov 3, 1945",(6) Ohio State,(20) Northwestern,6,20
26785,26785,"Nov 10, 1945",(1) Army,(2) Notre Dame,1,2
26804,26804,"Nov 10, 1945",(6) Indiana,(20) Minnesota,6,20
26809,26809,"Nov 10, 1945",(4) Navy,(7) Michigan,4,7
26816,26816,"Nov 10, 1945",(11) Oklahoma State,(19) Tulsa,11,19
26819,26819,"Nov 10, 1945",(9) Pennsylvania,(10) Columbia,9,10
26838,26838,"Nov 17, 1945",(1) Army,(6) Pennsylvania,1,6
26858,26858,"Nov 17, 1945",(14) Michigan,(11) Purdue,14,11
26902,26902,"Nov 24, 1945",(4) Indiana,(18) Purdue,4,18
26907,26907,"Nov 24, 1945",(8) Michigan,(7) Ohio State,8,7
26931,26931,"Dec 1, 1945",(1) Army,(2) Navy,1,2
26946,26946,"Jan 1, 1946",(2) Alabama,(11) Southern California,2,11
26951,26951,"Jan 1, 1946",(5) Oklahoma State,(7) Saint Mary's (CA),5,7
27124,27124,"Oct 11, 1946",(8) Georgia,(19) Kentucky,8,19
27132,27132,"Oct 12, 1946",(2) Army,(4) Michigan,2,4
27139,27139,"Oct 12, 1946",(11) Columbia,(15) Yale,11,15
27172,27172,"Oct 12, 1946",(5) UCLA,(17) Stanford,5,17
27191,27191,"Oct 19, 1946",(1) Army,(11) Columbia,1,11
27220,27220,"Oct 19, 1946",(10) Northwestern,(5) Michigan,10,5
27235,27235,"Oct 19, 1946",(9) Tennessee,(7) Alabama,9,7
27236,27236,"Oct 19, 1946",(3) Texas,(14) Arkansas,3,14
27254,27254,"Oct 26, 1946",(1) Army,(13) Duke,1,13
27280,27280,"Oct 26, 1946",(2) Notre Dame,(17) Iowa,2,17
27289,27289,"Oct 26, 1946",(16) Rice,(3) Texas,16,3
27326,27326,"Nov 2, 1946",(5) Georgia,(15) Alabama,5,15
27327,27327,"Nov 2, 1946",(16) Georgia Tech,(19) Duke,16,19
27357,27357,"Nov 2, 1946",(10) Tennessee,(9) North Carolina,10,9
27402,27402,"Nov 9, 1946",(2) Notre Dame,(1) Army,2,1
27437,27437,"Nov 16, 1946",(1) Army,(5) Pennsylvania,1,5
27451,27451,"Nov 16, 1946",(9) Illinois,(13) Ohio State,9,13
27527,27527,"Nov 23, 1946",(4) UCLA,(10) Southern California,4,10
27557,27557,"Nov 30, 1946",(3) Georgia,(7) Georgia Tech,3,7
27564,27564,"Nov 30, 1946",(2) Notre Dame,(16) Southern California,2,16
27582,27582,"Jan 1, 1947",(3) Georgia,(9) North Carolina,3,9
27585,27585,"Jan 1, 1947",(5) Illinois,(4) UCLA,5,4
27586,27586,"Jan 1, 1947",(8) Louisiana State,(16) Arkansas,8,16
27589,27589,"Jan 1, 1947",(10) Rice,(7) Tennessee,10,7
27780,27780,"Oct 11, 1947",(6) Illinois,(5) Army,6,5
27811,27811,"Oct 11, 1947",(3) Texas,(15) Oklahoma,3,15
27816,27816,"Oct 11, 1947",(10) Vanderbilt,(18) Mississippi,10,18
27827,27827,"Oct 11, 1947",(14) Yale,(11) Columbia,14,11
27851,27851,"Oct 18, 1947",(6) Illinois,(13) Minnesota,6,13
27855,27855,"Oct 18, 1947",(20) Kentucky,(10) Vanderbilt,20,10
27909,27909,"Oct 25, 1947",(15) Duke,(11) Wake Forest,15,11
27915,27915,"Oct 25, 1947",(18) Louisiana State,(19) Vanderbilt,18,19
27936,27936,"Oct 25, 1947",(10) Southern California,(4) California,10,4
27937,27937,"Oct 25, 1947",(12) Southern Methodist,(16) UCLA,12,16
27958,27958,"Nov 1, 1947",(18) Alabama,(13) Kentucky,18,13
27963,27963,"Nov 1, 1947",(14) California,(19) UCLA,14,19
27968,27968,"Nov 1, 1947",(6) Georgia Tech,(9) Duke,6,9
27974,27974,"Nov 1, 1947",(2) Michigan,(11) Illinois,2,11
27996,27996,"Nov 1, 1947",(8) Southern Methodist,(3) Texas,8,3
28044,28044,"Nov 8, 1947",(1) Notre Dame,(9) Army,1,9
28049,28049,"Nov 8, 1947",(4) Pennsylvania,(10) Virginia,4,10
28074,28074,"Nov 15, 1947",(14) Alabama,(6) Georgia Tech,14,6
28076,28076,"Nov 15, 1947",(13) Army,(3) Pennsylvania,13,3
28101,28101,"Nov 15, 1947",(2) Michigan,(9) Wisconsin,2,9
28163,28163,"Nov 22, 1947",(4) Southern California,(18) UCLA,4,18
28216,28216,"Dec 6, 1947",(1) Notre Dame,(3) Southern California,1,3
28224,28224,"Jan 1, 1948",(10) Georgia Tech,(12) Kansas,10,12
28228,28228,"Jan 1, 1948",(2) Michigan,(8) Southern California,2,8
28232,28232,"Jan 1, 1948",(4) Penn State,(3) Southern Methodist,4,3
28233,28233,"Jan 1, 1948",(5) Texas,(6) Alabama,5,6
28427,28427,"Oct 9, 1948",(7) Michigan,(15) Purdue,7,15
28435,28435,"Oct 9, 1948",(3) Northwestern,(8) Minnesota,3,8
28483,28483,"Oct 16, 1948",(4) Michigan,(3) Northwestern,4,3
28525,28525,"Oct 23, 1948",(5) Army,(12) Cornell,5,12
28542,28542,"Oct 23, 1948",(1) Michigan,(13) Minnesota,1,13
28543,28543,"Oct 23, 1948",(19) Michigan State,(8) Penn State,19,8
28627,28627,"Oct 30, 1948",(11) Southern Methodist,(20) Texas,11,20
28678,28678,"Nov 6, 1948",(15) Oklahoma,(9) Missouri,15,9
28683,28683,"Nov 6, 1948",(14) Penn State,(7) Pennsylvania,14,7
28713,28713,"Nov 13, 1948",(3) Army,(17) Pennsylvania,3,17
28715,28715,"Nov 13, 1948",(10) Clemson,(19) Wake Forest,10,19
28736,28736,"Nov 13, 1948",(2) Notre Dame,(8) Northwestern,2,8
28789,28789,"Nov 20, 1948",(1) Michigan,(18) Ohio State,1,18
28874,28874,"Jan 1, 1949",(7) Northwestern,(4) California,7,4
28876,28876,"Jan 1, 1949",(5) Oklahoma,(3) North Carolina,5,3
28878,28878,"Jan 1, 1949",(10) Southern Methodist,(9) Oregon,10,9
29059,29059,"Oct 8, 1949",(7) Army,(1) Michigan,7,1
29083,29083,"Oct 8, 1949",(5) Minnesota,(20) Northwestern,5,20
29091,29091,"Oct 8, 1949",(11) Ohio State,(8) Southern California,11,8
29092,29092,"Oct 8, 1949",(3) Oklahoma,(12) Texas,3,12
29130,29130,"Oct 15, 1949",(9) California,(12) Southern California,9,12
29148,29148,"Oct 15, 1949",(5) Minnesota,(11) Ohio State,5,11
29153,29153,"Oct 15, 1949",(1) Notre Dame,(4) Tulane,1,4
29210,29210,"Oct 22, 1949",(12) Michigan,(3) Minnesota,12,3
29218,29218,"Oct 22, 1949",(9) Rice,(10) Texas,9,10
29224,29224,"Oct 22, 1949",(17) Southern Methodist,(7) Kentucky,17,7
29252,29252,"Oct 29, 1949",(4) California,(20) UCLA,4,20
29293,29293,"Oct 29, 1949",(11) Southern Methodist,(19) Texas,11,19
29310,29310,"Nov 5, 1949",(2) Army,(20) Fordham,2,20
29339,29339,"Nov 5, 1949",(1) Notre Dame,(10) Michigan State,1,10
29358,29358,"Nov 5, 1949",(19) Virginia,(20) Pennsylvania,19,20
29431,29431,"Nov 19, 1949",(15) Baylor,(10) Southern Methodist,15,10
29434,29434,"Nov 19, 1949",(3) California,(12) Stanford,3,12
29452,29452,"Nov 19, 1949",(7) Ohio State,(5) Michigan,7,5
29453,29453,"Nov 19, 1949",(2) Oklahoma,(19) Santa Clara,2,19
29466,29466,"Nov 19, 1949",(19) Tulane,(9) Virginia,19,9
29499,29499,"Nov 26, 1949",(13) Louisiana State,(10) Tulane,13,10
29503,29503,"Nov 26, 1949",(1) Notre Dame,(17) Southern California,1,17
29506,29506,"Nov 26, 1949",(7) Rice,(9) Baylor,7,9
29523,29523,"Jan 2, 1950",(6) Ohio State,(3) California,6,3
29524,29524,"Jan 2, 1950",(2) Oklahoma,(9) Louisiana State,2,9
29525,29525,"Jan 2, 1950",(5) Rice,(16) North Carolina,5,16
29526,29526,"Jan 2, 1950",(15) Santa Clara,(11) Kentucky,15,11
29628,29628,"Sep 30, 1950",(19) Michigan State,(3) Michigan,19,3
29634,29634,"Sep 30, 1950",(1) Notre Dame,(20) North Carolina,1,20
29643,29643,"Sep 30, 1950",(10) Southern Methodist,(11) Ohio State,10,11
29669,29669,"Oct 7, 1950",(9) California,(20) Pennsylvania,9,20
29715,29715,"Oct 7, 1950",(10) Washington,(13) UCLA,10,13
29729,29729,"Oct 14, 1950",(1) Army,(18) Michigan,1,18
29756,29756,"Oct 14, 1950",(3) Oklahoma,(4) Texas,3,4
29828,29828,"Oct 21, 1950",(3) Southern Methodist,(15) Rice,3,15
29857,29857,"Oct 28, 1950",(16) Clemson,(17) Wake Forest,16,17
29869,29869,"Oct 28, 1950",(12) Illinois,(19) Indiana,12,19
29917,29917,"Nov 4, 1950",(2) Army,(15) Pennsylvania,2,15
29922,29922,"Nov 4, 1950",(6) California,(12) Washington,6,12
29933,29933,"Nov 4, 1950",(5) Kentucky,(17) Florida,5,17
29957,29957,"Nov 4, 1950",(7) Texas,(1) Southern Methodist,7,1
29979,29979,"Nov 11, 1950",(6) California,(19) UCLA,6,19
30007,30007,"Nov 11, 1950",(2) Ohio State,(15) Wisconsin,2,15
30008,30008,"Nov 11, 1950",(3) Oklahoma,(19) Kansas,3,19
30055,30055,"Nov 18, 1950",(8) Illinois,(1) Ohio State,8,1
30074,30074,"Nov 18, 1950",(20) Pennsylvania,(15) Wisconsin,20,15
30122,30122,"Nov 25, 1950",(1) Oklahoma,(16) Nebraska,1,16
30131,30131,"Nov 25, 1950",(9) Tennessee,(3) Kentucky,9,3
30173,30173,"Jan 1, 1951",(10) Clemson,(15) Miami (FL),10,15
30175,30175,"Jan 1, 1951",(7) Kentucky,(1) Oklahoma,7,1
30178,30178,"Jan 1, 1951",(4) Tennessee,(3) Texas,4,3
30180,30180,"Jan 1, 1951",(12) Wyoming,(18) Washington & Lee,12,18
30233,30233,"Sep 22, 1951",(11) Texas,(6) Kentucky,11,6
30252,30252,"Sep 29, 1951",(5) California,(19) Pennsylvania,5,19
30272,30272,"Sep 29, 1951",(2) Michigan State,(17) Michigan,2,17
30328,30328,"Oct 6, 1951",(11) Georgia Tech,(17) Kentucky,11,17
30337,30337,"Oct 6, 1951",(1) Michigan State,(7) Ohio State,1,7
30356,30356,"Oct 6, 1951",(3) Tennessee,(16) Duke,3,16
30358,30358,"Oct 6, 1951",(10) Texas A&M,(4) Oklahoma,10,4
30412,30412,"Oct 13, 1951",(20) Pacific,(16) Clemson,20,16
30419,30419,"Oct 13, 1951",(14) Southern California,(18) Oregon State,14,18
30424,30424,"Oct 13, 1951",(6) Texas,(11) Oklahoma,6,11
30456,30456,"Oct 20, 1951",(8) Illinois,(20) Washington,8,20
30477,30477,"Oct 20, 1951",(11) Southern California,(1) California,11,1
30502,30502,"Oct 27, 1951",(7) Baylor,(16) Texas A&M,7,16
30531,30531,"Oct 27, 1951",(8) Princeton,(12) Cornell,8,12
30549,30549,"Oct 27, 1951",(14) Wisconsin,(13) Northwestern,14,13
30574,30574,"Nov 3, 1951",(3) Illinois,(15) Michigan,3,15
30576,30576,"Nov 3, 1951",(14) Kentucky,(19) Miami (FL),14,19
30594,30594,"Nov 3, 1951",(11) Stanford,(16) Washington State,11,16
30618,30618,"Nov 10, 1951",(16) Baylor,(10) Texas,16,10
30638,30638,"Nov 10, 1951",(5) Michigan State,(11) Notre Dame,5,11
30653,30653,"Nov 10, 1951",(7) Stanford,(6) Southern California,7,6
30713,30713,"Nov 17, 1951",(15) Texas,(13) Texas Christian,15,13
30734,30734,"Nov 24, 1951",(19) California,(3) Stanford,19,3
30763,30763,"Nov 24, 1951",(1) Tennessee,(9) Kentucky,1,9
30798,30798,"Jan 1, 1952",(5) Georgia Tech,(9) Baylor,5,9
30800,30800,"Jan 1, 1952",(4) Illinois,(7) Stanford,4,7
30801,30801,"Jan 1, 1952",(15) Kentucky,(11) Texas Christian,15,11
30802,30802,"Jan 1, 1952",(3) Maryland,(1) Tennessee,3,1
30811,30811,"Sep 19, 1952",(16) Southern California,(15) Washington State,16,15
30829,30829,"Sep 20, 1952",(17) Kansas,(9) Texas Christian,17,9
30883,30883,"Sep 27, 1952",(10) Notre Dame,(12) Pennsylvania,10,12
30892,30892,"Sep 27, 1952",(13) Stanford,(15) Washington State,13,15
30899,30899,"Sep 27, 1952",(18) UCLA,(9) Texas Christian,18,9
30922,30922,"Oct 4, 1952",(10) Duke,(11) Tennessee,10,11
30945,30945,"Oct 4, 1952",(19) Notre Dame,(5) Texas,19,5
30967,30967,"Oct 4, 1952",(8) Wisconsin,(2) Illinois,8,2
30997,30997,"Oct 11, 1952",(4) Maryland,(19) Georgia,4,19
31053,31053,"Oct 18, 1952",(2) Maryland,(20) Navy,2,20
31064,31064,"Oct 18, 1952",(6) Oklahoma,(8) Kansas,6,8
31079,31079,"Oct 18, 1952",(10) UCLA,(13) Stanford,10,13
31103,31103,"Oct 25, 1952",(6) Duke,(9) Virginia,6,9
31114,31114,"Oct 25, 1952",(1) Michigan State,(17) Penn State,1,17
31130,31130,"Oct 25, 1952",(7) Southern California,(4) California,7,4
31137,31137,"Oct 25, 1952",(8) UCLA,(10) Wisconsin,8,10
31160,31160,"Nov 1, 1952",(4) Georgia Tech,(6) Duke,4,6
31168,31168,"Nov 1, 1952",(1) Michigan State,(8) Purdue,1,8
31192,31192,"Nov 1, 1952",(7) UCLA,(11) California,7,11
31236,31236,"Nov 8, 1952",(10) Notre Dame,(4) Oklahoma,10,4
31278,31278,"Nov 15, 1952",(2) Georgia Tech,(12) Alabama,2,12
31284,31284,"Nov 15, 1952",(20) Michigan,(10) Purdue,20,10
31285,31285,"Nov 15, 1952",(1) Michigan State,(6) Notre Dame,1,6
31288,31288,"Nov 15, 1952",(11) Mississippi,(3) Maryland,11,3
