,rankdiff,pred,act,num_events
0,1,0.5309788677499477,0.5125628140703518,398
1,2,0.5464732958339363,0.5704918032786885,305
2,3,0.5618782087852309,0.5760517799352751,309
3,4,0.577164736165725,0.5818181818181818,275
4,5,0.5923049052160113,0.6547619047619048,252
5,6,0.6072718385211042,0.5426008968609866,223
6,7,0.6220399345232207,0.589622641509434,212
7,8,0.6365850284948527,0.6089108910891089,202
8,9,0.6508845320867823,0.6647398843930635,173
9,10,0.6649175500961093,0.6742857142857143,175
10,11,0.6786649736394812,0.6693548387096774,124
11,12,0.6921095494480072,0.6822429906542056,107
12,13,0.7052359255058873,0.673469387755102,98
13,14,0.7180306737199931,0.7676767676767676,99
14,15,0.7304822907206815,0.6944444444444444,72
15,16,0.7425811782462979,0.76,75
16,17,0.754319604849553,0.803030303030303,66
17,18,0.7656916508808135,0.7777777777777778,54
18,19,0.7766931388516912,0.7714285714285715,35
19,20,0.7873215513650377,0.7619047619047619,21
