,date,winner,location,loser
0,"Sep 1, 1980",23,(6) Arkansas,17
1,"Sep 5, 1980",16,Long Beach State,9
2,"Sep 6, 1980",26,Georgia Tech,3
3,"Sep 6, 1980",34,James Madison,6
4,"Sep 6, 1980",28,Utah,7
5,"Sep 6, 1980",39,Fresno State,25
6,"Sep 6, 1980",21,Ball State,17
7,"Sep 6, 1980",16,Jacksonville State,13
8,"Sep 6, 1980",21,Presbyterian,14
9,"Sep 6, 1980",21,Air Force,9
10,"Sep 6, 1980",35,Duke,10
11,"Sep 6, 1980",16,Louisiana State,0
12,"Sep 6, 1980",16,Tennessee,15
13,"Sep 6, 1980",21,Rhode Island,14
14,"Sep 6, 1980",35,Northwestern,9
15,"Sep 6, 1980",28,Nicholls State,13
16,"Sep 6, 1980",13,Drake,10
17,"Sep 6, 1980",17,Utah State,10
18,"Sep 6, 1980",41,Texas Southern,8
19,"Sep 6, 1980",14,New Mexico State,12
20,"Sep 6, 1980",35,Morehead State,8
21,"Sep 6, 1980",7,Villanova,3
22,"Sep 6, 1980",20,West Texas State,17
23,"Sep 6, 1980",24,Louisville,10
24,"Sep 6, 1980",34,Memphis,7
25,"Sep 6, 1980",25,Brigham Young,21
26,"Sep 6, 1980",35,Furman,13
27,"Sep 6, 1980",42,William & Mary,0
28,"Sep 6, 1980",31,Texas-Arlington,14
29,"Sep 6, 1980",31,(9) Purdue,10
30,"Sep 6, 1980",54,Colgate,10
31,"Sep 6, 1980",20,Bowling Green,17
32,"Sep 6, 1980",28,Santa Clara,14
33,"Sep 6, 1980",37,Pacific,0
34,"Sep 6, 1980",17,Tulane,14
35,"Sep 6, 1980",35,Oregon,25
36,"Sep 6, 1980",23,Mississippi,20
37,"Sep 6, 1980",35,Texas-El Paso,7
38,"Sep 6, 1980",16,Wake Forest,7
39,"Sep 6, 1980",41,Cincinnati,27
40,"Sep 6, 1980",16,Virginia Military Institute,14
41,"Sep 6, 1980",37,Eastern Michigan,0
42,"Sep 6, 1980",31,Southern Illinois,14
43,"Sep 6, 1980",16,East Tennessee State,9
44,"Sep 13, 1980",17,Citadel,14
45,"Sep 13, 1980",29,(9) Houston,13
46,"Sep 13, 1980",29,Tennessee-Martin,9
47,"Sep 13, 1980",28,Holy Cross,7
48,"Sep 13, 1980",10,Texas Christian,7
49,"Sep 13, 1980",18,Northern Illinois,17
50,"Sep 13, 1980",42,Lamar,7
51,"Sep 13, 1980",35,San Diego State,11
52,"Sep 13, 1980",30,Cal Poly,23
53,"Sep 13, 1980",15,Miami (OH),14
54,"Sep 13, 1980",32,Middle Tennessee State,7
55,"Sep 13, 1980",19,Rice,3
56,"Sep 13, 1980",17,Lehigh,17
57,"Sep 13, 1980",42,Augustana (South Dakota),0
58,"Sep 13, 1980",18,Bowling Green,16
59,"Sep 13, 1980",41,California,13
60,"Sep 13, 1980",52,Louisville,0
61,"Sep 13, 1980",28,Presbyterian,7
62,"Sep 13, 1980",42,Texas A&M,0
63,"Sep 13, 1980",41,Abilene Christian,0
64,"Sep 13, 1980",20,Michigan State,17
65,"Sep 13, 1980",16,Indiana,7
66,"Sep 13, 1980",42,Louisiana-Monroe,7
67,"Sep 13, 1980",7,Oregon,7
68,"Sep 13, 1980",27,East Carolina,21
69,"Sep 13, 1980",21,Kansas State,0
70,"Sep 13, 1980",17,Kent State,7
71,"Sep 13, 1980",31,Vanderbilt,6
72,"Sep 13, 1980",20,Toledo,17
73,"Sep 13, 1980",49,Florida A&M,0
74,"Sep 13, 1980",17,Northwestern,10
75,"Sep 13, 1980",38,Ohio,14
76,"Sep 13, 1980",61,Memphis,7
77,"Sep 13, 1980",31,Louisiana Tech,11
78,"Sep 13, 1980",47,New Mexico,16
79,"Sep 13, 1980",55,Utah,9
80,"Sep 13, 1980",35,Fresno State,6
81,"Sep 13, 1980",6,Texas-El Paso,3
82,"Sep 13, 1980",9,Texas Tech,3
83,"Sep 13, 1980",38,Texas-Arlington,31
84,"Sep 13, 1980",31,Syracuse,21
85,"Sep 13, 1980",29,Kentucky,7
86,"Sep 13, 1980",24,Idaho,13
87,"Sep 13, 1980",14,Boston College,6
88,"Sep 13, 1980",12,Wisconsin,6
89,"Sep 13, 1980",21,Villanova,7
90,"Sep 13, 1980",21,Temple,3
91,"Sep 13, 1980",31,Washington State,26
92,"Sep 13, 1980",73,Wichita State,0
93,"Sep 13, 1980",20,Tennessee,17
94,"Sep 13, 1980",37,Eastern Illinois,35
95,"Sep 13, 1980",28,North Texas,9
96,"Sep 13, 1980",19,Tulane,14
97,"Sep 13, 1980",26,Western Carolina,10
98,"Sep 13, 1980",31,Cincinnati,13
99,"Sep 13, 1980",56,Colorado,14
100,"Sep 13, 1980",14,Idaho State,7
101,"Sep 13, 1980",6,Navy,3
102,"Sep 13, 1980",13,William & Mary,10
103,"Sep 13, 1980",35,East Tennessee State,7
104,"Sep 13, 1980",50,Air Force,7
105,"Sep 13, 1980",20,Oklahoma State,19
106,"Sep 13, 1980",52,Colorado State,24
107,"Sep 13, 1980",31,Illinois State,17
108,"Sep 13, 1980",30,Oregon State,10
109,"Sep 20, 1980",59,Mississippi,35
110,"Sep 20, 1980",42,Oregon State,14
111,"Sep 20, 1980",33,Oklahoma State,20
112,"Sep 20, 1980",26,California,19
113,"Sep 20, 1980",35,Duke,28
114,"Sep 20, 1980",27,Toledo,7
115,"Sep 20, 1980",43,West Texas State,15
116,"Sep 20, 1980",30,(11) Stanford,13
117,"Sep 20, 1980",28,Wisconsin,3
118,"Sep 20, 1980",21,Northern Arizona,13
119,"Sep 20, 1980",16,Illinois State,0
120,"Sep 20, 1980",14,Appalachian State,7
121,"Sep 20, 1980",15,Arizona,13
122,"Sep 20, 1980",17,Princeton,7
123,"Sep 20, 1980",40,Pennsylvania,7
124,"Sep 20, 1980",28,Temple,7
125,"Sep 20, 1980",38,Lamar,7
126,"Sep 20, 1980",45,Georgia Tech,12
127,"Sep 20, 1980",63,East Carolina,7
128,"Sep 20, 1980",16,Louisiana,14
129,"Sep 20, 1980",28,Western Carolina,14
130,"Sep 20, 1980",20,Clemson,16
131,"Sep 20, 1980",26,Columbia,6
132,"Sep 20, 1980",25,Pacific,14
133,"Sep 20, 1980",36,Kentucky,30
134,"Sep 20, 1980",14,Eastern Illinois,0
135,"Sep 20, 1980",27,San Jose State,6
136,"Sep 20, 1980",24,South Dakota,3
137,"Sep 20, 1980",23,Bowling Green,21
138,"Sep 20, 1980",23,Colorado,20
139,"Sep 20, 1980",35,Arkansas State,12
140,"Sep 20, 1980",14,West Virginia,11
141,"Sep 20, 1980",24,Villanova,12
142,"Sep 20, 1980",21,Nicholls State,0
143,"Sep 20, 1980",14,(18) Houston,7
144,"Sep 20, 1980",24,Vanderbilt,14
145,"Sep 20, 1980",52,Illinois,7
146,"Sep 20, 1980",13,Louisville,9
147,"Sep 20, 1980",31,Kent State,3
148,"Sep 20, 1980",57,Iowa,0
149,"Sep 20, 1980",18,Southern Illinois,17
150,"Sep 20, 1980",27,Virginia,13
151,"Sep 20, 1980",35,Texas-El Paso,15
152,"Sep 20, 1980",29,(14) Michigan,27
153,"Sep 20, 1980",34,Eastern Michigan,6
154,"Sep 20, 1980",47,Minnesota,0
155,"Sep 20, 1980",35,Michigan State,7
156,"Sep 20, 1980",25,Texas A&M,9
157,"Sep 20, 1980",18,Kansas,3
158,"Sep 20, 1980",24,Cincinnati,7
159,"Sep 20, 1980",13,Air Force,10
160,"Sep 20, 1980",7,East Tennessee State,3
161,"Sep 20, 1980",23,(20) South Carolina,13
162,"Sep 20, 1980",17,Texas Christian,14
163,"Sep 20, 1980",38,Louisiana Tech,11
164,"Sep 20, 1980",36,Miami (OH),24
165,"Sep 20, 1980",35,Washington State,23
166,"Sep 20, 1980",35,Utah State,17
167,"Sep 20, 1980",28,New Mexico,17
168,"Sep 20, 1980",35,Rice,14
169,"Sep 20, 1980",23,Purdue,14
170,"Sep 20, 1980",45,Nevada-Las Vegas,29
171,"Sep 20, 1980",17,Marshall,3
172,"Sep 20, 1980",7,William & Mary,3
173,"Sep 20, 1980",24,Citadel,7
174,"Sep 20, 1980",45,Northwestern,7
175,"Sep 20, 1980",35,Northern Illinois,6
176,"Sep 20, 1980",23,Tulsa,10
177,"Sep 20, 1980",35,Richmond,14
178,"Sep 20, 1980",45,Brown,17
179,"Sep 26, 1980",35,Pennsylvania,6
180,"Sep 27, 1980",20,Illinois,20
181,"Sep 27, 1980",41,Vanderbilt,0
182,"Sep 27, 1980",42,East Tennessee State,15
183,"Sep 27, 1980",31,California,24
184,"Sep 27, 1980",13,Tulsa,10
185,"Sep 27, 1980",11,Texas Tech,3
186,"Sep 27, 1980",41,Long Beach State,25
187,"Sep 27, 1980",28,Brown,20
188,"Sep 27, 1980",21,Kent State,6
189,"Sep 27, 1980",29,Chattanooga,13
190,"Sep 27, 1980",17,Western Carolina,10
191,"Sep 27, 1980",38,Cornell,20
192,"Sep 27, 1980",6,Lafayette,0
193,"Sep 27, 1980",21,Mississippi State,15
194,"Sep 27, 1980",21,Virginia Military Institute,16
195,"Sep 27, 1980",34,Texas Christian,3
196,"Sep 27, 1980",17,Memphis,8
197,"Sep 27, 1980",14,Holy Cross,13
198,"Sep 27, 1980",24,North Texas,17
199,"Sep 27, 1980",49,Colorado,7
200,"Sep 27, 1980",27,Akron,9
201,"Sep 27, 1980",10,Iowa,7
202,"Sep 27, 1980",31,Arkansas State,7
203,"Sep 27, 1980",21,Bowling Green,20
204,"Sep 27, 1980",45,Stephen F. Austin,21
205,"Sep 27, 1980",42,Western Illinois,6
206,"Sep 27, 1980",24,Louisiana,0
207,"Sep 27, 1980",17,Kansas,9
208,"Sep 27, 1980",10,(9) Florida State,9
209,"Sep 27, 1980",42,Ball State,9
210,"Sep 27, 1980",33,Western Michigan,7
211,"Sep 27, 1980",31,San Diego State,7
212,"Sep 27, 1980",45,William & Mary,6
213,"Sep 27, 1980",21,(11) Penn State,7
214,"Sep 27, 1980",56,Colorado State,15
215,"Sep 27, 1980",24,Dartmouth,7
216,"Sep 27, 1980",52,New Mexico State,19
217,"Sep 27, 1980",17,(19) Maryland,3
218,"Sep 27, 1980",22,Ohio,21
219,"Sep 27, 1980",13,McNeese State,10
220,"Sep 27, 1980",38,(20) Arizona State,21
221,"Sep 27, 1980",34,(13) Washington,10
222,"Sep 27, 1980",28,Texas-El Paso,14
223,"Sep 27, 1980",36,Temple,2
224,"Sep 27, 1980",17,Louisiana State,7
225,"Sep 27, 1980",44,Princeton,13
226,"Sep 27, 1980",17,(17) Michigan,14
227,"Sep 27, 1980",28,Illinois State,21
228,"Sep 27, 1980",24,Minnesota,7
229,"Sep 27, 1980",34,Drake,28
230,"Sep 27, 1980",52,Texas-Arlington,16
231,"Sep 27, 1980",35,East Carolina,7
232,"Sep 27, 1980",31,(4) Oklahoma,14
233,"Sep 27, 1980",42,Northwestern,21
234,"Sep 27, 1980",42,(18) Auburn,0
235,"Sep 27, 1980",35,Oregon State,0
236,"Sep 27, 1980",49,Eastern Michigan,7
237,"Sep 27, 1980",26,Mississippi,24
238,"Sep 27, 1980",35,Wisconsin,0
239,"Sep 27, 1980",27,Fresno State,12
240,"Sep 27, 1980",20,Boston College,9
241,"Sep 27, 1980",20,Duke,17
242,"Sep 27, 1980",38,James Madison,6
243,"Sep 27, 1980",27,North Carolina State,7
244,"Sep 27, 1980",31,Army,18
245,"Sep 27, 1980",21,Texas State,13
246,"Sep 27, 1980",31,Richmond,28
247,"Sep 27, 1980",13,Cincinnati,8
248,"Sep 27, 1980",45,Hawaii,20
249,"Sep 27, 1980",20,Connecticut,10
250,"Oct 3, 1980",45,Kentucky,0
251,"Oct 4, 1980",23,Marshall,6
252,"Oct 4, 1980",5,Iowa,3
253,"Oct 4, 1980",44,Texas Christian,7
254,"Oct 4, 1980",55,Richmond,16
255,"Oct 4, 1980",24,Houston,12
256,"Oct 4, 1980",17,Western Michigan,14
257,"Oct 4, 1980",28,Princeton,11
258,"Oct 4, 1980",14,Toledo,10
259,"Oct 4, 1980",28,Virginia Military Institute,0
260,"Oct 4, 1980",13,Virginia Tech,10
261,"Oct 4, 1980",24,Colgate,21
262,"Oct 4, 1980",30,Texas-Arlington,20
263,"Oct 4, 1980",31,Illinois State,14
264,"Oct 4, 1980",18,(3) Nebraska,14
265,"Oct 4, 1980",31,Cal Poly,25
266,"Oct 4, 1980",42,Chattanooga,28
267,"Oct 4, 1980",15,Army,10
268,"Oct 4, 1980",17,Dartmouth,6
269,"Oct 4, 1980",31,Duke,21
270,"Oct 4, 1980",69,Colorado State,0
271,"Oct 4, 1980",23,Syracuse,8
272,"Oct 4, 1980",15,Ohio,14
273,"Oct 4, 1980",24,(19) Florida,7
274,"Oct 4, 1980",7,East Tennessee State,3
275,"Oct 4, 1980",38,Northwestern State,14
276,"Oct 4, 1980",24,Ball State,7
277,"Oct 4, 1980",24,Arkansas State,3
278,"Oct 4, 1980",38,California,13
279,"Oct 4, 1980",49,Northwestern,21
280,"Oct 4, 1980",28,Illinois,21
281,"Oct 4, 1980",21,Boston College,0
282,"Oct 4, 1980",36,Cal State Fullerton,17
283,"Oct 4, 1980",24,Wyoming,21
284,"Oct 4, 1980",33,Georgia Tech,0
285,"Oct 4, 1980",22,Louisiana,20
286,"Oct 4, 1980",20,Southern Illinois,17
287,"Oct 4, 1980",26,Michigan State,21
288,"Oct 4, 1980",82,Colorado,42
289,"Oct 4, 1980",24,Washington State,22
290,"Oct 4, 1980",29,(9) Missouri,21
291,"Oct 4, 1980",24,Columbia,13
292,"Oct 4, 1980",38,Maryland,9
293,"Oct 4, 1980",28,Miami (OH),3
294,"Oct 4, 1980",44,Cornell,3
295,"Oct 4, 1980",30,North Carolina State,10
296,"Oct 4, 1980",23,Arizona State,21
297,"Oct 4, 1980",31,Tulane,21
298,"Oct 4, 1980",28,Mississippi,22
299,"Oct 4, 1980",35,San Jose State,21
300,"Oct 4, 1980",53,Boston University,6
301,"Oct 4, 1980",35,Long Beach State,18
302,"Oct 4, 1980",41,Rice,28
303,"Oct 4, 1980",41,Texas Tech,21
304,"Oct 4, 1980",34,Hawaii,14
305,"Oct 4, 1980",3,Kansas State,0
306,"Oct 4, 1980",17,(2) Ohio State,0
307,"Oct 4, 1980",23,Utah State,19
308,"Oct 4, 1980",23,Cincinnati,6
309,"Oct 4, 1980",27,William & Mary,7
310,"Oct 4, 1980",24,Oklahoma State,18
311,"Oct 4, 1980",17,New Mexico State,15
312,"Oct 4, 1980",45,Virginia,21
313,"Oct 4, 1980",24,Middle Tennessee State,10
314,"Oct 4, 1980",46,Indiana State,20
315,"Oct 4, 1980",35,San Diego State,12
316,"Oct 4, 1980",17,Air Force,16
317,"Oct 11, 1980",21,Navy,20
318,"Oct 11, 1980",21,Eastern Michigan,10
319,"Oct 11, 1980",17,Rutgers,13
320,"Oct 11, 1980",27,Washington State,21
321,"Oct 11, 1980",27,Wichita State,7
322,"Oct 11, 1980",32,(20) Southern Methodist,28
323,"Oct 11, 1980",27,Yale,9
324,"Oct 11, 1980",17,Toledo,6
325,"Oct 11, 1980",52,Wyoming,17
326,"Oct 11, 1980",42,Pennsylvania,22
327,"Oct 11, 1980",31,Oregon,6
328,"Oct 11, 1980",55,Virginia Military Institute,10
329,"Oct 11, 1980",28,Western Carolina,21
330,"Oct 11, 1980",27,Virginia,24
331,"Oct 11, 1980",38,Holy Cross,7
332,"Oct 11, 1980",31,New Mexico,26
333,"Oct 11, 1980",41,Colorado,22
334,"Oct 11, 1980",24,Richmond,22
335,"Oct 11, 1980",36,(4) Pittsburgh,22
336,"Oct 11, 1980",33,East Tennessee State,21
337,"Oct 11, 1980",28,Mississippi,21
338,"Oct 11, 1980",20,Cornell,12
339,"Oct 11, 1980",16,West Virginia,13
340,"Oct 11, 1980",17,Texas A&M,7
341,"Oct 11, 1980",20,Iowa,14
342,"Oct 11, 1980",28,Northern Illinois,18
343,"Oct 11, 1980",24,Wisconsin,0
344,"Oct 11, 1980",19,Southern Illinois,6
345,"Oct 11, 1980",31,Kansas State,7
346,"Oct 11, 1980",24,Army,24
347,"Oct 11, 1980",17,Pacific,12
348,"Oct 11, 1980",3,Arkansas State,0
349,"Oct 11, 1980",21,Auburn,17
350,"Oct 11, 1980",16,Lamar,7
351,"Oct 11, 1980",38,Memphis,14
352,"Oct 11, 1980",48,Louisiana-Monroe,28
353,"Oct 11, 1980",34,Marshall,6
354,"Oct 11, 1980",27,Michigan State,23
355,"Oct 11, 1980",30,Oklahoma State,7
356,"Oct 11, 1980",54,Kansas,0
357,"Oct 11, 1980",28,San Diego State,17
358,"Oct 11, 1980",27,Wake Forest,9
359,"Oct 11, 1980",17,Appalachian State,14
360,"Oct 11, 1980",32,(13) Miami (FL),14
361,"Oct 11, 1980",24,Central Michigan,9
362,"Oct 11, 1980",63,Northwestern,0
363,"Oct 11, 1980",24,Maryland,10
364,"Oct 11, 1980",31,Columbia,19
365,"Oct 11, 1980",21,Minnesota,7
366,"Oct 11, 1980",28,Texas Christian,24
367,"Oct 11, 1980",26,Fresno State,14
368,"Oct 11, 1980",20,Duke,7
369,"Oct 11, 1980",27,Arizona,10
370,"Oct 11, 1980",42,Mississippi State,14
371,"Oct 11, 1980",31,Temple,7
372,"Oct 11, 1980",23,Georgia Tech,10
373,"Oct 11, 1980",20,(12) Oklahoma,13
374,"Oct 11, 1980",43,Vanderbilt,21
375,"Oct 11, 1980",28,North Texas,27
376,"Oct 11, 1980",35,(16) Stanford,21
377,"Oct 11, 1980",31,Texas-El Paso,7
378,"Oct 11, 1980",28,Cal State Fullerton,17
379,"Oct 11, 1980",34,Rhode Island,7
380,"Oct 11, 1980",41,Oregon State,6
381,"Oct 11, 1980",38,Texas-Arlington,26
382,"Oct 11, 1980",28,Kent State,21
383,"Oct 11, 1980",17,Dartmouth,14
384,"Oct 18, 1980",27,Tennessee,0
385,"Oct 18, 1980",57,Lenoir-Rhyne,25
386,"Oct 18, 1980",17,Georgia Tech,14
387,"Oct 18, 1980",26,Eastern Michigan,0
388,"Oct 18, 1980",46,Texas A&M,7
389,"Oct 18, 1980",26,Cal State Fullerton,11
390,"Oct 18, 1980",24,Kent State,3
391,"Oct 18, 1980",70,Utah State,46
392,"Oct 18, 1980",32,Cornell,25
393,"Oct 18, 1980",27,Oregon State,6
394,"Oct 18, 1980",21,Marshall,11
395,"Oct 18, 1980",37,Newberry,0
396,"Oct 18, 1980",26,San Diego State,7
397,"Oct 18, 1980",18,Holy Cross,17
398,"Oct 18, 1980",30,Harvard,12
399,"Oct 18, 1980",27,West Texas State,21
400,"Oct 18, 1980",34,Clemson,17
401,"Oct 18, 1980",24,Western Carolina,14
402,"Oct 18, 1980",25,East Tennessee State,6
403,"Oct 18, 1980",15,Mississippi,3
404,"Oct 18, 1980",41,Boston College,7
405,"Oct 18, 1980",27,Pacific,3
406,"Oct 18, 1980",41,Vanderbilt,0
407,"Oct 18, 1980",31,New Mexico,14
408,"Oct 18, 1980",13,Southern Methodist,11
409,"Oct 18, 1980",25,Northwestern,3
410,"Oct 18, 1980",28,(19) Iowa State,17
411,"Oct 18, 1980",3,Pennsylvania,0
412,"Oct 18, 1980",23,San Jose State,21
413,"Oct 18, 1980",17,Kentucky,10
414,"Oct 18, 1980",27,Northwestern State,23
415,"Oct 18, 1980",28,Lamar,6
416,"Oct 18, 1980",27,Indiana State,17
417,"Oct 18, 1980",11,Wake Forest,10
418,"Oct 18, 1980",37,Minnesota,14
419,"Oct 18, 1980",34,(18) Miami (FL),31
420,"Oct 18, 1980",45,Colorado,7
421,"Oct 18, 1980",24,Villanova,15
422,"Oct 18, 1980",48,Oklahoma State,7
423,"Oct 18, 1980",53,Texas-El Paso,14
424,"Oct 18, 1980",30,Texas-Arlington,10
425,"Oct 18, 1980",28,North Carolina State,8
426,"Oct 18, 1980",29,Memphis,10
427,"Oct 18, 1980",21,Central Michigan,0
428,"Oct 18, 1980",30,Army,3
429,"Oct 18, 1980",17,Miami (OH),7
430,"Oct 18, 1980",27,Indiana,17
431,"Oct 18, 1980",35,Kansas State,21
432,"Oct 18, 1980",24,Syracuse,7
433,"Oct 18, 1980",42,West Virginia,14
434,"Oct 18, 1980",14,Colgate,10
435,"Oct 18, 1980",45,Illinois,20
436,"Oct 18, 1980",49,Cincinnati,7
437,"Oct 18, 1980",7,Oregon,7
438,"Oct 18, 1980",42,Illinois State,0
439,"Oct 18, 1980",35,Arkansas State,0
440,"Oct 18, 1980",16,Akron,7
441,"Oct 18, 1980",10,Rice,3
442,"Oct 18, 1980",28,Air Force,7
443,"Oct 18, 1980",23,Texas Christian,17
444,"Oct 18, 1980",22,Richmond,17
445,"Oct 18, 1980",30,Virginia,0
446,"Oct 18, 1980",27,(20) Stanford,24
447,"Oct 18, 1980",38,Arizona,14
448,"Oct 18, 1980",17,Toledo,7
449,"Oct 18, 1980",21,Rutgers,18
450,"Oct 18, 1980",17,Michigan State,7
451,"Oct 18, 1980",24,Utah,21
452,"Oct 18, 1980",30,Columbia,10
453,"Oct 25, 1980",42,(20) Southern Mississippi,7
454,"Oct 25, 1980",37,Pacific,9
455,"Oct 25, 1980",21,Texas Christian,6
456,"Oct 25, 1980",30,Army,14
457,"Oct 25, 1980",34,Hawaii,7
458,"Oct 25, 1980",21,Holy Cross,3
459,"Oct 25, 1980",17,Nevada,16
460,"Oct 25, 1980",17,Northwestern State,0
461,"Oct 25, 1980",26,East Tennessee State,14
462,"Oct 25, 1980",35,Wofford,3
463,"Oct 25, 1980",35,Columbia,22
464,"Oct 25, 1980",21,Utah,21
465,"Oct 25, 1980",7,Dartmouth,3
466,"Oct 25, 1980",7,William & Mary,3
467,"Oct 25, 1980",28,New Mexico State,22
468,"Oct 25, 1980",13,Louisville,0
469,"Oct 25, 1980",24,Memphis,3
470,"Oct 25, 1980",21,Appalachian State,20
471,"Oct 25, 1980",27,Kentucky,0
472,"Oct 25, 1980",24,(15) Arkansas,17
473,"Oct 25, 1980",9,Indiana State,0
474,"Oct 25, 1980",35,Northwestern,20
475,"Oct 25, 1980",14,Oklahoma State,14
476,"Oct 25, 1980",35,Eastern Michigan,12
477,"Oct 25, 1980",31,Oregon State,21
478,"Oct 25, 1980",38,Lamar,10
479,"Oct 25, 1980",13,Western Carolina,13
480,"Oct 25, 1980",17,Duke,14
481,"Oct 25, 1980",36,Arkansas State,28
482,"Oct 25, 1980",7,Bowling Green,3
483,"Oct 25, 1980",45,Illinois,14
484,"Oct 25, 1980",24,Iowa,6
485,"Oct 25, 1980",27,Vanderbilt,14
486,"Oct 25, 1980",24,Auburn,21
487,"Oct 25, 1980",13,Kansas State,3
488,"Oct 25, 1980",24,(18) Washington,10
489,"Oct 25, 1980",45,Colorado,7
490,"Oct 25, 1980",22,Texas-El Paso,21
491,"Oct 25, 1980",31,East Carolina,3
492,"Oct 25, 1980",24,Clemson,20
493,"Oct 25, 1980",17,Wichita State,14
494,"Oct 25, 1980",20,Arizona,3
495,"Oct 25, 1980",24,Toledo,9
496,"Oct 25, 1980",21,Wisconsin,0
497,"Oct 25, 1980",42,Iowa State,7
498,"Oct 25, 1980",32,Nevada-Las Vegas,9
499,"Oct 25, 1980",20,West Virginia,15
500,"Oct 25, 1980",30,Tennessee,6
501,"Oct 25, 1980",7,Harvard,3
502,"Oct 25, 1980",36,Michigan State,25
503,"Oct 25, 1980",10,Texas A&M,6
504,"Oct 25, 1980",18,Virginia Tech,7
505,"Oct 25, 1980",32,Idaho,10
506,"Oct 25, 1980",55,Louisiana-Monroe,30
507,"Oct 25, 1980",20,(2) Texas,6
508,"Oct 25, 1980",48,Washington State,34
509,"Oct 25, 1980",17,Rutgers,9
510,"Oct 25, 1980",23,Cincinnati,7
511,"Oct 25, 1980",21,Louisiana Tech,20
512,"Oct 25, 1980",31,Georgia Tech,14
513,"Oct 25, 1980",44,West Texas State,24
514,"Oct 25, 1980",32,California,9
515,"Oct 25, 1980",14,Fresno State,0
516,"Oct 25, 1980",17,Virginia Military Institute,6
517,"Oct 25, 1980",24,Wake Forest,21
518,"Oct 25, 1980",17,Ball State,15
519,"Oct 25, 1980",34,San Diego State,9
520,"Oct 25, 1980",8,Pennsylvania,0
521,"Nov 1, 1980",27,Western Carolina,24
522,"Nov 1, 1980",23,(2) UCLA,17
523,"Nov 1, 1980",23,Air Force,0
524,"Nov 1, 1980",38,Virginia Military Institute,22
525,"Nov 1, 1980",24,Ball State,21
526,"Nov 1, 1980",83,Texas-El Paso,7
527,"Nov 1, 1980",33,Cornell,16
528,"Nov 1, 1980",51,Eastern Michigan,15
529,"Nov 1, 1980",35,Wake Forest,33
530,"Nov 1, 1980",44,Lafayette,0
531,"Nov 1, 1980",17,Iowa State,9
532,"Nov 1, 1980",28,Wyoming,25
533,"Nov 1, 1980",17,Villanova,7
534,"Nov 1, 1980",38,Wichita State,15
535,"Nov 1, 1980",17,Georgia Tech,12
536,"Nov 1, 1980",31,William & Mary,23
537,"Nov 1, 1980",21,Auburn,10
538,"Nov 1, 1980",45,Tulsa,2
539,"Nov 1, 1980",35,Marshall,0
540,"Nov 1, 1980",13,(14) South Carolina,10
541,"Nov 1, 1980",17,Brown,16
542,"Nov 1, 1980",31,Cal State Fullerton,21
543,"Nov 1, 1980",26,Columbia,0
544,"Nov 1, 1980",37,Texas Christian,5
545,"Nov 1, 1980",37,West Texas State,18
546,"Nov 1, 1980",22,Wisconsin,13
547,"Nov 1, 1980",20,Kansas State,18
548,"Nov 1, 1980",34,Fresno State,9
549,"Nov 1, 1980",21,Southern Illinois,3
550,"Nov 1, 1980",38,Mississippi,16
551,"Nov 1, 1980",28,Arkansas State,0
552,"Nov 1, 1980",29,Nicholls State,28
553,"Nov 1, 1980",24,North Carolina State,0
554,"Nov 1, 1980",31,Texas-Arlington,17
555,"Nov 1, 1980",35,Indiana,0
556,"Nov 1, 1980",21,Illinois,18
557,"Nov 1, 1980",6,(1) Alabama,3
558,"Nov 1, 1980",38,(15) Missouri,16
559,"Nov 1, 1980",72,New Mexico,7
560,"Nov 1, 1980",38,New Mexico State,28
561,"Nov 1, 1980",35,Kent State,14
562,"Nov 1, 1980",33,Navy,0
563,"Nov 1, 1980",48,Michigan State,16
564,"Nov 1, 1980",41,(6) North Carolina,7
565,"Nov 1, 1980",15,San Diego State,6
566,"Nov 1, 1980",20,Washington State,10
567,"Nov 1, 1980",27,Miami (FL),12
568,"Nov 1, 1980",43,Syracuse,6
569,"Nov 1, 1980",28,Pennsylvania,21
570,"Nov 1, 1980",52,Northwestern,31
571,"Nov 1, 1980",17,Arkansas,16
572,"Nov 1, 1980",24,Cincinnati,10
573,"Nov 1, 1980",37,Army,21
574,"Nov 1, 1980",30,(10) Baylor,22
575,"Nov 1, 1980",60,California,7
576,"Nov 1, 1980",27,Texas A&M,0
577,"Nov 1, 1980",36,Lamar,10
578,"Nov 1, 1980",54,Oregon State,13
579,"Nov 1, 1980",17,Louisville,12
580,"Nov 1, 1980",24,(12) Texas,20
581,"Nov 1, 1980",17,Miami (OH),14
582,"Nov 1, 1980",24,Kentucky,22
583,"Nov 1, 1980",21,Pacific,7
584,"Nov 1, 1980",14,Memphis,10
585,"Nov 1, 1980",16,Tennessee,13
586,"Nov 1, 1980",34,West Virginia,11
587,"Nov 1, 1980",25,Arizona State,0
588,"Nov 1, 1980",27,Illinois State,0
589,"Nov 1, 1980",13,Ohio,7
590,"Nov 1, 1980",35,Dartmouth,7
591,"Nov 8, 1980",28,Louisiana State,7
592,"Nov 8, 1980",16,Virginia Military Institute,16
593,"Nov 8, 1980",34,California,6
594,"Nov 8, 1980",47,Air Force,24
595,"Nov 8, 1980",31,Southern Mississippi,0
596,"Nov 8, 1980",34,Kent State,7
597,"Nov 8, 1980",42,Arkansas,15
