data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2020-08-30,2020,central arkansas,austin peay,24,17,1
2020-09-04,2020,uab,central arkansas,45,35,1,-21.0,,-21.0,,,
2020-09-04,2020,southern mississippi,south alabama,21,32,0,-12.4,,-12.4,,,
2020-09-05,2020,marshall,eastern kentucky,59,0,1,-25.75,,-25.75,,,
2020-09-05,2020,army,middle tennessee,42,0,1,-3.6,,-3.6,,,
2020-09-05,2020,texas state,smu,24,31,0,24.8,,24.8,,,
2020-09-05,2020,north texas,houston christian,57,31,1,-23.0,,-23.0,,,
2020-09-06,2020,memphis,arkansas state,37,24,1,-18.5,,-18.5,,,
2020-09-06,2020,utep,stephen f. austin,24,14,1,-4.0,,-4.0,,,
2020-09-08,2020,navy,byu,3,55,0,1.2,,1.2,,,
2020-09-11,2020,miami,uab,31,14,1,-15.8,,-15.8,,,
2020-09-12,2020,west virginia,eastern kentucky,56,10,1,-41.0,,-41.0,,,
2020-09-12,2020,north carolina,syracuse,31,6,1,-24.1,,-24.1,,,
2020-09-12,2020,appalachian state,charlotte,35,20,1,-16.7,,-16.7,,,
2020-09-12,2020,kansas state,arkansas state,31,35,0,-15.0,,-15.0,,,
2020-09-12,2020,iowa state,louisiana,14,31,0,-12.6,,-12.6,,,
2020-09-12,2020,army,louisiana monroe,37,7,1,-24.2,,-24.2,,,
2020-09-12,2020,notre dame,duke,27,13,1,-21.6,,-21.6,,,
2020-09-12,2020,texas state,ut san antonio,48,51,0,-6.2,,-6.2,,,
2020-09-12,2020,florida state,georgia tech,13,16,0,-13.125,,-13.125,,,
2020-09-12,2020,pittsburgh,austin peay,55,0,1,-30.75,,-30.75,,,
2020-09-12,2020,georgia southern,campbell,27,26,1,-29.25,,-29.25,,,
2020-09-12,2020,south florida,the citadel,27,6,1,-17.5,,-17.5,,,
2020-09-12,2020,oklahoma,missouri state,48,0,1,-49.25,,-49.25,,,
2020-09-12,2020,south alabama,tulane,24,27,0,11.2,,11.2,,,
2020-09-12,2020,wake forest,clemson,13,37,0,34.7,,34.7,,,
2020-09-13,2020,texas tech,houston christian,35,33,1,-40.0,,-40.0,,,
2020-09-13,2020,louisville,western kentucky,35,21,1,-13.2,,-13.2,,,
2020-09-13,2020,texas,utep,59,3,1,-44.5,,-44.5,,,
2020-09-13,2020,kansas,coastal carolina,23,38,0,-5.9,,-5.9,,,
2020-09-18,2020,coastal carolina,campbell,43,21,1,-27.5,,-27.5,,,
2020-09-19,2020,georgia state,louisiana,31,34,0,17.125,,17.125,,,
2020-09-19,2020,tulane,navy,24,27,0,-5.4,,-5.4,,,
2020-09-19,2020,duke,boston college,6,26,0,-3.6,,-3.6,,,
2020-09-19,2020,pittsburgh,syracuse,21,10,1,-21.1,,-21.1,,,
2020-09-19,2020,western kentucky,liberty,24,30,0,-14.8,,-14.8,,,
2020-09-19,2020,cincinnati,austin peay,55,20,1,-39.5,,-39.5,,,
2020-09-19,2020,oklahoma state,tulsa,16,7,1,-24.1,,-24.1,,,
2020-09-19,2020,notre dame,south florida,52,0,1,-23.0,,-23.0,,,
2020-09-19,2020,georgia tech,ucf,21,49,0,9.3,,9.3,,,
2020-09-19,2020,middle tennessee,troy,14,47,0,3.2,,3.2,,,
2020-09-19,2020,marshall,appalachian state,17,7,1,5.7,,5.7,,,
2020-09-19,2020,ut san antonio,stephen f. austin,24,10,1,-18.0,,-18.0,,,
2020-09-19,2020,clemson,the citadel,49,0,1,-50.5,,-50.5,,,
2020-09-19,2020,north texas,smu,35,65,0,14.7,,14.7,,,
2020-09-19,2020,southern mississippi,louisiana tech,30,31,0,-6.9,,-6.9,,,
2020-09-19,2020,louisville,miami,34,47,0,2.1,,2.1,,,
2020-09-19,2020,louisiana monroe,texas state,17,38,0,3.2,,3.2,,,
2020-09-20,2020,nc state,wake forest,45,42,1,1.9,,1.9,,,
2020-09-20,2020,utep,abilene christian,17,13,1,-8.5,,-8.5,,,
2020-09-24,2020,south alabama,uab,10,42,0,7.6,,7.6,,,
2020-09-26,2020,ut san antonio,middle tennessee,37,35,1,-6.125,,-6.125,,,
2020-09-26,2020,east carolina,ucf,28,51,0,28.2,,28.2,,,
2020-09-26,2020,louisiana,georgia southern,20,18,1,-11.625,,-11.625,,,
2020-09-26,2020,auburn,kentucky,29,13,1,-6.1,,-6.1,,,
2020-09-26,2020,appalachian state,campbell,52,21,1,-33.5,,-33.5,,,
2020-09-26,2020,pittsburgh,louisville,23,20,1,-2.7,,-2.7,,,
2020-09-26,2020,syracuse,georgia tech,37,20,1,7.5,,7.5,,,
2020-09-26,2020,ole miss,florida,35,51,0,14.0,,14.0,,,
2020-09-26,2020,oklahoma,kansas state,35,38,0,-27.7,,-27.7,,,
2020-09-26,2020,liberty,florida international,36,34,1,-9.7,,-9.7,,,
2020-09-26,2020,the citadel,eastern kentucky,14,37,0
2020-09-26,2020,tcu,iowa state,34,37,0,4.0,,4.0,,,
2020-09-26,2020,cincinnati,army,24,10,1,-12.2,,-12.2,,,
2020-09-26,2020,lsu,mississippi state,34,44,0,-14.5,,-14.5,,,
2020-09-26,2020,oklahoma state,west virginia,27,13,1,-6.1,,-6.1,,,
2020-09-26,2020,louisiana monroe,utep,6,31,0,-9.6,,-9.6,,,
2020-09-26,2020,texas tech,texas,56,63,0,17.5,,17.5,,,
2020-09-26,2020,virginia,duke,38,20,1,-3.875,,-3.875,,,
2020-09-26,2020,arkansas,georgia,10,37,0,27.9,,27.9,,,
2020-09-26,2020,boston college,texas state,24,21,1,-21.5,,-21.5,,,
2020-09-26,2020,louisiana tech,houston christian,66,38,1,-23.5,,-23.5,,,
2020-09-26,2020,southern mississippi,tulane,24,66,0,3.5,,3.5,,,
2020-09-26,2020,smu,stephen f. austin,50,7,1,-38.5,,-38.5,,,
2020-09-26,2020,missouri,alabama,19,38,0,28.9,,28.9,,,
2020-09-26,2020,baylor,kansas,47,14,1,-17.0,,-17.0,,,
2020-09-26,2020,miami,florida state,52,10,1,-12.0,,-12.0,,,
2020-09-26,2020,south carolina,tennessee,27,31,0,4.2,,4.2,,,
2020-09-26,2020,texas a&m,vanderbilt,17,12,1,-31.4,,-31.4,,,
2020-09-27,2020,central arkansas,missouri state,27,20,1
2020-09-27,2020,virginia tech,nc state,45,24,1,-6.0,,-6.0,,,
2020-09-27,2020,byu,troy,48,7,1,-14.5,,-14.5,,,
