data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2014-08-23,2014,eastern washington,sam houston state,56,35,1
2014-08-27,2014,georgia state,abilene christian,38,37,1
2014-08-28,2014,south carolina,texas a&m,28,52,0,-9.5,,-9.5,,,
2014-08-28,2014,northwestern state,missouri state,27,34,0
2014-08-28,2014,mercer,reinhardt,45,42,1
2014-08-28,2014,louisiana monroe,wake forest,17,10,1,0.667,,0.667,,,
2014-08-28,2014,robert morris,eastern kentucky,10,29,0
2014-08-28,2014,campbell,charlotte,9,33,0
2014-08-28,2014,stony brook,bryant,7,13,0
2014-08-28,2014,charleston southern,point university,61,9,1
2014-08-28,2014,akron,howard,41,0,1,-21.0,,-21.0,,,
2014-08-28,2014,central michigan,chattanooga,20,16,1,-11.5,,-11.5,,,
2014-08-28,2014,minnesota,eastern illinois,42,20,1
2014-08-28,2014,northern illinois,presbyterian college,55,3,1,-38.0,,-38.0,,,
2014-08-28,2014,utah,idaho state,56,14,1,-41.0,,-41.0,,,
2014-08-28,2014,southeast missouri state,missouri baptist,77,0,1
2014-08-28,2014,western illinois,valparaiso,45,6,1
2014-08-29,2014,ole miss,boise state,35,13,1,-9.5,,-9.5,,,
2014-08-29,2014,tulsa,tulane,38,31,1,-4.5,,-4.5,,,
2014-08-29,2014,murray state,union college,73,26,1
2014-08-29,2014,southern illinois,taylor,45,0,1
2014-08-29,2014,tennessee tech,kentucky christian,33,7,1
2014-08-29,2014,new mexico state,cal poly,28,10,1,7.0,,7.0,,,
2014-08-29,2014,washington state,rutgers,38,41,0,-7.5,,-7.5,,,
2014-08-29,2014,san josé state,north dakota,42,10,1,-27.0,,-27.0,,,
2014-08-29,2014,arizona state,weber state,45,14,1,-45.5,,-45.5,,,
2014-08-29,2014,vanderbilt,temple,7,37,0,-8.5,,-8.5,,,
2014-08-29,2014,connecticut,byu,10,35,0,15.5,,15.5,,,
2014-08-29,2014,western kentucky,bowling green,59,31,1,7.167,,7.167,,,
2014-08-29,2014,syracuse,villanova,27,26,1,-14.0,,-14.0,,,
2014-08-29,2014,michigan state,jacksonville state,45,7,1,-27.5,,-27.5,,,
2014-08-30,2014,colorado,colorado state,17,31,0,-2.667,,-2.667,,,
2014-08-30,2014,houston,ut san antonio,7,27,0,-9.833,,-9.833,,,
2014-08-30,2014,arizona,unlv,58,13,1,-22.0,,-22.0,,,
2014-08-30,2014,ucf,penn state,24,26,0,-1.75,,-1.75,,,
2014-08-30,2014,purdue,western michigan,43,34,1,-7.5,,-7.5,,,
2014-08-30,2014,uab,troy,48,10,1,0.833,,0.833,,,
2014-08-30,2014,michigan,appalachian state,52,14,1,-30.75,,-30.75,,,
2014-08-30,2014,navy,ohio state,17,34,0,15.5,,15.5,,,
2014-08-30,2014,virginia,ucla,20,28,0,18.0,,18.0,,,
