data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2016-08-27,2016,california,hawai'i,51,31,1,-22.25,,-22.25,,,
2016-08-27,2016,north dakota state,charleston southern,24,17,1
2016-09-01,2016,wagner,st. anselm,38,16,1
2016-09-01,2016,central michigan,presbyterian college,49,3,1,-33.0,,-33.0,,,
2016-09-01,2016,samford,mars hill,77,7,1
2016-09-01,2016,wake forest,tulane,7,3,1,-15.0,,-15.0,,,
2016-09-01,2016,missouri state,southwestern college,57,0,1
2016-09-01,2016,connecticut,maine,24,21,1,-27.0,,-27.0,,,
2016-09-01,2016,delaware,delaware state,56,14,1
2016-09-01,2016,central arkansas,houston christian,56,13,1
2016-09-01,2016,mercer,the citadel,23,24,0
2016-09-01,2016,eastern illinois,western illinois,21,38,0
2016-09-01,2016,stony brook,north dakota,13,9,1
2016-09-01,2016,louisville,charlotte,70,14,1,-39.0,,-39.0,,,
2016-09-01,2016,chattanooga,shorter,66,0,1
2016-09-01,2016,jacksonville state,north alabama,31,12,1
2016-09-01,2016,tennessee tech,wofford,7,21,0
2016-09-01,2016,cincinnati,ut martin,28,7,1,-24.0,,-24.0,,,
2016-09-01,2016,robert morris,alderson-broaddus,7,14,0
2016-09-01,2016,tennessee,appalachian state,20,13,1,-22.25,,-22.25,,,
2016-09-01,2016,youngstown state,duquesne,45,10,1
2016-09-01,2016,florida international,indiana,13,34,0,6.5,,6.5,,,
2016-09-01,2016,nc state,william & mary,48,14,1,-30.5,,-30.5,,,
2016-09-02,2016,utah state,weber state,45,6,1,-21.0,,-21.0,,,
2016-09-02,2016,vanderbilt,south carolina,10,13,0,-0.5,,-0.5,,,
2016-09-02,2016,western kentucky,rice,46,14,1,-16.75,,-16.75,,,
2016-09-02,2016,utah,southern utah,24,0,1,-34.0,,-34.0,,,
2016-09-02,2016,minnesota,oregon state,30,23,1,-10.0,,-10.0,,,
2016-09-02,2016,new mexico,south dakota,48,21,1,-11.0,,-11.0,,,
2016-09-02,2016,idaho,montana state,20,17,1,-7.0,,-7.0,,,
2016-09-02,2016,unlv,jackson state,63,13,1,-40.0,,-40.0,,,
2016-09-02,2016,central connecticut,lafayette,10,24,0
2016-09-02,2016,eastern michigan,mississippi valley state,61,14,1,-46.0,,-46.0,,,
2016-09-02,2016,buffalo,albany,16,22,0,-23.0,,-23.0,,,
2016-09-02,2016,michigan state,furman,28,13,1,-45.0,,-45.0,,,
2016-09-02,2016,syracuse,colgate,33,7,1,-25.5,,-25.5,,,
2016-09-02,2016,georgia state,ball state,21,31,0,-1.833,,-1.833,,,
2016-09-02,2016,temple,army,13,28,0,-17.167,,-17.167,,,
2016-09-02,2016,baylor,northwestern state,55,7,1,-48.5,,-48.5,,,
2016-09-03,2016,colorado,colorado state,44,7,1,-8.0,,-8.0,,,
2016-09-03,2016,stanford,kansas state,26,13,1,-13.667,,-13.667,,,
2016-09-03,2016,arkansas state,toledo,10,31,0,-3.667,,-3.667,,,
2016-09-03,2016,nevada,cal poly,30,27,1,-19.0,,-19.0,,,
2016-09-03,2016,boston college,georgia tech,14,17,0,3.167,,3.167,,,
2016-09-03,2016,charleston southern,kentucky state,57,7,1
2016-09-03,2016,michigan,hawai'i,63,3,1,-38.333,,-38.333,,,
2016-09-03,2016,navy,fordham,52,16,1,-24.0,,-24.0,,,
2016-09-03,2016,northwestern,western michigan,21,22,0,-4.5,,-4.5,,,
2016-09-03,2016,purdue,eastern kentucky,45,24,1,-15.0,,-15.0,,,
2016-09-03,2016,west virginia,missouri,26,11,1,-10.5,,-10.5,,,
2016-09-03,2016,mississippi state,south alabama,20,21,0,-30.0,,-30.0,,,
2016-09-03,2016,louisiana,boise state,10,45,0,18.5,,18.5,,,
2016-09-03,2016,maryland,howard,52,13,1,-51.0,,-51.0,,,
2016-09-03,2016,houston,oklahoma,33,23,1,12.0,,12.0,,,
2016-09-03,2016,ohio state,bowling green,77,10,1,-27.333,,-27.333,,,
2016-09-03,2016,virginia tech,liberty,36,13,1,-35.0,,-35.0,,,
2016-09-03,2016,lehigh,monmouth,21,23,0
2016-09-03,2016,georgetown,davidson,38,14,1
2016-09-03,2016,pittsburgh,villanova,28,7,1,-27.0,,-27.0,,,
2016-09-03,2016,washington,rutgers,48,13,1,-24.167,,-24.167,,,
2016-09-03,2016,air force,abilene christian,37,21,1,-44.0,,-44.0,,,
2016-09-03,2016,morgan state,holy cross,24,51,0
2016-09-03,2016,bryant,merrimack,41,20,1
2016-09-03,2016,indiana state,butler,41,25,1
2016-09-03,2016,elon,gardner-webb,6,31,0
2016-09-03,2016,penn state,kent state,33,13,1,-22.167,,-22.167,,,
