data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2019-08-31,2019,marshall,vmi,56,17,1,-44.0,,-44.0,,,
2019-08-31,2019,california,uc davis,27,13,1,-15.5,,-15.5,,,
2019-08-31,2019,texas southern,prairie view,23,44,0
2019-08-31,2019,western michigan,monmouth,48,13,1,-24.5,,-24.5,,,
2019-08-31,2019,tennessee tech,samford,59,58,1
2019-08-31,2019,northern illinois,illinois state,24,10,1,-6.5,,-6.5,,,
2019-08-31,2019,kansas state,nicholls,49,14,1,-20.5,,-20.5,,,
2019-08-31,2019,tennessee state,mississippi valley state,26,20,1
2019-08-31,2019,arkansas state,smu,30,37,0,-1.75,,-1.75,,,
2019-08-31,2019,mcneese,southern,34,28,1
2019-08-31,2019,old dominion,norfolk state,24,21,1,-25.5,,-25.5,,,
2019-08-31,2019,baylor,stephen f. austin,56,17,1,-43.5,,-43.5,,,
2019-08-31,2019,southern mississippi,alcorn state,38,10,1,-27.0,,-27.0,,,
2019-08-31,2019,north texas,abilene christian,51,31,1,-23.0,,-23.0,,,
2019-08-31,2019,pittsburgh,virginia,14,30,0,2.5,,2.5,,,
2019-08-31,2019,michigan,middle tennessee,40,21,1,-35.625,,-35.625,,,
2019-08-31,2019,iowa,miami (oh),38,14,1,-24.25,,-24.25,,,
2019-08-31,2019,wyoming,missouri,37,31,1,16.875,,16.875,,,
2019-08-31,2019,vanderbilt,georgia,6,30,0,22.625,,22.625,,,
2019-08-31,2019,lsu,georgia southern,55,3,1,-27.125,,-27.125,,,
2019-08-31,2019,auburn,oregon,27,21,1,-3.625,,-3.625,,,
2019-09-01,2019,tcu,arkansas-pine bluff,39,7,1,-55.0,,-55.0,,,
2019-09-01,2019,utep,houston christian,36,34,1,-17.5,,-17.5,,,
2019-09-01,2019,texas,louisiana tech,45,14,1,-19.375,,-19.375,,,
2019-09-01,2019,louisiana monroe,grambling,31,9,1,-28.0,,-28.0,,,
2019-09-01,2019,sacramento state,southern oregon,77,19,1
2019-09-01,2019,san diego state,weber state,6,0,1,-14.0,,-14.0,,,
2019-09-01,2019,unlv,southern utah,56,23,1,-24.5,,-24.5,,,
2019-09-01,2019,washington state,new mexico state,58,7,1,-32.875,,-32.875,,,
2019-09-01,2019,usc,fresno state,31,23,1,-14.125,,-14.125,,,
2019-09-01,2019,jackson state,bethune-cookman,15,36,0
2019-09-01,2019,alabama a&m,morehouse,35,30,1
2019-09-01,2019,oklahoma,houston,49,31,1,-21.875,,-21.875,,,
2019-09-03,2019,louisville,notre dame,17,35,0,19.25,,19.25,,,
2019-09-06,2019,idaho state,western state,38,13,1
