data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2010-09-04,2010,vanderbilt,northwestern,21,23,0
2010-09-04,2010,tcu,oregon state,30,21,1
2010-09-05,2010,alabama state,mississippi valley state,34,6,1
2010-09-05,2010,houston,texas state,68,28,1
2010-09-05,2010,north carolina,lsu,24,30,0
2010-09-05,2010,san diego state,nicholls,47,0,1
2010-09-05,2010,mcneese,lamar,30,27,1
2010-09-05,2010,wyoming,southern utah,28,20,1
2010-09-05,2010,san diego,azusa pacific,14,42,0
2010-09-05,2010,utep,arkansas-pine bluff,31,10,1
2010-09-05,2010,cal poly,humboldt state,23,17,1
2010-09-05,2010,arizona state,portland state,54,9,1
2010-09-05,2010,fresno state,cincinnati,28,14,1
2010-09-05,2010,unlv,wisconsin,21,41,0
2010-09-05,2010,delaware state,southern,27,37,0
2010-09-05,2010,east carolina,tulsa,51,49,1
2010-09-05,2010,texas tech,smu,35,27,1
2010-09-05,2010,texas southern,prairie view,14,16,0
2010-09-06,2010,maryland,navy,17,14,1
2010-09-07,2010,virginia tech,boise state,30,33,0
2010-09-09,2010,temple,central michigan,13,10,1
2010-09-09,2010,mississippi state,auburn,14,17,0
2010-09-10,2010,marshall,west virginia,21,24,0
2010-09-11,2010,houston,utep,54,24,1
2010-09-11,2010,cincinnati,indiana state,40,7,1
2010-09-11,2010,purdue,western illinois,31,21,1
2010-09-11,2010,connecticut,texas southern,62,3,1
2010-09-11,2010,central connecticut,bentley,45,14,1
2010-09-11,2010,sacred heart,robert morris,31,35,0
2010-09-11,2010,wisconsin,san josé state,27,14,1
2010-09-11,2010,kansas,georgia tech,28,25,1
2010-09-11,2010,south carolina,georgia,17,6,1
2010-09-11,2010,east carolina,memphis,49,27,1
2010-09-11,2010,wake forest,duke,54,48,1
2010-09-11,2010,army,hawai'i,28,31,0
2010-09-11,2010,minnesota,south dakota,38,41,0
2010-09-11,2010,florida atlantic,michigan state,17,30,0
2010-09-11,2010,akron,gardner-webb,37,38,0
2010-09-11,2010,duquesne,dayton,35,31,1
2010-09-11,2010,northwestern,illinois state,37,3,1
2010-09-11,2010,florida,south florida,38,14,1
2010-09-11,2010,nebraska,idaho,38,17,1
2010-09-11,2010,lehigh,villanova,0,35,0
2010-09-11,2010,morehead state,st francis (pa),31,21,1
2010-09-11,2010,campbell,old dominion,13,44,0
2010-09-11,2010,howard,hampton,21,31,0
2010-09-11,2010,delaware,south dakota state,26,3,1
2010-09-11,2010,bryant,st. anselm,44,21,1
2010-09-11,2010,pittsburgh,new hampshire,38,16,1
2010-09-11,2010,georgia state,lambuth,14,23,0
2010-09-11,2010,monmouth,maine,23,31,0
2010-09-11,2010,virginia tech,james madison,16,21,0
2010-09-11,2010,charleston southern,wofford,23,34,0
2010-09-11,2010,franklin,valparaiso,42,7,1
2010-09-11,2010,miami (oh),eastern michigan,28,21,1
2010-09-11,2010,furman,colgate,45,15,1
2010-09-11,2010,eastern illinois,central arkansas,7,37,0
2010-09-11,2010,california,colorado,52,7,1
2010-09-11,2010,appalachian state,jacksonville,45,14,1
2010-09-11,2010,clemson,presbyterian college,58,21,1
2010-09-11,2010,iowa,iowa state,35,7,1
2010-09-11,2010,oklahoma,florida state,47,17,1
2010-09-11,2010,boston college,kent state,26,13,1
2010-09-11,2010,ohio state,miami,36,24,1
2010-09-11,2010,navy,georgia southern,13,7,1
2010-09-11,2010,louisiana,arkansas state,31,24,1
2010-09-11,2010,notre dame,michigan,24,28,0
2010-09-11,2010,louisville,eastern kentucky,23,13,1
2010-09-11,2010,norfolk state,north carolina a&t,23,14,1
2010-09-11,2010,savannah state,fort valley state,10,41,0
2010-09-11,2010,utah,unlv,38,10,1
2010-09-11,2010,air force,byu,35,14,1
2010-09-11,2010,stony brook,american international,31,14,1
2010-09-11,2010,northwestern state,samford,7,19,0
2010-09-11,2010,umass,holy cross,31,7,1
2010-09-11,2010,marist,bucknell,14,3,1
2010-09-11,2010,youngstown state,butler,31,7,1
2010-09-11,2010,lafayette,georgetown,24,28,0
2010-09-11,2010,fordham,rhode island,27,25,1
2010-09-11,2010,western carolina,tusculum,30,54,0
2010-09-11,2010,delaware state,florida a&m,14,17,0
2010-09-11,2010,north carolina central,winston-salem,27,34,0
2010-09-11,2010,south carolina state,mississippi valley state,44,0,1
2010-09-11,2010,maryland,morgan state,62,3,1
2010-09-11,2010,western michigan,nicholls,49,14,1
2010-09-11,2010,southern,arkansas-monticello,7,31,0
2010-09-11,2010,assumption,wagner,24,9,1
2010-09-11,2010,alabama a&m,central state,45,0,1
2010-09-11,2010,texas,wyoming,34,7,1
2010-09-11,2010,william & mary,vmi,45,0,1
2010-09-11,2010,jacksonville state,chattanooga,21,17,1
2010-09-11,2010,towson,coastal carolina,47,45,1
2010-09-11,2010,baylor,buffalo,34,6,1
2010-09-11,2010,texas a&m,louisiana tech,48,16,1
2010-09-11,2010,north texas,rice,31,32,0
2010-09-11,2010,washington,syracuse,41,20,1
2010-09-11,2010,elon,shaw,55,26,1
2010-09-11,2010,southern mississippi,prairie view,34,7,1
2010-09-11,2010,tulsa,bowling green,33,20,1
2010-09-11,2010,ohio,toledo,13,20,0
2010-09-11,2010,oklahoma state,troy,41,38,1
2010-09-11,2010,vanderbilt,lsu,3,27,0
2010-09-11,2010,lenoir-rhyne,davidson,41,13,1
2010-09-11,2010,louisiana monroe,arkansas,7,31,0
2010-09-11,2010,tennessee,oregon,13,48,0
2010-09-11,2010,missouri,mcneese,50,6,1
2010-09-11,2010,middle tennessee,austin peay,56,33,1
2010-09-11,2010,tennessee state,jackson state,26,33,0
2010-09-11,2010,texas state,southern arkansas,31,17,1
2010-09-11,2010,murray state,southeast missouri state,17,30,0
2010-09-11,2010,alabama,penn state,24,3,1
2010-09-11,2010,northern illinois,north dakota,23,17,1
2010-09-11,2010,lamar,webber international,21,14,1
2010-09-11,2010,southeastern louisiana,ut martin,24,10,1
2010-09-11,2010,ball state,liberty,23,27,0
2010-09-11,2010,washington state,montana state,23,22,1
2010-09-11,2010,stephen f. austin,albany,59,14,1
2010-09-11,2010,tcu,tennessee tech,62,7,1
2010-09-11,2010,kansas state,missouri state,48,24,1
2010-09-11,2010,ucf,nc state,21,28,0
2010-09-11,2010,kentucky,western kentucky,63,28,1
2010-09-11,2010,illinois,southern illinois,35,3,1
2010-09-11,2010,northern iowa,north dakota state,16,9,1
2010-09-12,2010,utah state,idaho state,38,17,1
2010-09-12,2010,alabama state,arkansas-pine bluff,38,31,1
2010-09-12,2010,southern utah,san diego,32,3,1
2010-09-12,2010,new mexico state,san diego state,21,41,0
2010-09-12,2010,new mexico,texas tech,17,52,0
2010-09-12,2010,florida international,rutgers,14,19,0
2010-09-12,2010,smu,uab,28,7,1
2010-09-12,2010,missouri s&t,drake,14,28,0
2010-09-12,2010,weber state,northern colorado,50,47,1
2010-09-12,2010,eastern washington,central washington,35,32,1
2010-09-12,2010,tulane,ole miss,13,27,0
2010-09-12,2010,cal poly,montana,35,33,1
2010-09-12,2010,sacramento state,western oregon,31,17,1
2010-09-12,2010,uc davis,portland state,33,41,0
2010-09-12,2010,arizona,the citadel,52,6,1
2010-09-12,2010,arizona state,northern arizona,41,20,1
2010-09-12,2010,ucla,stanford,0,35,0
2010-09-12,2010,nevada,colorado state,51,6,1
2010-09-12,2010,usc,virginia,17,14,1
2010-09-16,2010,nc state,cincinnati,30,19,1
2010-09-17,2010,samford,newberry,38,35,1
2010-09-17,2010,tennessee tech,lane,43,0,1
2010-09-18,2010,southern mississippi,kansas,31,16,1
2010-09-18,2010,nevada,california,52,31,1
2010-09-18,2010,robert morris,liberty,30,23,1
2010-09-18,2010,michigan,umass,42,37,1
2010-09-18,2010,illinois,northern illinois,28,22,1
2010-09-18,2010,yale,georgetown,40,35,1
2010-09-18,2010,ohio state,ohio,43,7,1
2010-09-18,2010,army,north texas,24,0,1
2010-09-18,2010,georgia,arkansas,24,31,0
2010-09-18,2010,temple,connecticut,30,16,1
2010-09-18,2010,north carolina,georgia tech,24,30,0
2010-09-18,2010,west virginia,maryland,31,17,1
2010-09-18,2010,st francis (pa),sacred heart,41,0,1
2010-09-18,2010,kansas state,iowa state,27,20,1
2010-09-18,2010,purdue,ball state,24,13,1
2010-09-18,2010,penn state,kent state,24,0,1
2010-09-18,2010,ole miss,vanderbilt,14,28,0
2010-09-18,2010,brown,stony brook,33,30,1
2010-09-18,2010,columbia,fordham,9,16,0
2010-09-18,2010,lehigh,princeton,35,22,1
2010-09-18,2010,bucknell,dartmouth,20,43,0
2010-09-18,2010,wagner,cornell,41,7,1
2010-09-18,2010,howard,florida a&m,7,50,0
2010-09-18,2010,georgia state,jacksonville state,27,34,0
2010-09-18,2010,bryant,merrimack,46,29,1
2010-09-18,2010,texas southern,alabama a&m,32,9,1
2010-09-18,2010,richmond,elon,27,21,1
2010-09-18,2010,virginia tech,east carolina,49,27,1
2010-09-18,2010,charleston southern,mars hill,28,14,1
2010-09-18,2010,western illinois,sam houston state,56,14,1
2010-09-18,2010,benedict college,south carolina state,20,61,0
2010-09-18,2010,montana state,drake,48,21,1
2010-09-18,2010,wisconsin,arizona state,20,19,1
2010-09-18,2010,duke,alabama,13,62,0
2010-09-18,2010,miami (oh),colorado state,31,10,1
2010-09-18,2010,oklahoma,air force,27,24,1
2010-09-18,2010,washington,nebraska,21,56,0
2010-09-18,2010,tennessee,florida,17,31,0
2010-09-18,2010,smu,washington state,35,21,1
2010-09-18,2010,appalachian state,north carolina central,44,16,1
2010-09-18,2010,florida state,byu,34,10,1
2010-09-18,2010,minnesota,usc,21,32,0
2010-09-18,2010,colorado,hawai'i,31,13,1
2010-09-18,2010,northern colorado,idaho state,35,21,1
2010-09-18,2010,eastern michigan,central michigan,14,52,0
2010-09-18,2010,uab,troy,34,33,1
2010-09-18,2010,bethune-cookman,savannah state,42,7,1
2010-09-18,2010,tcu,baylor,45,10,1
2010-09-18,2010,western kentucky,indiana,21,38,0
2010-09-18,2010,north dakota,northeastern state,55,14,1
2010-09-18,2010,mississippi valley state,alcorn state,9,27,0
2010-09-18,2010,prairie view,alabama state,15,18,0
2010-09-18,2010,grambling,jackson state,28,21,1
2010-09-18,2010,northern iowa,stephen f. austin,20,22,0
2010-09-18,2010,south dakota,northwestern oklahoma state,48,14,1
2010-09-18,2010,oregon state,louisville,35,28,1
2010-09-18,2010,chattanooga,eastern kentucky,42,24,1
2010-09-18,2010,delaware,duquesne,30,6,1
2010-09-18,2010,hampton,north carolina a&t,35,21,1
2010-09-18,2010,norfolk state,virginia state,51,28,1
2010-09-18,2010,youngstown state,central connecticut,63,24,1
2010-09-18,2010,gardner-webb,western carolina,14,28,0
2010-09-18,2010,coastal carolina,georgia southern,26,43,0
2010-09-18,2010,oregon,portland state,69,0,1
2010-09-18,2010,kentucky,akron,47,10,1
2010-09-18,2010,texas state,cal poly,21,12,1
2010-09-18,2010,lsu,mississippi state,29,7,1
2010-09-18,2010,southern illinois,southeast missouri state,21,24,0
2010-09-18,2010,the citadel,presbyterian college,26,14,1
2010-09-18,2010,old dominion,william & mary,17,21,0
2010-09-18,2010,wofford,union college,48,10,1
2010-09-18,2010,bowling green,marshall,44,28,1
2010-09-18,2010,south carolina,furman,38,19,1
2010-09-18,2010,missouri,san diego state,27,24,1
2010-09-18,2010,central arkansas,murray state,21,20,1
2010-09-18,2010,texas a&m,florida international,27,20,1
2010-09-18,2010,rice,northwestern,13,30,0
2010-09-18,2010,memphis,middle tennessee,24,17,1
2010-09-18,2010,oklahoma state,tulsa,65,28,1
2010-09-18,2010,harvard,holy cross,34,6,1
2010-09-18,2010,ut martin,eastern illinois,20,10,1
2010-09-18,2010,pennsylvania,lafayette,19,14,1
2010-09-18,2010,western michigan,toledo,24,37,0
2010-09-18,2010,buffalo,ucf,10,24,0
2010-09-18,2010,south dakota state,illinois state,14,24,0
2010-09-18,2010,louisiana tech,navy,23,37,0
2010-09-18,2010,tennessee state,austin peay,23,26,0
2010-09-18,2010,auburn,clemson,27,24,1
2010-09-18,2010,north dakota state,morgan state,35,9,1
2010-09-18,2010,eastern washington,montana,36,27,1
2010-09-18,2010,syracuse,maine,38,14,1
2010-09-19,2010,texas tech,texas,14,24,0
2010-09-19,2010,michigan state,notre dame,34,31,1
2010-09-19,2010,wyoming,boise state,6,51,0
2010-09-19,2010,san josé state,southern utah,16,11,1
2010-09-19,2010,new mexico,utah,14,56,0
2010-09-19,2010,utah state,fresno state,24,41,0
