"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"50502","1981","1","regular","1981-09-05T00:00:00.000Z","","true","false","true","","","","183","Syracuse","FBS Independents","fbs","27","","","1533","1537","164","Rutgers","FBS Independents","fbs","29","","","1655","1651","","",""
"50481","1981","1","regular","1981-09-05T00:00:00.000Z","","true","false","","","","","2460","Northern Iowa","","","30","","","","","2181","Drake","Missouri Valley","fbs","39","","","","","","",""
"50512","1981","1","regular","1981-09-05T00:00:00.000Z","","true","false","","","","","2132","Cincinnati","FBS Independents","fbs","13","","","","","2754","Youngstown State","","","19","","","","","","",""
"50511","1981","1","regular","1981-09-05T00:00:00.000Z","","true","false","","","","","2751","Wyoming","Western Athletic","fbs","38","","","1495","1543","1000012","Cal State Fullerton","PCAA","fbs","13","","","1361","1313","","",""
"50510","1981","1","regular","1981-09-05T00:00:00.000Z","","true","false","","","","","1000063","Wichita State","Missouri Valley","fbs","38","","","","","1000895","Missouri Southern","","","6","","","","","","",""
"50509","1981","1","regular","1981-09-05T00:00:00.000Z","","true","false","","","","","2704","West Texas A&M","Missouri Valley","fbs","17","","","1427","1434","2348","Louisiana Tech","Southland","fbs","10","","","1377","1370","","",""
"50508","1981","1","regular","1981-09-05T00:00:00.000Z","","true","false","","","","","254","Utah","Western Athletic","fbs","10","","","1452","1475","328","Utah State","PCAA","fbs","0","","","1525","1502","","",""
"50507","1981","1","regular","1981-09-05T00:00:00.000Z","","true","false","","","","","25","California","Pac-10","fbs","28","","","1408","1410","245","Texas A&M","Southwest","fbs","29","","","1475","1473","","",""
"50505","1981","1","regular","1981-09-05T00:00:00.000Z","","true","false","","","","","2572","Southern Mississippi","FBS Independents","fbs","33","","","1608","1664","309","Louisiana","Southland","fbs","7","","","1515","1459","","",""
"50504","1981","1","regular","1981-09-05T00:00:00.000Z","","true","false","","","","","2567","SMU","Southwest","fbs","48","","","1685","1792","1000058","Texas-Arlington","Southland","fbs","0","","","1415","1308","","",""
