"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"49660","1980","1","regular","1980-09-01T00:00:00.000Z","","true","false","true","","","","251","Texas","Southwest","fbs","23","","","1741","1749","8","Arkansas","Southwest","fbs","17","","","1752","1744","","",""
"49661","1980","2","regular","1980-09-05T00:00:00.000Z","","true","false","","","","","1000006","Long Beach State","PCAA","fbs","9","","","1399","1386","2459","Northern Illinois","Mid-American","fbs","16","","","1398","1411","","",""
"49684","1980","2","regular","1980-09-06T00:00:00.000Z","","true","false","","","","","235","Memphis","FBS Independents","fbs","7","","","1393","1340","344","Mississippi State","SEC","fbs","34","","","1567","1620","","",""
"49682","1980","2","regular","1980-09-06T00:00:00.000Z","","true","false","","","","","2704","West Texas A&M","Missouri Valley","fbs","17","","","1553","1550","2377","McNeese","Southland","fbs","20","","","1577","1580","","",""
"49681","1980","2","regular","1980-09-06T00:00:00.000Z","","true","false","","","","","120","Maryland","ACC","fbs","7","","","1646","1644","222","Villanova","FBS Independents","fbs","3","","","1457","1459","","",""
"49680","1980","2","regular","1980-09-06T00:00:00.000Z","","true","false","","","","","2413","Morehead State","","","8","","","","","276","Marshall","Southern","fbs","35","","","","","","",""
"49679","1980","2","regular","1980-09-06T00:00:00.000Z","","true","false","","","","","309","Louisiana","Southland","fbs","14","","","1412","1410","166","New Mexico State","Missouri Valley","fbs","12","","","1239","1241","","",""
"49678","1980","2","regular","1980-09-06T00:00:00.000Z","","true","false","","","","","2640","Texas Southern","","","8","","","","","2320","Lamar","Southland","fbs","41","","","","","","",""
"49677","1980","2","regular","1980-09-06T00:00:00.000Z","","true","false","","","","","96","Kentucky","SEC","fbs","17","","","1590","1598","328","Utah State","PCAA","fbs","10","","","1569","1561","","",""
"49675","1980","2","regular","1980-09-06T00:00:00.000Z","","true","false","","","","","2287","Illinois State","FBS Independents","fbs","28","","","","","2447","Nicholls","","","13","","","","","","",""
"49673","1980","2","regular","1980-09-06T00:00:00.000Z","","true","false","","","","","107","Holy Cross","FBS Independents","fbs","21","","","","","227","Rhode Island","","","14","","","","","","",""
"49671","1980","2","regular","1980-09-06T00:00:00.000Z","","true","false","","","","","99","LSU","SEC","fbs","0","","","1715","1681","52","Florida State","FBS Independents","fbs","16","","","1755","1789","","",""
"49670","1980","2","regular","1980-09-06T00:00:00.000Z","","true","false","","","","","150","Duke","ACC","fbs","10","","","1370","1347","151","East Carolina","FBS Independents","fbs","35","","","1760","1783","","",""
"49668","1980","2","regular","1980-09-06T00:00:00.000Z","","true","false","","","","","2643","The Citadel","Southern","fbs","21","","","","","2506","Presbyterian College","","","14","","","","","","",""
